level	nextLevel	needexp	addpro1	addpro2	addpro3	addpro4	addpro5
衣柜等级	衣柜下一等级	升级需要的华丽度	普通品质加成	精良品质加成	史诗品质加成	传说品质加成	传奇品质加成
0	1	200	0	0	0	0	0
1	2	500	0	600	800	1000	1200
2	3	1000	0	750	1000	1250	1500
3	4	2000	0	900	1200	1500	1800
4	5	3000	0	1050	1400	1750	2100
5	6	4000	0	1200	1600	2000	2400
6	7	5200	0	1400	1866	2333	2800
7	8	6500	0	1600	2133	2666	3200
8	9	8000	0	1800	2400	3000	3600
9	10	10000	0	2000	2666	3333	4000
10	11	12000	0	2250	3000	3750	4500
11	12	14000	0	2500	3333	4166	5000
12	13	16500	0	2750	3666	4583	5500
13	14	19000	0	3000	4000	5000	6000
14	15	21500	0	3250	4333	5416	6500
15	16	24000	0	3500	4666	5833	7000
16	17	26500	0	3800	5066	6333	7600
17	18	29000	0	4100	5466	6833	8200
18	19	31500	0	4400	5866	7333	8800
19	20	34000	0	4700	6266	7833	9400
20	0	0	0	5000	6666	8333	10000
