buff_id	cls_name	des	resId	icon	pos	desc	ziti
BuffID	服务端类名	策划备注	资源Id	小图标	位置(0:头顶1：腰部 2：脚底)	描述	加buff时显示的字，用，隔开可显示多个（A:B。A为0代表减少，1为增加。B：代表字体类型）
1	Example	测试	801	jn23	0	测试技能	0:2
3	AddAttack	增加攻击	804	jn58	1	增加攻击的BUFF	0:1
4	ReduceAttack	降低攻击	807	jn79	1	降低攻击的BUFF	1:2
5	ReduceHurt	吸收伤害	813	jn57	2	吸收伤害值的技能	
6	ReduceDefend	降低防御	800	jn20	1	降低防御的BUFF	1:2
7	HealthPerRound	每回合治疗	801	jn23	1	持续回血技能	1:2
8	AddDefend	增加防御	803	jn23	1	增加防御的BUFF	1:3
9	AddAttackAndCrit	增加暴击几率和攻击伤害	804	jn58	1	增加暴击记率和攻击伤害	0:8
11	UpAndDesDamage	增伤与减伤各增加5%		jn73	0	提高增伤与减伤效果的BUFF	0:3
12	ReduceTreatRate	降低治疗效果		jn83	0	降低治疗效果的BUFF	1:9
13	ReduceDamageUp	降低增伤	912	jn48	2	降低增伤的BUFF	0:2
14	Stun	眩晕	809	jn9	0	眩晕BUFF	1:2,1:3
15	HurtConnect	伤害链接	829	jn9	0	伤害链接BUFF	
16	ReduceHurtAndBack	吸收伤害并反弹伤害	813	jn57	2	吸收伤害值的技能	
17	MianYiShangHai	免疫伤害	830	jn57	1	保留一点血，无视伤害	
18	Stun	冰封	911	jn9	1	眩晕BUFF	1:2,1:3
900	AddDemage	增加伤害		jn20	0	增加伤害的技能buff	
