monster_camp_id	Des	pos1	pos2	pos3	pos4	pos5	pos6
阵营ID	备注	位置1	位置2	位置3	位置4	位置5	位置6
1		1	1	1		1	1
2			2		2		2
3		3	3	3	3	3	3
4			5	4	7		6
5					8		
6					9		
7	城主守护神				6001		
8	城主雕像				6002		
11	副本		11		11		11
12	副本		13		13		13
13	副本				12		
21	副本		21		21		21
22	副本		23		23		23
23	副本	24		24	22	24	
31	副本		31		31		31
32	副本		33		33		33
33	副本	34		34	32	34	
41	副本		41		41		41
42	副本		43		43		43
43	副本	44		44	42	44	
51	副本		51		51		51
52	副本		53		53		53
53	副本	54		54	52	54	
61	副本		61		61		61
62	副本		63		63		63
63	副本	64		64	62	64	
71	副本		71		71		71
72	副本		73		73		73
73	副本	74		74	72	74	
81	副本		81		81		81
82	副本		83		83		83
83	副本	84		84	82	84	
91	副本		91		91		91
92	副本		93		93		93
93	副本	94		94	92	94	
101	副本		101		101		101
102	副本		103		103		103
103	副本	104		104	102	104	
111	副本		111		111		111
112	副本		113		113		113
113	副本	114		114	112	114	
121	副本		121		121		121
122	副本		123		123		123
123	副本	124		124	122	124	
131	副本		131		131		131
132	副本		133		133		133
133	副本	134		134	132	134	
141	副本		141		141		141
142	副本		143		143		143
143	副本	144		144	142	144	
151	副本		151		151		151
152	副本		153		153		153
153	副本	154		154	152	154	
161	副本		161		161		161
162	副本		163		163		163
163	副本	164		164	162	164	
171	副本		171		171		171
172	副本		173		173		173
173	副本	174		174	172	174	
181	副本		181		181		181
182	副本		183		183		183
183	副本	184		184	182	184	
191	副本		191		191		191
192	副本		193		193		193
193	副本	194		194	192	194	
201	副本		201		201		201
202	副本		203		203		203
203	副本	204		204	202	204	
211	副本		211		211		211
212	副本		213		213		213
213	副本	214		214	212	214	
221	副本		221		221		221
222	副本		223		223		223
223	副本	224		224	222	224	
231	副本	231	231	231	231	231	231
232	副本	233	233	233	233	233	233
233	副本	234	234	234	232	234	234
241	副本	241	241	241	241	241	241
242	副本	243	243	243	243	243	243
243	副本	244	244	244	242	244	244
251	副本	251	251	251	251	251	251
252	副本	253	253	253	253	253	253
253	副本	254	254	254	252	254	254
261	副本	261	261	261	261	261	261
262	副本	263	263	263	263	263	263
263	副本	264	264	264	262	264	264
271	副本	271	271	271	271	271	271
272	副本	273	273	273	273	273	273
273	副本	274	274	274	272	274	274
281	副本	281	281	281	281	281	281
282	副本	283	283	283	283	283	283
283	副本	284	284	284	282	284	284
291	副本	291	291	291	291	291	291
292	副本	293	293	293	293	293	293
293	副本	294	294	294	292	294	294
301	副本	301	301	301	301	301	301
302	副本	303	303	303	303	303	303
303	副本	304	304	304	302	304	304
311	副本	311	311	311	311	311	311
312	副本	313	313	313	313	313	313
313	副本	314	314	314	312	314	314
321	副本	321	321	321	321	321	321
322	副本	323	323	323	323	323	323
323	副本	324	324	324	322	324	324
331	副本	331	331	331	331	331	331
332	副本	333	333	333	333	333	333
333	副本	334	334	334	332	334	334
341	副本	341	341	341	341	341	341
342	副本	343	343	343	343	343	343
343	副本	344	344	344	342	344	344
351	副本	351	351	351	351	351	351
352	副本	353	353	353	353	353	353
353	副本	354	354	354	352	354	354
361	副本	361	361	361	361	361	361
362	副本	363	363	363	363	363	363
363	副本	364	364	364	362	364	364
371	副本	371	371	371	371	371	371
372	副本	373	373	373	373	373	373
373	副本	374	374	374	372	374	374
381	副本	381	381	381	381	381	381
382	副本	383	383	383	383	383	383
383	副本	384	384	384	382	384	384
391	副本	391	391	391	391	391	391
392	副本	393	393	393	393	393	393
393	副本	394	394	394	392	394	394
401	副本	401	401	401	401	401	401
402	副本	403	403	403	403	403	403
403	副本	404	404	404	402	404	404
411	副本	411	411	411	411	411	411
412	副本	413	413	413	413	413	413
413	副本	414	414	414	412	414	414
421	副本	421	421	421	421	421	421
422	副本	423	423	423	423	423	423
423	副本	424	424	424	422	424	424
431	副本	431	431	431	431	431	431
432	副本	433	433	433	433	433	433
433	副本	434	434	434	432	434	434
441	副本	441	441	441	441	441	441
442	副本	443	443	443	443	443	443
443	副本	444	444	444	442	444	444
451	副本	451	451	451	451	451	451
452	副本	453	453	453	453	453	453
453	副本	454	454	454	452	454	454
461	副本	461	461	461	461	461	461
462	副本	463	463	463	463	463	463
463	副本	464	464	464	462	464	464
471	副本	471	471	471	471	471	471
472	副本	473	473	473	473	473	473
473	副本	474	474	474	472	474	474
481	副本	481	481	481	481	481	481
482	副本	483	483	483	483	483	483
483	副本	484	484	484	482	484	484
491	副本	491	491	491	491	491	491
492	副本	493	493	493	493	493	493
493	副本	494	494	494	492	494	494
501	副本	501	501	501	501	501	501
502	副本	503	503	503	503	503	503
503	副本	504	504	504	502	504	504
511	副本	511	511	511	511	511	511
512	副本	513	513	513	513	513	513
513	副本	514	514	514	512	514	514
521	副本	521	521	521	521	521	521
522	副本	523	523	523	523	523	523
523	副本	524	524	524	522	524	524
531	副本	531	531	531	531	531	531
532	副本	533	533	533	533	533	533
533	副本	534	534	534	532	534	534
541	副本	541	541	541	541	541	541
542	副本	543	543	543	543	543	543
543	副本	544	544	544	542	544	544
551	副本	551	551	551	551	551	551
552	副本	553	553	553	553	553	553
553	副本	554	554	554	552	554	554
561	副本	561	561	561	561	561	561
562	副本	563	563	563	563	563	563
563	副本	564	564	564	562	564	564
571	副本	571	571	571	571	571	571
572	副本	573	573	573	573	573	573
573	副本	574	574	574	572	574	574
581	副本	581	581	581	581	581	581
582	副本	583	583	583	583	583	583
583	副本	584	584	584	582	584	584
591	副本	591	591	591	591	591	591
592	副本	593	593	593	593	593	593
593	副本	594	594	594	592	594	594
601	副本	601	601	601	601	601	601
602	副本	603	603	603	603	603	603
603	副本	604	604	604	602	604	604
611	副本	611	611	611	611	611	611
612	副本	613	613	613	613	613	613
613	副本	614	614	614	612	614	614
621	副本	621	621	621	621	621	621
622	副本	623	623	623	623	623	623
623	副本	624	624	624	622	624	624
631	副本	631	631	631	631	631	631
632	副本	633	633	633	633	633	633
633	副本	634	634	634	632	634	634
641	副本	641	641	641	641	641	641
642	副本	643	643	643	643	643	643
643	副本	644	644	644	642	644	644
651	副本	651	651	651	651	651	651
652	副本	653	653	653	653	653	653
653	副本	654	654	654	652	654	654
661	副本	661	661	661	661	661	661
662	副本	663	663	663	663	663	663
663	副本	664	664	664	662	664	664
671	副本	671	671	671	671	671	671
672	副本	673	673	673	673	673	673
673	副本	674	674	674	672	674	674
681	副本	681	681	681	681	681	681
682	副本	683	683	683	683	683	683
683	副本	684	684	684	682	684	684
691	副本	691	691	691	691	691	691
692	副本	693	693	693	693	693	693
693	副本	694	694	694	692	694	694
701	副本	701	701	701	701	701	701
702	副本	703	703	703	703	703	703
703	副本	704	704	704	702	704	704
711	副本	711	711	711	711	711	711
712	副本	713	713	713	713	713	713
713	副本	714	714	714	712	714	714
721	副本	721	721	721	721	721	721
722	副本	723	723	723	723	723	723
723	副本	724	724	724	722	724	724
731	副本	731	731	731	731	731	731
732	副本	733	733	733	733	733	733
733	副本	734	734	734	732	734	734
741	副本	741	741	741	741	741	741
742	副本	743	743	743	743	743	743
743	副本	744	744	744	742	744	744
751	副本	751	751	751	751	751	751
752	副本	753	753	753	753	753	753
753	副本	754	754	754	752	754	754
761	副本	761	761	761	761	761	761
762	副本	763	763	763	763	763	763
763	副本	764	764	764	762	764	764
771	副本	771	771	771	771	771	771
772	副本	773	773	773	773	773	773
773	副本	774	774	774	772	774	774
781	副本	781	781	781	781	781	781
782	副本	783	783	783	783	783	783
783	副本	784	784	784	782	784	784
791	副本	791	791	791	791	791	791
792	副本	793	793	793	793	793	793
793	副本	794	794	794	792	794	794
801	副本	801	801	801	801	801	801
802	副本	803	803	803	803	803	803
803	副本	804	804	804	802	804	804
811	副本	811	811	811	811	811	811
812	副本	813	813	813	813	813	813
813	副本	814	814	814	812	814	814
821	副本	821	821	821	821	821	821
822	副本	823	823	823	823	823	823
823	副本	824	824	824	822	824	824
831	副本	831	831	831	831	831	831
832	副本	833	833	833	833	833	833
833	副本	834	834	834	832	834	834
841	副本	841	841	841	841	841	841
842	副本	843	843	843	843	843	843
843	副本	844	844	844	842	844	844
851	副本	851	851	851	851	851	851
852	副本	853	853	853	853	853	853
853	副本	854	854	854	852	854	854
861	副本	861	861	861	861	861	861
862	副本	863	863	863	863	863	863
863	副本	864	864	864	862	864	864
871	副本	871	871	871	871	871	871
872	副本	873	873	873	873	873	873
873	副本	874	874	874	872	874	874
881	副本	881	881	881	881	881	881
882	副本	883	883	883	883	883	883
883	副本	884	884	884	882	884	884
891	副本	891	891	891	891	891	891
892	副本	893	893	893	893	893	893
893	副本	894	894	894	892	894	894
901	副本	901	901	901	901	901	901
902	副本	903	903	903	903	903	903
903	副本	904	904	904	902	904	904
911	副本	911	911	911	911	911	911
912	副本	913	913	913	913	913	913
913	副本	914	914	914	912	914	914
921	副本	921	921	921	921	921	921
922	副本	923	923	923	923	923	923
923	副本	924	924	924	922	924	924
931	副本	931	931	931	931	931	931
932	副本	933	933	933	933	933	933
933	副本	934	934	934	932	934	934
941	副本	941	941	941	941	941	941
942	副本	943	943	943	943	943	943
943	副本	944	944	944	942	944	944
951	副本	951	951	951	951	951	951
952	副本	953	953	953	953	953	953
953	副本	954	954	954	952	954	954
961	副本	961	961	961	961	961	961
962	副本	963	963	963	963	963	963
963	副本	964	964	964	962	964	964
971	副本	971	971	971	971	971	971
972	副本	973	973	973	973	973	973
973	副本	974	974	974	972	974	974
981	副本	981	981	981	981	981	981
982	副本	983	983	983	983	983	983
983	副本	984	984	984	982	984	984
991	副本	991	991	991	991	991	991
992	副本	993	993	993	993	993	993
993	副本	994	994	994	992	994	994
1001	副本	1001	1001	1001	1001	1001	1001
1002	副本	1003	1003	1003	1003	1003	1003
1003	副本	1004	1004	1004	1002	1004	1004
1011	副本	1011	1011	1011	1011	1011	1011
1012	副本	1013	1013	1013	1013	1013	1013
1013	副本	1014	1014	1014	1012	1014	1014
1021	副本	1021	1021	1021	1021	1021	1021
1022	副本	1023	1023	1023	1023	1023	1023
1023	副本	1024	1024	1024	1022	1024	1024
1031	副本	1031	1031	1031	1031	1031	1031
1032	副本	1033	1033	1033	1033	1033	1033
1033	副本	1034	1034	1034	1032	1034	1034
1041	副本	1041	1041	1041	1041	1041	1041
1042	副本	1043	1043	1043	1043	1043	1043
1043	副本	1044	1044	1044	1042	1044	1044
1051	副本	1051	1051	1051	1051	1051	1051
1052	副本	1053	1053	1053	1053	1053	1053
1053	副本	1054	1054	1054	1052	1054	1054
1061	副本	1061	1061	1061	1061	1061	1061
