skillId	skillLevel	name	skillZDL
技能ID	技能等级	技能名字，策划用	技能战斗力
101	1	猛击	50
101	2	猛击	1000
101	3	猛击	1500
101	4	猛击	2609
101	5	猛击	3000
102	1	巨龙劈	100
102	2	巨龙劈	1000
102	3	巨龙劈	2000
102	4	巨龙劈	2500
103	1	光明护盾	420
103	2	光明护盾	1800
103	3	光明护盾	2300
103	4	光明护盾	2800
104	1	红莲飞刃	1100
104	2	红莲飞刃	1600
104	3	红莲飞刃	2300
104	4	红莲飞刃	2800
105	1	伤口包扎	1200
105	2	伤口包扎	1500
106	1	裂风	50
106	2	裂风	200
106	3	裂风	1300
106	4	裂风	2000
106	5	裂风	2500
107	1	激励	1900
107	2	激励	2500
108	1	战神守护	2000
108	2	战神守护	2800
109	1	爆炎	50
109	2	爆炎	1000
109	3	爆炎	1500
109	4	爆炎	2609
109	5	爆炎	3000
110	1	神圣审判	100
110	2	神圣审判	1000
110	3	神圣审判	2000
110	4	神圣审判	2500
111	1	风之庇佑	420
111	2	风之庇佑	1800
111	3	风之庇佑	2300
111	4	风之庇佑	2800
112	1	雷鸣爆破	1100
112	2	雷鸣爆破	1600
112	3	雷鸣爆破	2300
112	4	雷鸣爆破	2800
113	1	神圣之光	1200
113	2	神圣之光	1500
114	1	落雷	50
114	2	落雷	200
114	3	落雷	2000
114	4	落雷	2500
114	5	落雷	2500
115	1	战争祝福	1900
115	2	战争祝福	2500
116	1	群体治愈	2000
116	2	群体治愈	2800
1003	1	冰雪风暴	140
1003	2	冰雪风暴	735
1003	3	冰雪风暴	1162
1003	4	冰雪风暴	1386
1003	5	冰雪风暴	1554
1003	6	冰雪风暴	1687
1003	7	冰雪风暴	1841
1003	8	冰雪风暴	1995
1003	9	冰雪风暴	2149
1003	10	冰雪风暴	2303
1004	1	炎龙吐息	140
1004	2	炎龙吐息	735
1004	3	炎龙吐息	1162
1004	4	炎龙吐息	1386
1004	5	炎龙吐息	1554
1004	6	炎龙吐息	1687
1004	7	炎龙吐息	1841
1004	8	炎龙吐息	1995
1004	9	炎龙吐息	2149
1004	10	炎龙吐息	2303
2127	1	突刺	100
2128	1	聚龙突刺	100
2129	1	劲弩	100
2130	1	爆裂之弩	100
2131	1	聚力斩	100
2132	1	圣光斩	100
2133	1	撕裂之爪	100
2134	1	疾风钢爪	100
2135	1	冰锥术	100
2136	1	冰雹雨	100
2137	1	长矛突刺	100
2138	1	龙牙突刺	100
2139	1	大天使主动技	100
2140	1	圣光天使主动技	100
2141	1	投矛手主动技	100
2142	1	致命投矛手主动技	100
2143	1	僵尸主动技	100
2144	1	嗜血狂魔主动技	100
2145	1	噬心诅咒	100
2146	1	心灵痛击	100
2147	1	血刃	100
2148	1	鲜血魔刃	100
2149	1	尸巫主动技	100
2150	1	毒气尸巫主动技	100
2151	1	死亡骑士主动技	100
2152	1	恐怖骑士主动技	100
2153	1	死神之镰	100
2154	1	死亡恐惧	100
2155	1	地精主动技	100
2156	1	地精进阶主动技	100
2157	1	旋风	100
2158	1	黑影狂风	100
2159	1	阔斧劈	100
2160	1	丧胆猛劈	100
2161	1	愤怒	100
2162	1	狂暴	100
2163	1	啄击	100
2164	1	电闪一击	100
2165	1	独眼巨人主动技	100
2166	1	独眼巨人进阶主动技	100
2167	1	爪击	100
2168	1	撕裂	100
2169	1	流云斩	100
2170	1	风暴双刃	100
2171	1	魔法弓箭	100
2172	1	冰魔箭	100
2173	1	寒冰刺	100
2174	1	冰封之球	100
2175	1	独角兽主动技	100
2176	1	独角兽进阶主动技	100
2177	1	光芒之剑	100
2178	1	净魔之剑	100
2179	1	树精主动技	100
2180	1	树精进阶主动技	100
2181	1	火焰吐息	100
2182	1	神圣之火	100
2183	1	石盾	100
2184	1	钻石之盾	100
2185	1	掷矛手主动技	100
2186	1	掷矛手进阶主动技	100
2187	1	熊吼	100
2188	1	巨熊之怒	100
2189	1	狂战士主动技	100
2190	1	狂战士进阶主动技	100
2191	1	圣光术	100
2192	1	圣光照	100
2193	1	雷涌	100
2194	1	雷鸣风暴	100
2195	1	岩石之肤	100
2196	1	钻石之肤	100
2197	1	小恶魔主动技	100
2198	1	小恶魔进阶主动技	100
2199	1	致命长枪	100
2200	1	龙枪突刺	100
2201	1	精神鞭笞	100
2202	1	死亡鞭笞	100
2203	1	刺魔主动技	100
2204	1	刺魔进阶主动技	100
2205	1	梦魇主动技	100
2206	1	梦魇进阶主动技	100
2207	1	狂战魔主动技	100
2208	1	狂战魔进阶主动技	100
2209	1	血之渴望	100
2210	1	血腥之翼	100
2211	1	气元素主动技	100
