FBID	vipType	time_reward_money	time_reward_items	bindrmb_reward_money	bindrmb_reward_items	rmb_reward_money	rmb_reward_items	money_reward_money	money_reward_items
副本ID	vip类型	时间找回金币	时间找回物品	魔晶找回金币	魔晶找回物品	神石找回金币	神石找回物品	金币找回金币	金币找回物品
1	1	9375		13125		16875		9375	
2	1	18750		26250		33750		18750	
3	1	31875		44625		57375		31875	
4	1	26250		36750		47250		26250	
5	1	59250		82950		106650		59250	
6	1	73500		102900		132300		73500	
7	1	88875		124425		159975		88875	
8	1	104250		145950		187650		104250	
9	1	120750		169050		217350		120750	
10	1	137250		192150		247050		137250	
11	1	145500		203700		261900		145500	
12	1	153750		215250		276750		153750	
13	1	160500		224700		288900		160500	
14	1	167250		234150		301050		167250	
15	1	174000		243600		313200		174000	
16	1	180750		253050		325350		180750	
17	1	187500		262500		337500		187500	
18	1	194250		271950		349650		194250	
19	1	201000		281400		361800		201000	
20	1	207750		290850		373950		207750	
21	1	214500		300300		386100		214500	
22	1	221250		309750		398250		221250	
23	1	226375		316925		407475		226375	
24	1	234625		328475		422325		234625	
25	1	244875		342825		440775		244875	
26	1	258250		361550		464850		258250	
27	1	273625		383075		492525		273625	
28	1	292125		408975		525825		292125	
29	1	312625		437675		562725		312625	
30	1	339375		475125		610875		339375	
31	1	371250		519750		668250		371250	
32	1	409375		573125		736875		409375	
33	1	453125		634375		815625		453125	
34	1	500000		700000		900000		500000	
35	1	550000		770000		990000		550000	
36	1	603125		844375		1085625		603125	
37	1	659375		923125		1186875		659375	
38	1	718750		1006250		1293750		718750	
39	1	781250		1093750		1406250		781250	
40	1	843750		1181250		1518750		843750	
41	1	906250		1268750		1631250		906250	
42	1	968750		1356250		1743750		968750	
43	1	1025625		1435875		1846125		1025625	
44	1	1076875		1507625		1938375		1076875	
45	1	1122500		1571500		2020500		1122500	
46	1	1162500		1627500		2092500		1162500	
47	1	1196875		1675625		2154375		1196875	
48	1	1225625		1715875		2206125		1225625	
49	1	1248750		1748250		2247750		1248750	
50	1	1266250		1772750		2279250		1266250	
51	1	1278125		1789375		2300625		1278125	
52	1	1284375		1798125		2311875		1284375	
53	1	1290625		1806875		2323125		1290625	
