level	exp_f_exp	exp_f_items	qna_f_money	qna_f_items	df_f_exp	df_f_money	hw_f_money	hw_f_reputation	hw_f_items	jjc_f_reputation	jjc_f_items	daytask_f_exp	daytask_f_money	daytask_f_items	dl_f_exp	cfb_f_items
角色等级	经验找回每次经验值	经验找回每次物品	答题找回金币	答题找回物品列表	魔兽入侵找回经验	魔兽入侵找回金币	荣耀之战找回金币	荣耀之战找回声望	荣耀之战找回物品	英雄竞技找回声望	英雄竞技找回物品	日常任务经验	日常任务找回金币	日常任务找回物品	勇者试练场经验	情缘副本物品
30	73500	[(25636,30)]	97986		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	45360	[(26344,7),(25681,14)]
31	73500	[(25636,30)]	106386		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	55440	[(26344,7),(25681,14)]
32	73500	[(25636,30)]	114786		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	55440	[(26344,7),(25681,14)]
33	73500	[(25636,30)]	123186		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
34	73500	[(25636,30)]	131586		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
35	73500	[(25636,30)]	148386		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
36	73500	[(25636,30)]	156786		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
37	73500	[(25636,30)]	165186		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
38	73500	[(25636,30)]	173586		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
39	73500	[(25636,30)]	181986		68880	96320	525000	2380	[(25661,28)]	1400	[(25681,42)]	63000	147000	[(26105,21)]	80640	[(26344,7),(25681,14)]
