level	vipType	exp_f_exp	exp_f_items	qna_f_money	qna_f_items	df_f_exp	df_f_money	hw_f_money	hw_f_reputation	hw_f_items	jjc_f_reputation	jjc_f_items	daytask_f_exp	daytask_f_money	daytask_f_items	dl_f_exp	cfb_f_items
角色等级	贵族类型	经验找回每次经验值	经验找回每次物品	答题找回金币	答题找回物品列表	魔兽入侵找回经验	魔兽入侵找回金币	荣耀之战找回金币	荣耀之战找回声望	荣耀之战找回物品	英雄竞技找回声望	英雄竞技找回物品	日常任务经验	日常任务找回金币	日常任务找回物品	勇者试练场经验	情缘副本物品
30	1	110250	[(25636,45)]	125982		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	58320	[(26344,9),(25681,18)]
31	1	110250	[(25636,45)]	136782		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	71280	[(26344,9),(25681,18)]
32	1	110250	[(25636,45)]	147582		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	71280	[(26344,9),(25681,18)]
33	1	110250	[(25636,45)]	158382		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
34	1	110250	[(25636,45)]	169182		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
35	1	110250	[(25636,45)]	190782		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
36	1	110250	[(25636,45)]	201582		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
37	1	110250	[(25636,45)]	212382		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
38	1	110250	[(25636,45)]	223182		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
39	1	110250	[(25636,45)]	233982		88560	123840	675000	3060	[(25661,36)]	1800	[(25681,54)]	81000	189000	[(26105,27)]	103680	[(26344,9),(25681,18)]
40	1	234000	[(25638,67)]	253098		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	118800	[(26344,9),(25682,18)]
41	1	234000	[(25638,67)]	255906		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	127440	[(26344,9),(25682,18)]
42	1	234000	[(25638,67)]	258714		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	142560	[(26344,9),(25682,18)]
43	1	234000	[(25638,67)]	261522		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	153360	[(26344,9),(25682,18)]
44	1	234000	[(25638,67)]	264330		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	153360	[(26344,9),(25682,18)]
45	1	234000	[(25638,67)]	267138		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	153360	[(26344,9),(25682,18)]
46	1	234000	[(25638,67)]	270000		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
47	1	234000	[(25638,67)]	272808		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
48	1	234000	[(25638,67)]	275616		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
49	1	234000	[(25638,67)]	278424		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
50	1	234000	[(25638,67)]	284040		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
51	1	234000	[(25638,67)]	286848		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
52	1	234000	[(25638,67)]	289656		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
53	1	234000	[(25638,67)]	292464		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
54	1	234000	[(25638,67)]	295272		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
55	1	234000	[(25638,67)]	298080		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
56	1	234000	[(25638,67)]	300888		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
57	1	234000	[(25638,67)]	303750		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
58	1	234000	[(25638,67)]	306558		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
59	1	234000	[(25638,67)]	309366		124020	168120	675000	3060	[(25661,36)]	1800	[(25682,54)]	135000	270000	[(26106,27)]	155520	[(26344,9),(25682,18)]
60	1	348750	[(25639,67)]	313848		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	198720	[(26344,14),(25683,18)]
61	1	348750	[(25639,67)]	317358		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	207360	[(26344,14),(25683,18)]
62	1	348750	[(25639,67)]	320814		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	224640	[(26344,14),(25683,18)]
63	1	348750	[(25639,67)]	324324		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
64	1	348750	[(25639,67)]	327780		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
65	1	348750	[(25639,67)]	331290		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
66	1	348750	[(25639,67)]	334800		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
67	1	348750	[(25639,67)]	338256		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
68	1	348750	[(25639,67)]	341766		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
69	1	348750	[(25639,67)]	345222		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	237600	[(26344,14),(25683,18)]
70	1	348750	[(25639,67)]	352188		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
71	1	348750	[(25639,67)]	355698		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
72	1	348750	[(25639,67)]	359208		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
73	1	348750	[(25639,67)]	362664		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
74	1	348750	[(25639,67)]	366174		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
75	1	348750	[(25639,67)]	369630		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
76	1	348750	[(25639,67)]	373140		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
77	1	348750	[(25639,67)]	376650		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
78	1	348750	[(25639,67)]	380106		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
79	1	348750	[(25639,67)]	383616		177120	212400	1305000	5985	[(25662,36)]	1800	[(25683,54)]	270000	540000	[(26107,57)]	239760	[(26344,14),(25683,18)]
80	1	463500	[(25640,67)]	387450		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	267840	[(26344,21),(25684,18)]
81	1	463500	[(25640,67)]	404028		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	278640	[(26344,21),(25684,18)]
