sex	index	serverType	rankInterval	reward	rewardItemShow
性别	排名索引	服务器类型	排名区间	奖励	物品奖励(客户端用）
1	1	1	1,1	[(28797,1),(26481,1),(28811,1),(26676,10),(28844,30),(28970,10)]	[(26481,1),(28811,1),(26676,10),(28844,30),(28970,10)]
1	2	1	2,2	[(28812,1),(26676,8),(28844,20),(28970,8)]	[(28812,1),(26676,8),(28844,20),(28970,8)]
1	3	1	3,3	[(28812,1),(26676,7),(28844,15),(28970,6)]	[(28812,1),(26676,7),(28844,15),(28970,6)]
1	4	1	4,10	[(28813,1),(26676,5),(28844,10),(28970,4)]	[(28813,1),(26676,5),(28844,10),(28970,4)]
1	5	1	11,20	[(28814,1),(26676,3),(26677,15),(28970,2)]	[(28814,1),(26676,3),(26677,15),(28970,2)]
1	6	1	21,50	[(28815,1),(26676,2),(26677,10),(28970,1)]	[(28815,1),(26676,2),(26677,10),(28970,1)]
2	1	1	1,1	[(28799,1),(26481,1),(28811,1),(26676,10),(28844,30),(28970,10)]	[(26481,1),(28811,1),(26676,10),(28844,30),(28970,10)]
2	2	1	2,2	[(28812,1),(26676,8),(28844,20),(28970,8)]	[(28812,1),(26676,8),(28844,20),(28970,8)]
2	3	1	3,3	[(28812,1),(26676,7),(28844,15),(28970,6)]	[(28812,1),(26676,7),(28844,15),(28970,6)]
2	4	1	4,10	[(28813,1),(26676,5),(28844,10),(28970,4)]	[(28813,1),(26676,5),(28844,10),(28970,4)]
2	5	1	11,20	[(28814,1),(26676,3),(26677,15),(28970,2)]	[(28814,1),(26676,3),(26677,15),(28970,2)]
2	6	1	21,50	[(28815,1),(26676,2),(26677,10),(28970,1)]	[(28815,1),(26676,2),(26677,10),(28970,1)]
