zjID	fbId	index	fbName	FbImg	sceneId	needLevel	posX	posY	Monster1	x1	y1	face1	reward1	camp1	fight1	Monster2	x2	y2	face2	reward2	camp2	fight2	Monster3	x3	y3	face3	reward3	camp3	fight3	mc1	mc2	mc3	rewardId	jlyl	ljyl
章节ID	副本ID	副本索引（在一个章节中副本类型的排列顺序）	副本名字	副本界面中的副本图标	副本场景ID	需要神龙等级	进入x坐标	进入y坐标	怪物1	坐标x1	坐标y1	朝向1	奖励1	阵营1	战斗底图1	怪物2	坐标x2	坐标y2	朝向2	奖励2	阵营2	战斗底图2	怪物3	坐标x3	坐标y3	朝向3	奖励3	阵营3	战斗底图3	怪物配置1(怪物npc类型,坐标x,坐标y,朝向,奖励ID,阵营id,战斗类型)	怪物配置2	怪物配置3	通关翻牌奖励ID	副本奖励预览（客户端显示）	龙心预览（客户端显示）
1	1	1	绿龙	30031	53	1	512	782	11001	789	697	0	11	12001	38	11001	1127	526	0	12	12002	38	11022	1464	274	0	13	12003	38	(11001,789,697,0,11,12001,38)	(11001,1127,526,0,12,12002,38)	(11022,1464,274,0,13,12003,38)	14	[26451,26452]	[26451,1～9]
1	2	2	白龙	30032	54	20	238	1343	11002	733	1111	0	21	12011	39	11002	1509	791	0	22	12012	39	11023	1589	452	0	23	12013	39	(11002,733,1111,0,21,12011,39)	(11002,1509,791,0,22,12012,39)	(11023,1589,452,0,23,12013,39)	24	[26451,26453]	[26451,1～9]
1	3	3	红龙	30033	53	30	512	782	11003	789	697	0	31	12021	40	11003	1127	526	0	32	12022	40	11024	1464	274	0	33	12023	40	(11003,789,697,0,31,12021,40)	(11003,1127,526,0,32,12022,40)	(11024,1464,274,0,33,12023,40)	34	[26451,26453]	[26451,1～9]
1	4	4	蓝龙	30034	54	40	238	1343	11004	733	1111	0	41	12031	38	11004	1509	791	0	42	12032	38	11025	1589	452	0	43	12033	38	(11004,733,1111,0,41,12031,38)	(11004,1509,791,0,42,12032,38)	(11025,1589,452,0,43,12033,38)	44	[26451,26454]	[26451,1～9]
1	5	5	绿龙祭祀	30031	53	45	512	782	11005	789	697	0	51	12041	39	11005	1127	526	0	52	12042	39	11026	1464	274	0	53	12043	39	(11005,789,697,0,51,12041,39)	(11005,1127,526,0,52,12042,39)	(11026,1464,274,0,53,12043,39)	54	[26451,26454]	[26451,1～9]
2	6	1	绿龙	30031	55	50	243	949	11006	507	840	0	61	12051	40	11006	964	547	0	62	12052	40	11027	1482	332	0	63	12053	40	(11006,507,840,0,61,12051,40)	(11006,964,547,0,62,12052,40)	(11027,1482,332,0,63,12053,40)	64	[26451,26454]	[26451,1～9]
2	7	2	白龙	30032	56	55	385	1522	11007	725	1350	0	71	12061	38	11007	1509	791	0	72	12062	38	11028	2000	565	0	73	12063	38	(11007,725,1350,0,71,12061,38)	(11007,1509,791,0,72,12062,38)	(11028,2000,565,0,73,12063,38)	74	[26451,26454]	[26451,1～9]
2	8	3	红龙	30033	55	60	243	949	11008	507	840	0	81	12071	39	11008	964	547	0	82	12072	39	11029	1482	332	0	83	12073	39	(11008,507,840,0,81,12071,39)	(11008,964,547,0,82,12072,39)	(11029,1482,332,0,83,12073,39)	84	[26451,26455]	[26451,1～9]
2	9	4	蓝龙	30034	56	65	385	1522	11009	725	1350	0	91	12081	40	11009	1509	791	0	92	12082	40	11030	2000	565	0	93	12083	40	(11009,725,1350,0,91,12081,40)	(11009,1509,791,0,92,12082,40)	(11030,2000,565,0,93,12083,40)	94	[26451,26455]	[26451,1～9]
2	10	5	金龙	30035	55	70	243	949	11010	507	840	0	101	12091	38	11010	964	547	0	102	12092	38	11031	1482	332	0	103	12093	38	(11010,507,840,0,101,12091,38)	(11010,964,547,0,102,12092,38)	(11031,1482,332,0,103,12093,38)	104	[26451,26455]	[26451,1～9]
2	11	6	黑龙	30036	56	75	385	1522	11011	725	1350	0	111	12101	39	11011	1509	791	0	112	12102	39	11032	2000	565	0	113	12103	39	(11011,725,1350,0,111,12101,39)	(11011,1509,791,0,112,12102,39)	(11032,2000,565,0,113,12103,39)	114	[26451,26455]	[26451,1～9]
2	12	7	彩虹龙	30037	55	80	243	949	11012	507	840	0	121	12111	40	11012	964	547	0	122	12112	40	11033	1482	332	0	123	12113	40	(11012,507,840,0,121,12111,40)	(11012,964,547,0,122,12112,40)	(11033,1482,332,0,123,12113,40)	124	[26451,26456]	[26451,1～9]
2	13	8	白金龙	30038	56	85	385	1522	11013	725	1350	0	131	12121	38	11013	1509	791	0	132	12122	38	11034	2000	565	0	133	12123	38	(11013,725,1350,0,131,12121,38)	(11013,1509,791,0,132,12122,38)	(11034,2000,565,0,133,12123,38)	134	[26451,26456]	[26451,1～9]
2	14	9	龙巫妖	30040	55	90	243	949	11014	507	840	0	141	12131	39	11014	964	547	0	142	12132	39	11035	1482	332	0	143	12133	39	(11014,507,840,0,141,12131,39)	(11014,964,547,0,142,12132,39)	(11035,1482,332,0,143,12133,39)	144	[26451,26456]	[26451,1～9]
2	15	10	红龙刺客	30033	56	95	385	1522	11015	725	1350	0	151	12141	40	11015	1509	791	0	152	12142	40	11036	2000	565	0	153	12143	40	(11015,725,1350,0,151,12141,40)	(11015,1509,791,0,152,12142,40)	(11036,2000,565,0,153,12143,40)	154	[26451,26456]	[26451,1～9]
3	16	1	绿龙	30031	57	100	241	234	11016	473	591	0	161	12151	38	11016	893	800	0	162	12152	38	11037	1329	601	0	163	12153	38	(11016,473,591,0,161,12151,38)	(11016,893,800,0,162,12152,38)	(11037,1329,601,0,163,12153,38)	164	[26451,26456]	[26451,1～9]
