rewardId	big_type	toll_gate_level	little_type	ifboss	money	rate1	itemCoding1	cnt1	rate2	itemCoding2	cnt2	rate3	itemCoding3	cnt3	rate4	itemCoding4	cnt4	rate5	itemCoding5	cnt5
奖励ID	大类	关卡级别	小类	(纯拉表用）是否BOSS	奖励金币	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量
11	1	1	第一场战斗	0	0	10000	26452	3	0	0	0	0	0	0	0	0	0	0	0	0
12	1	1	第二场战斗	0	0	10000	26452	4	0	0	0	0	0	0	0	0	0	0	0	0
13	1	1	boss战斗	1	0	10000	26452	5	0	0	0	0	0	0	0	0	0	0	0	0
14	1	1	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26452	2
21	1	2	第一场战斗	0	0	10000	26453	3	0	0	0	0	0	0	0	0	0	0	0	0
22	1	2	第二场战斗	0	0	10000	26453	4	0	0	0	0	0	0	0	0	0	0	0	0
23	1	2	boss战斗	1	0	10000	26453	5	0	0	0	0	0	0	0	0	0	0	0	0
24	1	2	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26453	2
31	1	3	第一场战斗	0	0	10000	26453	6	0	0	0	0	0	0	0	0	0	0	0	0
32	1	3	第二场战斗	0	0	10000	26453	7	0	0	0	0	0	0	0	0	0	0	0	0
33	1	3	boss战斗	1	0	10000	26453	8	0	0	0	0	0	0	0	0	0	0	0	0
34	1	3	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26453	2
41	1	4	第一场战斗	0	0	10000	26454	4	0	0	0	0	0	0	0	0	0	0	0	0
42	1	4	第二场战斗	0	0	10000	26454	5	0	0	0	0	0	0	0	0	0	0	0	0
43	1	4	boss战斗	1	0	10000	26454	6	0	0	0	0	0	0	0	0	0	0	0	0
44	1	4	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26454	2
51	1	5	第一场战斗	0	0	10000	26454	5	0	0	0	0	0	0	0	0	0	0	0	0
52	1	5	第二场战斗	0	0	10000	26454	6	0	0	0	0	0	0	0	0	0	0	0	0
53	1	5	boss战斗	1	0	10000	26454	7	0	0	0	0	0	0	0	0	0	0	0	0
54	1	5	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26454	2
61	1	6	第一场战斗	0	0	10000	26454	7	0	0	0	0	0	0	0	0	0	0	0	0
62	1	6	第二场战斗	0	0	10000	26454	7	0	0	0	0	0	0	0	0	0	0	0	0
63	1	6	boss战斗	1	0	10000	26454	8	0	0	0	0	0	0	0	0	0	0	0	0
64	1	6	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26454	2
71	1	7	第一场战斗	0	0	10000	26454	7	0	0	0	0	0	0	0	0	0	0	0	0
72	1	7	第二场战斗	0	0	10000	26454	7	0	0	0	0	0	0	0	0	0	0	0	0
73	1	7	boss战斗	1	0	10000	26454	8	0	0	0	0	0	0	0	0	0	0	0	0
74	1	7	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26454	2
81	1	8	第一场战斗	0	0	10000	26455	4	0	0	0	0	0	0	0	0	0	0	0	0
82	1	8	第二场战斗	0	0	10000	26455	5	0	0	0	0	0	0	0	0	0	0	0	0
83	1	8	boss战斗	1	0	10000	26455	6	0	0	0	0	0	0	0	0	0	0	0	0
84	1	8	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26455	2
91	1	9	第一场战斗	0	0	10000	26455	5	0	0	0	0	0	0	0	0	0	0	0	0
92	1	9	第二场战斗	0	0	10000	26455	5	0	0	0	0	0	0	0	0	0	0	0	0
93	1	9	boss战斗	1	0	10000	26455	7	0	0	0	0	0	0	0	0	0	0	0	0
94	1	9	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26455	2
101	1	10	第一场战斗	0	0	10000	26455	6	0	0	0	0	0	0	0	0	0	0	0	0
102	1	10	第二场战斗	0	0	10000	26455	7	0	0	0	0	0	0	0	0	0	0	0	0
103	1	10	boss战斗	1	0	10000	26455	7	0	0	0	0	0	0	0	0	0	0	0	0
104	1	10	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26455	2
111	1	11	第一场战斗	0	0	10000	26455	6	0	0	0	0	0	0	0	0	0	0	0	0
112	1	11	第二场战斗	0	0	10000	26455	7	0	0	0	0	0	0	0	0	0	0	0	0
113	1	11	boss战斗	1	0	10000	26455	7	0	0	0	0	0	0	0	0	0	0	0	0
114	1	11	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26455	2
121	1	12	第一场战斗	0	0	10000	26456	3	0	0	0	0	0	0	0	0	0	0	0	0
122	1	12	第二场战斗	0	0	10000	26456	3	0	0	0	0	0	0	0	0	0	0	0	0
123	1	12	boss战斗	1	0	10000	26456	4	0	0	0	0	0	0	0	0	0	0	0	0
124	1	12	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
131	1	13	第一场战斗	0	0	10000	26456	3	0	0	0	0	0	0	0	0	0	0	0	0
132	1	13	第二场战斗	0	0	10000	26456	3	0	0	0	0	0	0	0	0	0	0	0	0
133	1	13	boss战斗	1	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
134	1	13	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
141	1	14	第一场战斗	0	0	10000	26456	3	0	0	0	0	0	0	0	0	0	0	0	0
142	1	14	第二场战斗	0	0	10000	26456	4	0	0	0	0	0	0	0	0	0	0	0	0
143	1	14	boss战斗	1	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
144	1	14	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
151	1	15	第一场战斗	0	0	10000	26456	3	0	0	0	0	0	0	0	0	0	0	0	0
152	1	15	第二场战斗	0	0	10000	26456	4	0	0	0	0	0	0	0	0	0	0	0	0
153	1	15	boss战斗	1	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
154	1	15	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
161	1	16	第一场战斗	0	0	10000	26456	4	0	0	0	0	0	0	0	0	0	0	0	0
162	1	16	第二场战斗	0	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
163	1	16	boss战斗	1	0	10000	26456	6	0	0	0	0	0	0	0	0	0	0	0	0
164	1	16	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
171	1	17	第一场战斗	0	0	10000	26456	4	0	0	0	0	0	0	0	0	0	0	0	0
172	1	17	第二场战斗	0	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
173	1	17	boss战斗	1	0	10000	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
174	1	17	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
181	1	18	第一场战斗	0	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
182	1	18	第二场战斗	0	0	10000	26456	6	0	0	0	0	0	0	0	0	0	0	0	0
183	1	18	boss战斗	1	0	10000	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
184	1	18	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
191	1	19	第一场战斗	0	0	10000	26456	5	0	0	0	0	0	0	0	0	0	0	0	0
192	1	19	第二场战斗	0	0	10000	26456	6	0	0	0	0	0	0	0	0	0	0	0	0
193	1	19	boss战斗	1	0	10000	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
194	1	19	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
201	1	20	第一场战斗	0	0	10000	26456	6	0	0	0	0	0	0	0	0	0	0	0	0
202	1	20	第二场战斗	0	0	10000	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
203	1	20	boss战斗	1	0	10000	26456	8	0	0	0	0	0	0	0	0	0	0	0	0
204	1	20	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
211	1	21	第一场战斗	0	0	10000	26456	6	0	0	0	0	0	0	0	0	0	0	0	0
212	1	21	第二场战斗	0	0	10000	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
213	1	21	boss战斗	1	0	10000	26456	9	0	0	0	0	0	0	0	0	0	0	0	0
214	1	21	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
221	1	22	第一场战斗	0	0	10000	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
222	1	22	第二场战斗	0	0	10000	26456	8	0	0	0	0	0	0	0	0	0	0	0	0
223	1	22	boss战斗	1	0	10000	26456	9	0	0	0	0	0	0	0	0	0	0	0	0
224	1	22	翻牌	0	0	6500	26451	1	2000	26451	2	1000	26451	4	250	26451	2	250	26456	2
231	1	23	第一场战斗	0	0	9950	26456	7	0	0	0	0	0	0	0	0	0	0	0	0
232	1	23	第二场战斗	0	0	9950	26456	8	0	0	0	0	0	0	0	0	0	0	0	0
233	1	23	boss战斗	1	0	9950	26456	9	0	0	0	0	0	0	0	0	0	0	0	0
234	1	23	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26456	2
241	1	24	第一场战斗	0	0	9950	26457	4	0	0	0	0	0	0	0	0	0	0	0	0
242	1	24	第二场战斗	0	0	9950	26457	4	0	0	0	0	0	0	0	0	0	0	0	0
243	1	24	boss战斗	1	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
244	1	24	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
251	1	25	第一场战斗	0	0	9950	26457	4	0	0	0	0	0	0	0	0	0	0	0	0
252	1	25	第二场战斗	0	0	9950	26457	5	0	0	0	0	0	0	0	0	0	0	0	0
253	1	25	boss战斗	1	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
254	1	25	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
261	1	26	第一场战斗	0	0	9950	26457	4	0	0	0	0	0	0	0	0	0	0	0	0
262	1	26	第二场战斗	0	0	9950	26457	5	0	0	0	0	0	0	0	0	0	0	0	0
263	1	26	boss战斗	1	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
264	1	26	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
271	1	27	第一场战斗	0	0	9950	26457	4	0	0	0	0	0	0	0	0	0	0	0	0
272	1	27	第二场战斗	0	0	9950	26457	5	0	0	0	0	0	0	0	0	0	0	0	0
273	1	27	boss战斗	1	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
274	1	27	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
281	1	28	第一场战斗	0	0	9950	26457	5	0	0	0	0	0	0	0	0	0	0	0	0
282	1	28	第二场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
283	1	28	boss战斗	1	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
