geniusLv	geniusNeedTempleLv	geniusNeedLv
军团等级	普通技能需要神殿的等级	特殊技能需要人物的等级
1	1	61
2	2	62
3	3	63
4	4	64
5	5	65
6	6	66
7	7	67
8	8	68
9	9	69
10	10	70
11	11	71
12	12	72
13	13	73
14	14	74
15	15	75
16	16	76
17	17	77
18	18	78
19	19	79
20	20	80
21	20	81
22	20	82
23	20	83
24	20	84
25	20	85
26	20	86
27	20	87
28	20	88
29	20	89
30	20	90
31	20	91
32	20	92
33	20	93
34	20	94
35	20	95
36	20	96
37	20	97
38	20	98
39	20	99
40	20	100
41	20	101
42	20	102
43	20	103
44	20	104
45	20	105
46	20	106
47	20	107
48	20	108
49	20	109
50	20	110
51	20	111
52	20	112
53	20	113
54	20	114
55	20	115
56	20	116
57	20	117
58	20	118
59	20	119
60	20	120
61	20	121
62	20	122
63	20	123
64	20	124
65	20	125
66	20	126
67	20	127
68	20	128
69	20	129
70	20	130
71	20	131
72	20	132
73	20	133
74	20	134
75	20	135
76	20	136
77	20	137
78	20	138
79	20	139
80	20	140
81	20	141
82	20	142
83	20	143
84	20	144
85	20	145
86	20	146
87	20	147
88	20	148
89	20	149
90	20	150
91	20	151
92	20	152
93	20	153
94	20	154
95	20	155
96	20	156
97	20	157
98	20	158
99	20	159
100	20	160
