level	specialMaxLevel
角色等级	特殊天赋最大等级
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	1
62	2
63	3
64	4
65	5
66	6
67	7
68	8
69	9
70	10
71	11
72	12
73	13
74	14
75	15
76	16
77	17
78	18
79	19
80	20
81	21
82	22
83	23
84	24
85	25
86	26
87	27
88	28
89	29
90	30
91	31
92	32
93	33
94	34
95	35
96	36
97	37
98	38
99	39
100	40
101	41
102	42
103	43
104	44
105	45
106	46
107	47
108	48
109	49
110	50
111	51
112	52
113	53
114	54
115	55
116	56
117	57
118	58
119	59
120	60
121	61
122	62
123	63
124	64
125	65
126	66
127	67
128	68
129	69
130	70
131	71
132	72
133	73
134	74
135	75
136	76
137	77
138	78
139	79
140	80
141	81
142	82
143	83
144	84
145	85
146	86
147	87
148	88
149	89
150	90
151	91
152	92
153	93
154	94
155	95
156	96
157	97
158	98
159	99
160	100
