npc_type	world_level	npc_number	next_npc_type	mcid	score	reward_items	npc_name	reward_items_fcm
npc类型	世界等级	npc编号	下一个npc类型	阵营ID	分数	奖励物品	怪物名称	奖励物品防沉迷
7001	45	1	7002	8001	100	[(25682,10),(25661,20),(25666,10)]	#C(#66FF00)一阶·圣辉护卫#n	[(25682,5),(25661,10),(25666,5)]
7002	45	2	7003	8002	300	[(25682,20),(25661,40),(25666,20)]	#C(#FF33CC)一阶·绝美艳后#n	[(25682,10),(25661,20),(25666,10)]
7003	45	3	7004	8003	500	[(25682,30),(25661,60),(25666,30)]	#C(#FF33CC)一阶·天空射手#n	[(25682,15),(25661,30),(25666,15)]
7004	45	4	7005	8004	700	[(25682,40),(25661,80),(25666,40)]	#C(#FFFF00)一阶·冠军骑士#n	[(25682,20),(25661,40),(25666,20)]
7005	45	5	7006	8005	900	[(25682,50),(25661,100),(25666,50)]	#C(#FFFF00)一阶·女祭司#n	[(25682,25),(25661,50),(25666,25)]
7006	45	6	0	8006	1100	[(25682,50),(25661,100),(25666,50)]	#C(#FF0000)一阶·死神#n	[(25682,25),(25661,50),(25666,25)]
7007	60	1	7008	8007	300	[(25683,10),(25662,20),(25667,10)]	#C(#66FF00)二阶·圣辉护卫#n	[(25683,5),(25662,10),(25667,5)]
7008	60	2	7009	8008	500	[(25683,20),(25662,40),(25667,20)]	#C(#FF33CC)二阶·绝美艳后#n	[(25683,10),(25662,20),(25667,10)]
7009	60	3	7010	8009	700	[(25683,30),(25662,60),(25667,30)]	#C(#FF33CC)二阶·天空射手#n	[(25683,15),(25662,30),(25667,15)]
7010	60	4	7011	8010	900	[(25683,40),(25662,80),(25667,40)]	#C(#FFFF00)二阶·冠军骑士#n	[(25683,20),(25662,40),(25667,20)]
7011	60	5	7012	8011	1100	[(25683,50),(25662,100),(25667,50)]	#C(#FFFF00)二阶·女祭司#n	[(25683,25),(25662,50),(25667,25)]
7012	60	6	0	8012	1300	[(25683,50),(25662,100),(25667,50)]	#C(#FF0000)二阶·死神#n	[(25683,25),(25662,50),(25667,25)]
7013	80	1	7014	8013	500	[(25684,10),(25663,20),(25668,10)]	#C(#66FF00)三阶·圣辉护卫#n	[(25684,5),(25663,10),(25668,5)]
7014	80	2	7015	8014	700	[(25684,20),(25663,40),(25668,20)]	#C(#FF33CC)三阶·绝美艳后#n	[(25684,10),(25663,20),(25668,10)]
7015	80	3	7016	8015	900	[(25684,30),(25663,60),(25668,30)]	#C(#FF33CC)三阶·天空射手#n	[(25684,15),(25663,30),(25668,15)]
7016	80	4	7017	8016	1100	[(25684,40),(25663,80),(25668,40)]	#C(#FFFF00)三阶·冠军骑士#n	[(25684,20),(25663,40),(25668,20)]
7017	80	5	7018	8017	1300	[(25684,50),(25663,100),(25668,50)]	#C(#FFFF00)三阶·女祭司#n	[(25684,25),(25663,50),(25668,25)]
7018	80	6	0	8018	1500	[(25684,50),(25663,100),(25668,50)]	#C(#FF0000)三阶·死神#n	[(25684,25),(25663,50),(25668,25)]
7019	100	1	7020	8019	700	[(25685,10),(25664,20),(25669,10)]	#C(#66FF00)四阶·圣辉护卫#n	[(25685,5),(25664,10),(25669,5)]
7020	100	2	7021	8020	900	[(25685,20),(25664,40),(25669,20)]	#C(#FF33CC)四阶·绝美艳后#n	[(25685,10),(25664,20),(25669,10)]
7021	100	3	7022	8021	1100	[(25685,30),(25664,60),(25669,30)]	#C(#FF33CC)四阶·天空射手#n	[(25685,15),(25664,30),(25669,15)]
7022	100	4	7023	8022	1300	[(25685,40),(25664,80),(25669,40)]	#C(#FFFF00)四阶·冠军骑士#n	[(25685,20),(25664,40),(25669,20)]
7023	100	5	7024	8023	1500	[(25685,50),(25664,100),(25669,50)]	#C(#FFFF00)四阶·女祭司#n	[(25685,25),(25664,50),(25669,25)]
7024	100	6	0	8024	1700	[(25685,50),(25664,100),(25669,50)]	#C(#FF0000)四阶·死神#n	[(25685,25),(25664,50),(25669,30)]
7055	120	1	7056	8025	1100	[(25686,10),(25665,20),(25670,10)]	#C(#66FF00)五阶·圣辉护卫#n	[(25686,5),(25665,10),(25670,5)]
7056	120	2	7057	8026	1300	[(25686,20),(25665,40),(25670,20)]	#C(#FF33CC)五阶·绝美艳后#n	[(25686,10),(25665,20),(25670,10)]
7057	120	3	7058	8027	1500	[(25686,30),(25665,60),(25670,30)]	#C(#FF33CC)五阶·天空射手#n	[(25686,15),(25665,30),(25670,15)]
7058	120	4	7059	8028	1700	[(25686,40),(25665,80),(25670,40)]	#C(#FFFF00)五阶·冠军骑士#n	[(25686,20),(25665,40),(25670,20)]
7059	120	5	7060	8029	1900	[(25686,50),(25665,100),(25670,50)]	#C(#FFFF00)五阶·女祭司#n	[(25686,25),(25665,50),(25670,25)]
7060	120	6	0	8030	2100	[(25686,50),(25665,100),(25670,50)]	#C(#FF0000)五阶·死神#n	[(25686,25),(25665,50),(25670,25)]
7066	140	1	7067	8031	1300	[(26607,10),(27048,20),(27049,10)]	#C(#66FF00)六阶·圣辉护卫#n	[(26607,5),(27048,10),(27049,5)]
7067	140	2	7068	8032	1500	[(26607,20),(27048,40),(27049,20)]	#C(#FF33CC)六阶·绝美艳后#n	[(26607,10),(27048,20),(27049,10)]
7068	140	3	7069	8033	1700	[(26607,30),(27048,60),(27049,30)]	#C(#FF33CC)六阶·天空射手#n	[(26607,15),(27048,30),(27049,15)]
7069	140	4	7070	8034	1900	[(26607,40),(27048,80),(27049,40)]	#C(#FFFF00)六阶·冠军骑士#n	[(26607,20),(27048,40),(27049,20)]
7070	140	5	7071	8035	2100	[(26607,50),(27048,100),(27049,50)]	#C(#FFFF00)六阶·女祭司#n	[(26607,25),(27048,50),(27049,25)]
7071	140	6	0	8036	2300	[(26607,50),(27048,100),(27049,50)]	#C(#FF0000)六阶·死神#n	[(26607,25),(27048,50),(27049,25)]
7078	160	1	7079	8037	1500	[(27066,10),(27904,20),(27905,10)]	#C(#66FF00)七阶·圣辉护卫#n	[(27066,5),(27904,10),(27905,5)]
7079	160	2	7080	8038	1700	[(27066,20),(27904,40),(27905,20)]	#C(#FF33CC)七阶·绝美艳后#n	[(27066,10),(27904,20),(27905,10)]
7080	160	3	7081	8039	1900	[(27066,30),(27904,60),(27905,30)]	#C(#FF33CC)七阶·天空射手#n	[(27066,15),(27904,30),(27905,15)]
7081	160	4	7082	8040	2100	[(27066,40),(27904,80),(27905,40)]	#C(#FFFF00)七阶·冠军骑士#n	[(27066,20),(27904,40),(27905,20)]
7082	160	5	7083	8041	2300	[(27066,50),(27904,100),(27905,50)]	#C(#FFFF00)七阶·女祭司#n	[(27066,25),(27904,50),(27905,25)]
7083	160	6	0	8042	2500	[(27066,50),(27904,100),(27905,50)]	#C(#FF0000)七阶·死神#n	[(27066,25),(27904,50),(27905,25)]
