rank	level	reward_items	reward_money
排名	等级	奖励物品	奖励金币
1	30	[(25661,200),(25666,100),(25671,50)]	1000000
1	60	[(25662,200),(25667,100),(25672,50)]	2000000
1	80	[(25663,200),(25668,100),(25673,50)]	3000000
1	100	[(25664,200),(25669,100),(25674,50),(25641,40)]	4000000
1	120	[(25665,200),(25670,100),(25675,50),(25642,30)]	6000000
1	140	[(27048,200),(27049,100),(27050,50),(25642,40)]	8000000
1	160	[(27904,200),(27905,100),(27906,50),(25642,50)]	9000000
2	30	[(25661,184),(25666,92),(25671,46)]	850000
2	60	[(25662,184),(25667,92),(25672,46)]	1700000
2	80	[(25663,184),(25668,92),(25673,46)]	2550000
2	100	[(25664,184),(25669,92),(25674,46),(25641,34)]	3400000
2	120	[(25665,184),(25670,92),(25675,46),(25642,25)]	5100000
2	140	[(27048,184),(27049,92),(27050,46),(25642,34)]	6800000
2	160	[(27904,184),(27905,92),(27906,46),(25642,42)]	7650000
3	30	[(25661,168),(25666,84),(25671,42)]	750000
3	60	[(25662,168),(25667,84),(25672,42)]	1500000
3	80	[(25663,168),(25668,84),(25673,42)]	2250000
3	100	[(25664,168),(25669,84),(25674,42),(25641,30)]	3000000
3	120	[(25665,168),(25670,84),(25675,42),(25642,22)]	4500000
3	140	[(27048,168),(27049,84),(27050,42),(25642,30)]	6000000
3	160	[(27904,168),(27905,84),(27906,42),(25642,38)]	6750000
4	30	[(25661,152),(25666,76),(25671,38)]	700000
4	60	[(25662,152),(25667,76),(25672,38)]	1400000
4	80	[(25663,152),(25668,76),(25673,38)]	2100000
4	100	[(25664,152),(25669,76),(25674,38),(25641,28)]	2800000
4	120	[(25665,152),(25670,76),(25675,38),(25642,21)]	4200000
4	140	[(27048,152),(27049,76),(27050,38),(25642,28)]	5600000
4	160	[(27904,152),(27905,76),(27906,38),(25642,35)]	6300000
5	30	[(25661,136),(25666,68),(25671,34)]	650000
5	60	[(25662,136),(25667,68),(25672,34)]	1300000
5	80	[(25663,136),(25668,68),(25673,34)]	1950000
5	100	[(25664,136),(25669,68),(25674,34),(25641,26)]	2600000
5	120	[(25665,136),(25670,68),(25675,34),(25642,19)]	3900000
5	140	[(27048,136),(27049,68),(27050,34),(25642,26)]	5200000
5	160	[(27904,136),(27905,68),(27906,34),(25642,32)]	5850000
6	30	[(25661,120),(25666,60),(25671,30)]	600000
6	60	[(25662,120),(25667,60),(25672,30)]	1200000
6	80	[(25663,120),(25668,60),(25673,30)]	1800000
6	100	[(25664,120),(25669,60),(25674,30),(25641,24)]	2400000
6	120	[(25665,120),(25670,60),(25675,30),(25642,18)]	3600000
6	140	[(27048,120),(27049,60),(27050,30),(25642,24)]	4800000
6	160	[(27904,120),(27905,60),(27906,30),(25642,30)]	5400000
7	30	[(25661,104),(25666,52),(25671,26)]	550000
7	60	[(25662,104),(25667,52),(25672,26)]	1100000
7	80	[(25663,104),(25668,52),(25673,26)]	1650000
7	100	[(25664,104),(25669,52),(25674,26),(25641,22)]	2200000
7	120	[(25665,104),(25670,52),(25675,26),(25642,16)]	3300000
7	140	[(27048,104),(27049,52),(27050,26),(25642,22)]	4400000
7	160	[(27904,104),(27905,52),(27906,26),(25642,28)]	4950000
8	30	[(25661,88),(25666,44),(25671,22)]	460000
8	60	[(25662,88),(25667,44),(25672,22)]	920000
8	80	[(25663,88),(25668,44),(25673,22)]	1380000
8	100	[(25664,88),(25669,44),(25674,22),(25641,19)]	1840000
8	120	[(25665,88),(25670,44),(25675,22),(25642,13)]	2760000
8	140	[(27048,88),(27049,44),(27050,22),(25642,19)]	3680000
8	160	[(27904,88),(27905,44),(27906,22),(25642,23)]	4140000
9	30	[(25661,76),(25666,38),(25671,19)]	370000
9	60	[(25662,76),(25667,38),(25672,19)]	740000
9	80	[(25663,76),(25668,38),(25673,19)]	1110000
9	100	[(25664,76),(25669,38),(25674,19),(25641,15)]	1480000
9	120	[(25665,76),(25670,38),(25675,19),(25642,11)]	2220000
9	140	[(27048,76),(27049,38),(27050,19),(25642,15)]	2960000
9	160	[(27904,76),(27905,38),(27906,19),(25642,19)]	3330000
10	30	[(25661,64),(25666,32),(25671,16)]	300000
10	60	[(25662,64),(25667,32),(25672,16)]	600000
10	80	[(25663,64),(25668,32),(25673,16)]	900000
10	100	[(25664,64),(25669,32),(25674,16),(25641,12)]	1200000
10	120	[(25665,64),(25670,32),(25675,16),(25642,9)]	1800000
10	140	[(27048,64),(27049,32),(27050,16),(25642,12)]	2400000
10	160	[(27904,64),(27905,32),(27906,16),(25642,15)]	2700000
