rewardId	treasureType	rewardItem	rewardOdds	IsVip	IsShow	talentCardType
奖励id	宝箱类型	奖励道具	奖励出现概率(万分率)	是否珍贵道具（客户端奖励预览用）	客户端是否展示	天赋卡碎片类型
1	1	[(26329,5)]	2200	1	1	#C(#FF6600)橙色天赋卡碎片
2	1	[(26330,5)]	2200	1	1	#C(#FF6600)橙色天赋卡碎片
3	1	[(26331,5)]	2200	0	1	#C(#FF6600)橙色天赋卡碎片
4	1	[(26327,5)]	600	0	0	#C(#FF6600)橙色天赋卡碎片
5	1	[(26336,5)]	2800	0	0	#C(#FF6600)橙色天赋卡碎片
6	2	[(27566,5)]	1667	0	0	
7	2	[(27566,6)]	1666	0	0	
8	2	[(26311,15)]	1750	0	0	#C(#FF33CC)紫色天赋卡碎片
9	2	[(26312,15)]	1750	0	0	#C(#FF33CC)紫色天赋卡碎片
10	2	[(26318,15)]	2500	0	0	#C(#FF33CC)紫色天赋卡碎片
11	2	[(26309,15)]	667	0	0	#C(#FF33CC)紫色天赋卡碎片
12	3	[(25600,20)]	1666	0	0	
13	3	[(27566,2)]	1667	0	0	
14	3	[(27566,3)]	1667	0	0	
15	3	[(27566,4)]	1666	0	0	
16	3	[(26341,30)]	1667	0	0	
17	3	[(26341,50)]	1667	0	0	
