rewardId	rewardItemCoding	rewardItemCnt	rewardType	isHearsay
奖励ID	奖励物品Coding	奖励物品数量	奖励类型客户端显示用（1道具 2命魂）	是否传闻
1	27167	1	1	1
2	25837	15	1	1
3	26676	1	1	1
4	26677	6	1	0
5	25837	12	1	0
6	26227	1	1	0
7	26228	1	1	0
8	26229	1	1	1
9	26224	1	1	0
10	26225	1	1	0
11	26226	1	1	1
12	26144	15	1	1
13	26144	12	1	0
14	26479	10	1	1
15	26298	5	1	0
16	25939	1	1	1
17	25940	1	1	1
18	27514	1	1	1
19	26044	1	1	1
20	26033	1	1	0
21	26032	1	1	0
22	26267	1	1	1
23	26119	1	1	0
24	26266	1	1	0
25	25837	2	1	0
26	26144	2	1	0
27	25837	1	1	0
28	26144	1	1	0
29	26479	1	1	0
30	26302	1	1	1
31	26043	1	1	0
32	25831	1	1	0
33	25970	1	1	0
34	28030	1	1	1
35	28031	1	1	1
36	28032	1	1	1
37	27709	1	1	1
38	27710	1	1	1
39	28886	1	1	1
40	28039	1	1	1
41	28881	1	1	1
42	28882	1	1	1
43	28883	1	1	1
