times	cost
炼金次数	消耗神石或魔晶
1	2
2	4
3	6
4	8
5	10
6	12
7	14
8	16
9	18
10	20
11	20
12	20
13	20
14	20
15	20
16	20
17	20
18	20
19	20
20	20
21	20
22	20
23	20
24	20
25	20
26	20
27	20
28	20
29	20
30	20
31	20
32	20
33	20
34	20
35	20
36	20
37	20
38	20
39	20
40	20
41	20
42	20
43	20
44	20
45	20
46	20
47	20
48	20
49	20
50	20
51	40
52	40
53	40
54	40
55	40
56	40
57	40
58	40
59	40
60	40
61	40
62	40
63	40
64	40
65	40
66	40
67	40
68	40
69	40
70	40
71	40
72	40
73	40
74	40
75	40
76	40
77	40
78	40
79	40
80	40
81	40
82	40
83	40
84	40
85	40
86	40
87	40
88	40
89	40
90	40
91	40
92	40
93	40
94	40
95	40
96	40
97	40
98	40
99	40
100	40
101	80
102	80
103	80
104	80
105	80
106	80
107	80
108	80
109	80
110	80
111	80
112	80
113	80
114	80
115	80
116	80
117	80
118	80
119	80
120	80
121	80
122	80
123	80
124	80
125	80
126	80
127	80
128	80
129	80
130	80
131	80
132	80
133	80
134	80
135	80
136	80
137	80
138	80
139	80
140	80
141	80
142	80
143	80
144	80
145	80
146	80
147	80
148	80
149	80
150	80
151	80
152	80
153	80
154	80
155	80
156	80
157	80
158	80
159	80
160	80
161	80
162	80
163	80
164	80
165	80
166	80
167	80
168	80
169	80
170	80
171	80
172	80
173	80
174	80
175	80
176	80
177	80
178	80
179	80
180	80
181	80
182	80
183	80
184	80
185	80
186	80
187	80
188	80
189	80
190	80
191	80
192	80
193	80
194	80
195	80
196	80
197	80
198	80
199	80
200	80
