Index	Item
物品索引	物品及数量
1	(26026,1)
2	(26026,1)
3	(26144,10)
4	(25837,10)
5	(26227,1)
6	(26227,1)
7	(26341,50)
8	(26341,50)
9	(26224,1)
10	(26224,1)
11	(26042,1)
12	(26042,1)
13	(25970,20)
14	(25831,20)
15	(26043,20)
16	(26228,1)
17	(26228,1)
18	(25600,30)
19	(25600,30)
20	(26344,30)
21	(26344,30)
22	(26144,30)
23	(26144,30)
24	(25837,30)
25	(25837,30)
26	(25970,30)
27	(25831,30)
28	(26043,30)
29	(26341,100)
30	(26225,1)
31	(26225,1)
32	(26229,1)
33	(26229,1)
34	(26340,1)
35	(26340,1)
36	(26226,1)
37	(26341,300)
38	(26230,1)
39	(26481,1)
40	(26341,600)
41	(26483,1)
42	(26482,1)
