level	maxMoney	coinMoney	maxCnt	doubleNeedRMB
玩家等级	奖励金钱上限	每个金币对应金钱数量	接到的金币上限	翻倍消耗魔晶
30	31500	175	180	5
31	34200	190	180	5
32	36900	205	180	5
33	39600	220	180	5
34	42300	235	180	5
35	47700	265	180	5
36	50400	280	180	5
37	53100	295	180	5
38	55800	310	180	5
39	58500	325	180	5
40	59040	328	180	5
41	59760	332	180	5
42	60300	335	180	5
43	61020	339	180	5
44	61740	343	180	5
45	62280	346	180	5
46	63000	350	180	5
47	63720	354	180	5
48	64260	357	180	5
49	64980	361	180	5
50	66240	368	180	5
51	66960	372	180	5
52	67680	376	180	5
53	68220	379	180	5
54	68940	383	180	5
55	69480	386	180	5
56	70200	390	180	5
57	70920	394	180	5
58	71460	397	180	5
59	72180	401	180	5
60	73260	407	180	5
61	73980	411	180	5
62	74880	416	180	5
63	75600	420	180	5
64	76500	425	180	5
65	77220	429	180	5
66	78120	434	180	5
67	79020	439	180	5
68	79740	443	180	5
69	80640	448	180	5
70	82260	457	180	5
71	82980	461	180	5
72	83880	466	180	5
73	84600	470	180	5
74	85500	475	180	5
75	86220	479	180	5
76	87120	484	180	5
77	87840	488	180	5
78	88740	493	180	5
79	89460	497	180	5
80	94500	525	180	5
81	98640	548	180	5
82	102600	570	180	5
83	106740	593	180	5
84	110700	615	180	5
85	114840	638	180	5
86	118800	660	180	5
87	122940	683	180	5
88	126900	705	180	5
89	131040	728	180	5
90	139140	773	180	5
91	143100	795	180	5
92	147240	818	180	5
93	151200	840	180	5
94	155340	863	180	5
95	159300	885	180	5
96	163440	908	180	5
97	167400	930	180	5
98	171540	953	180	5
99	175500	975	180	5
100	180000	1000	180	5
101	184500	1025	180	5
102	189000	1050	180	5
103	193500	1075	180	5
104	198000	1100	180	5
105	202500	1125	180	5
106	207000	1150	180	5
107	211500	1175	180	5
108	216000	1200	180	5
109	220500	1225	180	5
110	229500	1275	180	5
111	234000	1300	180	5
112	238500	1325	180	5
113	243000	1350	180	5
114	247500	1375	180	5
115	252000	1400	180	5
116	256500	1425	180	5
117	261000	1450	180	5
118	265500	1475	180	5
119	270000	1500	180	5
120	274500	1525	180	5
121	278100	1545	180	5
122	281700	1565	180	5
123	285300	1585	180	5
124	288900	1605	180	5
125	292500	1625	180	5
126	296100	1645	180	5
127	299700	1665	180	5
128	303300	1685	180	5
129	306900	1705	180	5
130	310500	1725	180	5
131	314100	1745	180	5
132	317700	1765	180	5
133	321300	1785	180	5
134	324900	1805	180	5
135	328500	1825	180	5
136	332100	1845	180	5
137	335700	1865	180	5
138	339300	1885	180	5
139	342900	1905	180	5
140	346500	1925	180	5
141	350100	1945	180	5
142	353700	1965	180	5
143	357300	1985	180	5
144	360900	2005	180	5
145	365040	2028	180	5
146	369000	2050	180	5
147	373140	2073	180	5
148	377100	2095	180	5
149	381240	2118	180	5
150	385200	2140	180	5
151	389340	2163	180	5
152	393300	2185	180	5
153	397440	2208	180	5
154	401400	2230	180	5
155	405540	2253	180	5
156	409500	2275	180	5
157	413640	2298	180	5
158	417600	2320	180	5
159	421740	2343	180	5
160	423900	2355	180	5
161	426240	2368	180	5
162	428400	2380	180	5
163	430740	2393	180	5
164	432900	2405	180	5
165	435240	2418	180	5
166	437400	2430	180	5
167	439740	2443	180	5
168	441900	2455	180	5
169	444240	2468	180	5
170	446400	2480	180	5
171	448740	2493	180	5
172	450900	2505	180	5
173	453240	2518	180	5
174	455400	2530	180	5
175	457740	2543	180	5
176	459900	2555	180	5
177	462240	2568	180	5
178	464400	2580	180	5
179	466740	2593	180	5
