npcId	name	npctype	x	y	direction	rewardId	camp	fightType	layerId	type	goldtype	click
npcID	每层怪	npc类型	坐标X	坐标Y	朝向	奖励（1为空奖励）	战斗索引	战斗底图	所属层数	npc类型1：金币，2：怪，3：传送门	1：大金币，2：金币 3：小金币	点击距离
1	金币	11057	766	762	0	1	0	0	1	1	3	200
2	金币	11057	1031	759	0	1	0	0	1	1	3	200
3	金币	11057	1377	732	0	1	0	0	1	1	3	200
4	金币	11057	1511	571	0	1	0	0	1	1	3	200
5	金币	11057	1411	360	0	1	0	0	1	1	3	200
6	金币	11057	1221	173	0	1	0	0	1	1	3	200
7	金币	11057	935	148	0	1	0	0	1	1	3	200
8	金币	11057	831	309	0	1	0	0	1	1	3	200
9	金币	11057	1022	451	0	1	0	0	1	1	3	200
10	金币	11057	848	547	0	1	0	0	1	1	3	200
11	金币	11057	605	425	0	1	0	0	1	1	3	200
12	金币	11057	364	298	0	1	0	0	1	1	3	200
13	金币	11057	109	327	0	1	0	0	1	1	3	200
14	金币	11057	304	497	0	1	0	0	1	1	3	200
15	中金币	11058	304	647	0	1	0	0	1	1	2	200
16	一层金币守卫	11061	1328	254	1	1	13542	1	1	2	0	0
17	1层传送门	11060	129	596	1	1	0	0	1	3	0	0
18	金币	11057	766	762	0	1	0	0	2	1	3	200
19	金币	11057	1031	759	0	1	0	0	2	1	3	200
20	金币	11057	1377	732	0	1	0	0	2	1	3	200
21	金币	11057	1511	571	0	1	0	0	2	1	3	200
22	金币	11057	1411	360	0	1	0	0	2	1	3	200
23	金币	11057	1221	173	0	1	0	0	2	1	3	200
24	金币	11057	935	148	0	1	0	0	2	1	3	200
25	金币	11057	831	309	0	1	0	0	2	1	3	200
26	金币	11057	1022	451	0	1	0	0	2	1	3	200
27	金币	11057	848	547	0	1	0	0	2	1	3	200
28	金币	11057	605	425	0	1	0	0	2	1	3	200
29	金币	11057	364	298	0	1	0	0	2	1	3	200
30	金币	11057	109	327	0	1	0	0	2	1	3	200
31	金币	11057	304	497	0	1	0	0	2	1	3	200
32	大金币	11059	304	647	0	1	0	0	2	1	1	200
33	二层金币守卫	11062	1328	254	1	1	13543	1	2	2	0	0
