dayIndex	rangeId	levelRange	item	originalRMB	needRMB	rewards
天数索引	区段ID	等级区段[]	商品（coding,cnt）	原价	现价	奖励(needCnt,coding,cnt)
1	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
1	2	[40,59]	(27112,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
1	3	[60,79]	(27116,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
1	4	[80,159]	(27123,1)	1658	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
2	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
2	2	[40,59]	(27113,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
2	3	[60,79]	(27117,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
2	4	[80,159]	(27124,1)	1658	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
3	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
3	2	[40,59]	(27114,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
3	3	[60,79]	(27118,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
3	4	[80,159]	(27125,1)	1658	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
4	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
4	2	[40,59]	(27115,1)	3000	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
4	3	[60,79]	(27119,1)	1960	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
4	4	[80,159]	(27126,1)	1658	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
5	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
5	2	[40,59]	(25783,1)	1920	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
5	3	[60,79]	(27120,1)	1940	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
5	4	[80,159]	(27127,1)	1658	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
6	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
6	2	[40,59]	(25784,1)	1920	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
6	3	[60,79]	(27121,1)	1940	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
6	4	[80,159]	(27128,1)	1658	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
7	1	[1,39]	(27111,1)	3500	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
7	2	[40,59]	(25785,1)	1920	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
7	3	[60,79]	(27122,1)	1940	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
7	4	[80,159]	(27129,1)	2320	1111	[(20,27130,1),(100,27131,1),(200,27132,1),(600,27133,1),(1400,27134,1),(3000,27135,1),(5000,27136,1)]
