rewardId	levelRangeId	rewardItem	rateValue	isPrecious
奖励唯一ID	奖励等级段ID	奖励道具	中奖概率	是否珍贵奖励
1	1	(28722, 1)	20	1
2	1	(28652, 1)	30	0
3	1	(28719, 1)	0	1
4	1	(28720, 1)	0	1
5	1	(28721, 1)	90	0
6	1	(27850, 1)	390	0
7	1	(27108, 1)	260	0
8	1	(28653, 1)	800	0
9	1	(26344, 10)	650	0
10	1	(25600, 10)	650	0
11	1	(26344, 5)	1490	0
12	1	(28654, 1)	1330	0
13	1	(27566, 1)	645	0
14	1	(26450, 1)	1505	0
15	1	(27517, 1)	650	0
16	1	(25600, 5)	1490	0
17	2	(28722, 1)	20	1
18	2	(27879, 1)	10	0
19	2	(28652, 1)	30	0
20	2	(28719, 1)	0	1
21	2	(28720, 1)	0	1
22	2	(28721, 1)	90	0
23	2	(28655, 1)	720	0
24	2	(28656, 1)	900	0
25	2	(28658, 1)	900	0
26	2	(26042, 1)	220	0
27	2	(27518, 1)	585	0
28	2	(28659, 1)	900	0
29	2	(28661, 1)	1582	0
30	2	(26450, 1)	1178	0
31	2	(28660, 1)	900	0
32	2	(28654, 1)	1380	0
33	2	(27621, 1)	585	0
34	3	(28723, 1)	1	1
35	3	(27178, 1)	1	1
36	3	(28722, 1)	20	1
37	3	(28719, 1)	2	1
38	3	(28720, 1)	1	1
39	3	(28721, 1)	90	0
40	3	(28353, 1)	50	0
41	3	(28663, 1)	160	0
42	3	(28647, 1)	3000	0
43	3	(28035, 1)	500	0
44	3	(28649, 1)	2759	0
45	3	(28662, 1)	700	0
46	3	(28654, 1)	2566	0
47	3	(28651, 1)	150	0
48	4	(28723, 1)	1	1
49	4	(27178, 1)	1	1
50	4	(28722, 1)	20	1
51	4	(28719, 1)	2	1
52	4	(28720, 1)	1	1
53	4	(28721, 1)	90	0
54	4	(28644, 1)	3535	0
55	4	(28645, 1)	1120	0
56	4	(28353, 1)	50	0
57	4	(28648, 1)	500	0
58	4	(28649, 1)	2000	0
59	4	(28647, 1)	1000	0
60	4	(28650, 1)	1500	0
61	4	(28651, 1)	180	0
62	5	(28723, 1)	1	1
63	5	(27178, 1)	1	1
64	5	(28722, 1)	20	1
65	5	(28719, 1)	2	1
66	5	(28720, 1)	1	1
67	5	(28721, 1)	90	0
68	5	(28644, 1)	3535	0
69	5	(28645, 1)	1120	0
70	5	(28646, 1)	50	0
71	5	(28648, 1)	500	0
72	5	(28649, 1)	2000	0
73	5	(28647, 1)	1000	0
74	5	(28650, 1)	1500	0
75	5	(28651, 1)	180	0
