rewardIndex	needTanMiCnt	rewardItems
奖励索引	解锁需要探秘次数	奖励道具
1	10	[(26465, 1),(27824, 50),(27517, 1),(26450, 1),(28707, 5)]
2	20	[(26465, 1),(27824, 50),(27518, 1),(26450, 1),(28707, 5)]
3	40	[(26465, 2),(27824, 100),(27621, 1),(26450, 2),(28707, 10)]
4	80	[(26465, 4),(27824, 200),(27519, 1),(26450, 4),(28707, 10)]
5	150	[(26465, 6),(27824, 300),(27622, 1),(26450, 7),(28707, 15)]
6	300	[(26465, 12),(27824, 600),(28031, 1),(26450, 15),(28707, 15)]
7	600	[(26465, 24),(27824, 1200),(28032, 1),(26450, 30),(28707, 20)]
8	1200	[(26465, 40),(27824, 2000),(27711, 1),(26450, 60),(28707, 40)]
9	1800	[(26465, 40),(27824, 2000),(27492, 1),(26450, 60),(28707, 60)]
10	2500	[(26465, 60),(27824, 3000),(28254, 1),(26450, 70),(28707, 70)]
