goodId	rangeId	levelRange	item	des	itemCnt	rateValue	originalUnbindRMB	needUnbindRMB	RMBType	needScore	discountFlag	isLowestPrice
商品ID	等级区段ID	等级区段levelDown,levelUp	物品(coding,cnt)	备注	可购买数量	随即概率值	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	需要积分	折扣标签	是否最低价
1	1	30,39	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
2	2	40,59	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
3	3	60,64	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
4	4	65,79	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
5	5	80,89	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
6	6	90,99	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
7	7	100,119	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
8	8	120,139	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
9	9	140,179	(26450,5)	许愿币	1	1000	100	60	0	0	SDJNH_6z	0
10	1	30,39	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
11	2	40,59	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
12	3	60,64	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
13	4	65,79	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
14	5	80,89	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
15	6	90,99	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
16	7	100,119	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
17	8	120,139	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
18	9	140,179	(26450,1)	许愿币	1	1000	20	12	0	0	SDJNH_6z	0
19	3	60,64	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
20	4	65,79	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
21	5	80,89	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
22	6	90,99	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
23	7	100,119	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
24	8	120,139	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
25	9	140,179	(26144,10)	宠物圣果	1	1000	100	60	0	0	SDJNH_6z	0
26	3	60,64	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
27	4	65,79	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
28	5	80,89	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
29	6	90,99	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
30	7	100,119	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
31	8	120,139	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
32	9	140,179	(26144,1)	宠物圣果	1	1000	10	6	0	0	SDJNH_6z	0
33	5	80,89	(26677,5)	时装精华	1	1000	100	60	0	0	SDJNH_6z	0
34	6	90,99	(26677,5)	时装精华	1	1000	100	60	0	0	SDJNH_6z	0
35	7	100,119	(26677,5)	时装精华	1	1000	100	60	0	0	SDJNH_6z	0
36	8	120,139	(26677,5)	时装精华	1	1000	100	60	0	0	SDJNH_6z	0
37	9	140,179	(26677,5)	时装精华	1	1000	100	60	0	0	SDJNH_6z	0
38	3	60,64	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
39	4	65,79	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
40	5	80,89	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
41	6	90,99	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
42	7	100,119	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
43	8	120,139	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
44	9	140,179	(26934,5)	星灵水晶	1	1000	100	70	0	0	SDJNH_7z	0
45	3	60,64	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
46	4	65,79	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
