rank	needScore	rewardItems	money	bindRMB	rewardItemsPreview		rankImg
排名	达标量	奖励	金币奖励	魔晶	奖励道具预览（客户端用）		是否显示
1	12000	[(27568,100),(26450,50),(25600,100),(26226,1)]	0	0	[(27568,100),(26450,50),(25600,100),(26226,1)]		SDJNH_TextDYM
2	10000	[(27568,80),(26450,40),(25600,80),(26225,1)]	0	0	[(27568,80),(26450,40),(25600,80),(26225,1)]		SDJNH_TextDRM
3	8000	[(27568,60),(26450,30),(25600,60),(26224,1)]	0	0	[(27568,60),(26450,30),(25600,60),(26224,1)]		SDJNH_TextDSM
4	5000	[(27568,50),(26450,25),(25600,50),(26223,1)]	0	0	[(27568,50),(26450,25),(25600,50),(26223,1)]		SDJNH_TextD4M
5	5000	[(27568,40),(26450,20),(25600,40),(26223,1)]	0	0	[(27568,40),(26450,20),(25600,40),(26223,1)]		SDJNH_TextD5M
6	3000	[(27568,30),(26450,15),(25600,30),(26223,1)]	0	0	[(27568,30),(26450,15),(25600,30),(26223,1)]		0
7	3000	[(27568,25),(26450,12),(25600,25),(26223,1)]	0	0	[(27568,25),(26450,12),(25600,25),(26223,1)]		0
8	3000	[(27568,20),(26450,10),(25600,20),(26223,1)]	0	0	[(27568,20),(26450,10),(25600,20),(26223,1)]		0
9	3000	[(27568,15),(26450,8),(25600,15),(26223,1)]	0	0	[(27568,15),(26450,8),(25600,15),(26223,1)]		0
10	3000	[(27568,10),(26450,5),(25600,10),(26223,1)]	0	0	[(27568,10),(26450,5),(25600,10),(26223,1)]		0
