coding	needCoding	needItemCnt	needLevel	needWorldLevel	limitCnt
物品coding	兑换需要coding	兑换需要物品数量	兑换需要等级	兑换需要世界等级	限购次数(0-不限购)
27571	27568	1000	100	1	1
27569	27568	800	100	1	1
26121	27568	4	60	1	50
26122	27568	4	60	1	50
26123	27568	4	60	1	50
27100	27568	5	100	1	150
27097	27568	5	100	1	50
27098	27568	4	100	1	100
27099	27568	4	100	1	100
26972	27568	800	30	1	1
26753	27568	80	45	1	1
26755	27568	80	45	1	1
26757	27568	80	45	1	1
26754	27568	80	45	1	1
26756	27568	80	45	1	1
26758	27568	80	45	1	1
27251	27568	120	60	1	1
27252	27568	120	60	1	1
27253	27568	120	60	1	1
27254	27568	120	60	1	1
27255	27568	120	60	1	1
27256	27568	120	60	1	1
26320	27568	4	80	1	200
26338	27568	18	80	1	200
26319	27568	4	80	1	200
26337	27568	18	80	1	200
27678	27568	400	110	1	1
27680	27568	300	110	1	1
27681	27568	300	110	1	1
27682	27568	300	110	1	1
27683	27568	300	110	1	1
27679	27568	450	110	1	1
27684	27568	320	110	1	1
27685	27568	320	110	1	1
27686	27568	320	110	1	1
27687	27568	320	110	1	1
