mcid	desc	rewardItems	heroNumber
npc阵营ID	备注	奖励	英雄编号
9001	一星祭坛单次	[]	[4]
9002	一星祭坛单次	[]	[9]
9003	一星祭坛单次	[]	[14]
9004	一星祭坛单次	[(25639, 11)]	[]
9005	一星祭坛单次	[(25639, 11)]	[]
9006	一星祭坛10次	[(25639, 102)]	[4]
9007	一星祭坛10次	[(25639, 97)]	[4]
9008	一星祭坛10次	[(25639, 102)]	[9]
9009	一星祭坛10次	[(25639, 97)]	[9]
9010	一星祭坛10次	[(25639, 102)]	[14]
9011	一星祭坛10次	[(25639, 97)]	[14]
9012	一星祭坛10次	[(25639, 97)]	[4,9]
9013	一星祭坛10次	[(25639, 97)]	[9,14]
9014	一星祭坛10次	[(25639, 97)]	[4,14]
9015	二星祭坛单次	[]	[19]
9016	二星祭坛单次	[]	[24]
9017	二星祭坛单次	[]	[29]
9018	二星祭坛单次	[(25642, 6)]	[]
9019	二星祭坛单次	[(25642, 6)]	[]
9020	二星祭坛10次	[(25642, 56)]	[19]
9021	二星祭坛10次	[(25642, 54)]	[19]
9022	二星祭坛10次	[(25642, 56)]	[24]
9023	二星祭坛10次	[(25642, 54)]	[24]
9024	二星祭坛10次	[(25642, 56)]	[29]
9025	二星祭坛10次	[(25642, 54)]	[29]
9026	二星祭坛10次	[(25642, 54)]	[19,24]
9027	二星祭坛10次	[(25642, 54)]	[24,29]
9028	二星祭坛10次	[(25642, 54)]	[19,29]
9029	三星祭坛单次	[]	[34]
9030	三星祭坛单次	[]	[39]
9031	三星祭坛单次	[]	[44]
9032	三星祭坛单次	[(25644, 9)]	[]
9033	三星祭坛单次	[(25644, 9)]	[]
9034	三星祭坛10次	[(25644, 76)]	[34]
9035	三星祭坛10次	[(25644, 75)]	[34]
9036	三星祭坛10次	[(25644, 76)]	[39]
9037	三星祭坛10次	[(25644, 75)]	[39]
9038	三星祭坛10次	[(25644, 76)]	[44]
9039	三星祭坛10次	[(25644, 75)]	[44]
9040	三星祭坛10次	[(25644, 75)]	[34, 39]
9041	三星祭坛10次	[(25644, 75)]	[39, 44]
9042	三星祭坛10次	[(25644, 75)]	[34, 44]
9043	四星祭坛单次	[]	[49]
9044	四星祭坛单次	[]	[54]
9045	四星祭坛单次	[(25644, 12)]	[]
9046	四星祭坛单次	[(25644, 12)]	[]
9047	四星祭坛单次	[(25644, 12)]	[]
9048	四星祭坛10次	[(25644, 100)]	[49]
9049	四星祭坛10次	[(25644, 100)]	[49]
9050	四星祭坛10次	[(25644, 100)]	[49]
9051	四星祭坛10次	[(25644, 100)]	[54]
9052	四星祭坛10次	[(25644, 100)]	[54]
9053	四星祭坛10次	[(25644, 100)]	[54]
9054	四星祭坛10次	[(25644, 75)]	[49, 54]
9055	四星祭坛10次	[(25644, 75)]	[49, 54]
9056	四星祭坛10次	[(25644, 75)]	[49, 54]
9057	五星祭坛单次	[]	[69]
9058	五星祭坛单次	[]	[74]
9059	五星祭坛单次	[(25645, 12)]	[]
9060	五星祭坛单次	[(25645, 12)]	[]
9061	五星祭坛单次	[(25645, 12)]	[]
9062	五星祭坛10次	[(25645, 100)]	[69]
9063	五星祭坛10次	[(25645, 100)]	[69]
9064	五星祭坛10次	[(25645, 100)]	[69]
9065	五星祭坛10次	[(25645, 100)]	[74]
9066	五星祭坛10次	[(25645, 100)]	[74]
9067	五星祭坛10次	[(25645, 100)]	[74]
