skillKey	isActive	name	iconImg	desc
技能ID	是否主动技能( 0-不是，1-是）	名字(策划用)	图标	技能描述
(201,1)	1	月神箭	jn20	#C(#00FF00)冷却回合：3回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H攻击敌方#C(#00FF00)随机三个#n目标。
(201,2)	1	高级月神箭	jn20	#C(#00FF00)冷却回合：3回合#n#H攻击敌方#C(#00FF00)随机三个#n目标，额外造成400点伤害。
(202,1)	1	蝮蛇祝福	jn22	#C(#00FF00)冷却回合：3回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H提升我方#C(#00FF00)全体#n目标的攻击力。
(202,2)	1	高级蝮蛇祝福	jn22	#C(#00FF00)冷却回合：3回合#n#H提升我方#C(#00FF00)全体#n目标的攻击力。
(203,1)	1	吸血攻击	jn18	#C(#00FF00)冷却回合：3回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H攻击敌方前排随机#C(#00FF00)单体#n目标，并恢复自身生命值。
(203,2)	1	高级吸血攻击	jn18	#C(#00FF00)冷却回合：3回合#n#H攻击敌方前排随机#C(#00FF00)单体#n目标，额外造成600点伤害，并恢复自身生命值。
(204,1)	1	恩赐解脱	jn26	#C(#00FF00)冷却回合：3回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H攻击敌方#C(#00FF00)随机三个#n目标，并降低其防御，持续2回合。
(204,2)	1	高级恩赐解脱	jn26	#C(#00FF00)冷却回合：3回合#n#H攻击敌方#C(#00FF00)随机三个#n目标，额外造成1300点伤害，并降低其防御，持续2回合。
(205,1)	1	神圣护佑	jn28	#C(#00FF00)冷却回合：3回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H治疗我方#C(#00FF00)单体#n目标，并驱散其身上全部负面状态。
(205,2)	1	高级神圣护佑	jn28	#C(#00FF00)冷却回合：3回合#n#H治疗我方#C(#00FF00)单体#n目标，额外恢复1000点生命值，并驱散其身上全部负面状态。
