skillKey	isActive	name	iconImg	desc
技能ID	是否主动技能( 0-不是，1-是）	名字(策划用)	图标	技能描述
(201,1)	1	月神箭	jn20	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)3 losowychch#n wrogów.
(201,2)	1	高级月神箭	jn20	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)3 losowych#n wrogów, zadając + 400 obrażeń.
(202,1)	1	蝮蛇祝福	jn22	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Zwiększa #C(#00FF00)wszystkim#n bohaterom Atak.
(202,2)	1	高级蝮蛇祝福	jn22	#C(#00FF00)Odliczanie: 3 rundy. #n#H Zwiększa #C(#00FF00)wszystkim#n bohaterom atak.
(203,1)	1	吸血攻击	jn18	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)1 losowego#n przeciwnika z przodu i przywraca HP.
(203,2)	1	高级吸血攻击	jn18	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)1 losowego#n przeciwnika z przodu, zadając + 600 obrażeń. Przywraca HP.
(204,1)	1	恩赐解脱	jn26	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)3 losowychch#n wrogów i zmniejsza ich obronę na 2 rundy.
(204,2)	1	高级恩赐解脱	jn26	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)3 losowych#n wrogów, zadając + 1300 obrażeń i zmniejsza ich obronę na 2 rundy.
(205,1)	1	神圣护佑	jn28	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Uzdrawia #C(#00FF00)jednego#n bohatera i usuwa negatywne zaklęcia.
(205,2)	1	高级神圣护佑	jn28	#C(#00FF00)Odliczanie: 3 rundy. #n#H Uzdrawia #C(#00FF00)wszystkich#n bohaterów, przywraca 1000 HP i usuwa negatywne zaklęcia.
(206,1)	1	圣光护盾	jn24	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Rzuca #C(#00FF00)na Ciebie#n tarczę pochłaniającą obrażenia.
(206,2)	1	高级圣光护盾	jn24	#C(#00FF00)Odliczanie: 3 rundy. #n#H Narzuca #C(#00FF00)na Ciebie#n tarczę pochłaniającą obrażenia.
(207,1)	1	魂之挽歌	jn32	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów.
(207,2)	1	高级魂之挽歌	jn32	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zadając + 400 obrażeń.
(208,1)	1	剑刃风暴	jn34	#C(#00FF00)冷却回合：2回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H攻击敌方#C(#00FF00)竖排全体#n目标，并忽视目标防御。
(208,2)	1	高级剑刃风暴	jn34	#C(#00FF00)冷却回合：2回合#n#H攻击敌方#C(#00FF00)竖排全体#n目标，额外造成2400点伤害，并忽视目标防御。
(209,1)	1	闪电风暴	jn30	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów i zmniejsza ich atak na 2 rundy.
(209,2)	1	高级闪电风暴	jn30	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zadając + 200 obrażeń i zmniejszając ich atak na 2 rundy.
(210,1)	1	鲜血护盾	jn36	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Rzuca tarczę na #C(#00FF00)wszystkich#n bohaterów na 3 rundy.
(210,2)	1	高级鲜血护盾	jn36	#C(#00FF00)Odliczanie: 3 rundy. #n#H Narzuca tarcze #C(#00FF00)wszystkim#n bohaterom na 3 rundy. Pochłania + 1000 obrażeń.
(211,1)	1	神王之怒	jn40	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów i niszczy ich tarcze.
(211,2)	1	高级神王之怒	jn40	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zadając + 900 obrażeń i niszcząc ich tarcze.
(212,1)	1	光击阵	jn42	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)2 losowych#n wrogów. Może zadać podwójne obrażenia.
