HaloLevel	NeedExp	AddCoe	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
光环等级	升级需要经验值	转生属性万分比加成	基础生命值	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
0	1258000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7548000	50	180	0	0	60	60	60	60	60	60	0	0	60	60	0	0
2	13963800	100	360	0	0	120	120	120	120	120	120	0	0	120	120	0	0
3	20505400	150	540	0	0	180	180	180	180	180	180	0	0	180	180	0	0
4	27172800	200	720	0	0	240	240	240	240	240	240	0	0	240	240	0	0
5	33966000	250	900	0	0	300	300	300	300	300	300	0	0	300	300	0	0
6	40885000	300	1080	0	0	360	360	360	360	360	360	0	0	360	360	0	0
7	47929800	350	1260	0	0	420	420	420	420	420	420	0	0	420	420	0	0
8	55100400	400	1440	0	0	480	480	480	480	480	480	0	0	480	480	0	0
9	62648400	450	1620	0	0	540	540	540	540	540	540	0	0	540	540	0	0
10	71454400	500	1800	0	0	600	600	600	600	600	600	0	0	600	600	0	0
11	81518400	550	1980	0	0	660	660	660	660	660	660	0	0	660	660	0	0
12	92840400	600	2160	0	0	720	720	720	720	720	720	0	0	720	720	0	0
13	105420400	650	2340	0	0	780	780	780	780	780	780	0	0	780	780	0	0
14	118629400	700	2520	0	0	840	840	840	840	840	840	0	0	840	840	0	0
15	132467400	750	2700	0	0	900	900	900	900	900	900	0	0	900	900	0	0
16	146934400	800	2880	0	0	960	960	960	960	960	960	0	0	960	960	0	0
17	162030400	850	3060	0	0	1020	1020	1020	1020	1020	1020	0	0	1020	1020	0	0
18	177755400	900	3240	0	0	1080	1080	1080	1080	1080	1080	0	0	1080	1080	0	0
19	194109400	950	3420	0	0	1140	1140	1140	1140	1140	1140	0	0	1140	1140	0	0
20	211092400	1000	3600	0	0	1200	1200	1200	1200	1200	1200	0	0	1200	1200	0	0
21	228704400	1050	3780	0	0	1260	1260	1260	1260	1260	1260	0	0	1260	1260	0	0
22	246945400	1100	3960	0	0	1320	1320	1320	1320	1320	1320	0	0	1320	1320	0	0
23	265815400	1150	4140	0	0	1380	1380	1380	1380	1380	1380	0	0	1380	1380	0	0
24	285943400	1200	4320	0	0	1440	1440	1440	1440	1440	1440	0	0	1440	1440	0	0
25	307329400	1250	4500	0	0	1500	1500	1500	1500	1500	1500	0	0	1500	1500	0	0
26	329973400	1300	4680	0	0	1560	1560	1560	1560	1560	1560	0	0	1560	1560	0	0
27	353875400	1350	4860	0	0	1620	1620	1620	1620	1620	1620	0	0	1620	1620	0	0
28	379035400	1400	5040	0	0	1680	1680	1680	1680	1680	1680	0	0	1680	1680	0	0
29	405453400	1450	5220	0	0	1740	1740	1740	1740	1740	1740	0	0	1740	1740	0	0
30	433129400	1500	5400	0	0	1800	1800	1800	1800	1800	1800	0	0	1800	1800	0	0
31	462063400	1550	5580	0	0	1860	1860	1860	1860	1860	1860	0	0	1860	1860	0	0
32	492255400	1600	5760	0	0	1920	1920	1920	1920	1920	1920	0	0	1920	1920	0	0
33	523705400	1650	5940	0	0	1980	1980	1980	1980	1980	1980	0	0	1980	1980	0	0
34	556413400	1700	6120	0	0	2040	2040	2040	2040	2040	2040	0	0	2040	2040	0	0
35	590379400	1750	6300	0	0	2100	2100	2100	2100	2100	2100	0	0	2100	2100	0	0
36	625603400	1800	6480	0	0	2160	2160	2160	2160	2160	2160	0	0	2160	2160	0	0
37	662085400	1850	6660	0	0	2220	2220	2220	2220	2220	2220	0	0	2220	2220	0	0
38	699825400	1900	6840	0	0	2280	2280	2280	2280	2280	2280	0	0	2280	2280	0	0
39	738823400	1950	7020	0	0	2340	2340	2340	2340	2340	2340	0	0	2340	2340	0	0
40	779079400	2000	7200	0	0	2400	2400	2400	2400	2400	2400	0	0	2400	2400	0	0
41	820593400	2050	7380	0	0	2460	2460	2460	2460	2460	2460	0	0	2460	2460	0	0
42	863365400	2100	7560	0	0	2520	2520	2520	2520	2520	2520	0	0	2520	2520	0	0
43	907395400	2150	7740	0	0	2580	2580	2580	2580	2580	2580	0	0	2580	2580	0	0
44	952683400	2200	7920	0	0	2640	2640	2640	2640	2640	2640	0	0	2640	2640	0	0
45	999229400	2250	8100	0	0	2700	2700	2700	2700	2700	2700	0	0	2700	2700	0	0
46	1047033400	2300	8280	0	0	2760	2760	2760	2760	2760	2760	0	0	2760	2760	0	0
47	1096095400	2350	8460	0	0	2820	2820	2820	2820	2820	2820	0	0	2820	2820	0	0
48	1146415400	2400	8640	0	0	2880	2880	2880	2880	2880	2880	0	0	2880	2880	0	0
49	1197993400	2450	8820	0	0	2940	2940	2940	2940	2940	2940	0	0	2940	2940	0	0
50	1250829400	2500	9000	0	0	3000	3000	3000	3000	3000	3000	0	0	3000	3000	0	0
51	1304923400	2550	9180	0	0	3060	3060	3060	3060	3060	3060	0	0	3060	3060	0	0
52	1360275400	2600	9360	0	0	3120	3120	3120	3120	3120	3120	0	0	3120	3120	0	0
53	1416885400	2650	9540	0	0	3180	3180	3180	3180	3180	3180	0	0	3180	3180	0	0
54	1474753400	2700	9720	0	0	3240	3240	3240	3240	3240	3240	0	0	3240	3240	0	0
55	1533879400	2750	9900	0	0	3300	3300	3300	3300	3300	3300	0	0	3300	3300	0	0
56	1594263400	2800	10080	0	0	3360	3360	3360	3360	3360	3360	0	0	3360	3360	0	0
57	1655905400	2850	10260	0	0	3420	3420	3420	3420	3420	3420	0	0	3420	3420	0	0
58	1718805400	2900	10440	0	0	3480	3480	3480	3480	3480	3480	0	0	3480	3480	0	0
59	1782334400	2950	10620	0	0	3540	3540	3540	3540	3540	3540	0	0	3540	3540	0	0
60	1846492400	3000	10800	0	0	3600	3600	3600	3600	3600	3600	0	0	3600	3600	0	0
61	1911279400	3050	10980	0	0	3660	3660	3660	3660	3660	3660	0	0	3660	3660	0	0
62	1976695400	3100	11160	0	0	3720	3720	3720	3720	3720	3720	0	0	3720	3720	0	0
63	2042740400	3150	11340	0	0	3780	3780	3780	3780	3780	3780	0	0	3780	3780	0	0
64	2109414400	3200	11520	0	0	3840	3840	3840	3840	3840	3840	0	0	3840	3840	0	0
65	2176717400	3250	11700	0	0	3900	3900	3900	3900	3900	3900	0	0	3900	3900	0	0
66	2244649400	3300	11880	0	0	3960	3960	3960	3960	3960	3960	0	0	3960	3960	0	0
67	2313210400	3350	12060	0	0	4020	4020	4020	4020	4020	4020	0	0	4020	4020	0	0
68	2382400400	3400	12240	0	0	4080	4080	4080	4080	4080	4080	0	0	4080	4080	0	0
69	2452219400	3450	12420	0	0	4140	4140	4140	4140	4140	4140	0	0	4140	4140	0	0
70	2522667400	3500	12600	0	0	4200	4200	4200	4200	4200	4200	0	0	4200	4200	0	0
71	2593744400	3550	12780	0	0	4260	4260	4260	4260	4260	4260	0	0	4260	4260	0	0
72	2665450400	3600	12960	0	0	4320	4320	4320	4320	4320	4320	0	0	4320	4320	0	0
