rank	Level	LevelMax	rewardItems	rewardItemShow	rewardItems_fcm	rewardItemShow_fcm
排名	个人等级	个人等级(max)	奖励物品	客户端展示奖励	奖励物品防沉迷	客户端展示奖励防沉迷
1	1	59	[(25682,200),(25661,80),(25666,40),(25671,20)]	[(25682,200),(25661,80),(25666,40),(25671,20)]	[(25682,100),(25661,40),(25666,20),(25671,10)]	[(25682,100),(25661,40),(25666,20),(25671,10)]
2	1	59	[(25682,100),(25661,40),(25666,20),(25671,10)]	[(25682,100),(25661,40),(25666,20),(25671,10)]	[(25682,50),(25661,20),(25666,10),(25671,5)]	[(25682,50),(25661,20),(25666,10),(25671,5)]
3	1	59	[(25682,50),(25661,20),(25666,10),(25671,5)]	[(25682,50),(25661,20),(25666,10),(25671,5)]	[(25682,25),(25661,10),(25666,5),(25671,3)]	[(25682,25),(25661,10),(25666,5),(25671,3)]
1	60	79	[(25683,200),(25662,80),(25667,40),(25672,20)]	[(25683,200),(25662,80),(25667,40),(25672,20)]	[(25683,100),(25662,40),(25667,20),(25672,10)]	[(25683,100),(25662,40),(25667,20),(25672,10)]
2	60	79	[(25683,100),(25662,40),(25667,20),(25672,10)]	[(25683,100),(25662,40),(25667,20),(25672,10)]	[(25683,50),(25662,20),(25667,10),(25672,5)]	[(25683,50),(25662,20),(25667,10),(25672,5)]
3	60	79	[(25683,50),(25662,20),(25667,10),(25672,5)]	[(25683,50),(25662,20),(25667,10),(25672,5)]	[(25683,25),(25662,10),(25667,5),(25672,3)]	[(25683,25),(25662,10),(25667,5),(25672,3)]
1	80	99	[(25684,200),(25663,80),(25668,40),(25673,20)]	[(25684,200),(25663,80),(25668,40),(25673,20)]	[(25684,100),(25663,40),(25668,20),(25673,10)]	[(25684,100),(25663,40),(25668,20),(25673,10)]
2	80	99	[(25684,100),(25663,40),(25668,20),(25673,10)]	[(25684,100),(25663,40),(25668,20),(25673,10)]	[(25684,50),(25663,20),(25668,10),(25673,5)]	[(25684,50),(25663,20),(25668,10),(25673,5)]
3	80	99	[(25684,50),(25663,20),(25668,10),(25673,5)]	[(25684,50),(25663,20),(25668,10),(25673,5)]	[(25684,25),(25663,10),(25668,5),(25673,3)]	[(25684,25),(25663,10),(25668,5),(25673,3)]
1	100	119	[(25685,200),(25664,80),(25669,40),(25674,20)]	[(25685,200),(25664,80),(25669,40),(25674,20)]	[(25685,100),(25664,40),(25669,20),(25674,10)]	[(25685,100),(25664,40),(25669,20),(25674,10)]
2	100	119	[(25685,100),(25664,40),(25669,20),(25674,10)]	[(25685,100),(25664,40),(25669,20),(25674,10)]	[(25685,50),(25664,20),(25669,10),(25674,5)]	[(25685,50),(25664,20),(25669,10),(25674,5)]
3	100	119	[(25685,50),(25664,20),(25669,10),(25674,5)]	[(25685,50),(25664,20),(25669,10),(25674,5)]	[(25685,25),(25664,10),(25669,5),(25674,3)]	[(25685,25),(25664,10),(25669,5),(25674,3)]
1	120	139	[(25686,200),(25665,80),(25670,40),(25675,20)]	[(25686,200),(25665,80),(25670,40),(25675,20)]	[(25686,100),(25665,40),(25670,20),(25675,10)]	[(25686,100),(25665,40),(25670,20),(25675,10)]
2	120	139	[(25686,100),(25665,40),(25670,20),(25675,10)]	[(25686,100),(25665,40),(25670,20),(25675,10)]	[(25686,50),(25665,20),(25670,10),(25675,5)]	[(25686,50),(25665,20),(25670,10),(25675,5)]
3	120	139	[(25686,50),(25665,20),(25670,10),(25675,5)]	[(25686,50),(25665,20),(25670,10),(25675,5)]	[(25686,25),(25665,10),(25670,5),(25675,3)]	[(25686,25),(25665,10),(25670,5),(25675,3)]
1	140	159	[(26607,200),(27048,80),(27049,40),(27050,20)]	[(26607,200),(27048,80),(27049,40),(27050,20)]	[(26607,100),(27048,40),(27049,20),(27050,10)]	[(26607,100),(27048,40),(27049,20),(27050,10)]
2	140	159	[(26607,100),(27048,40),(27049,20),(27050,10)]	[(26607,100),(27048,40),(27049,20),(27050,10)]	[(26607,50),(27048,20),(27049,10),(27050,5)]	[(26607,50),(27048,20),(27049,10),(27050,5)]
3	140	159	[(26607,50),(27048,20),(27049,10),(27050,5)]	[(26607,50),(27048,20),(27049,10),(27050,5)]	[(26607,25),(27048,10),(27049,5),(27050,3)]	[(26607,25),(27048,10),(27049,5),(27050,3)]
1	160	179	[(27066,200),(27904,80),(27905,40),(27906,20)]	[(27066,200),(27904,80),(27905,40),(27906,20)]	[(27066,100),(27904,40),(27905,20),(27906,10)]	[(27066,100),(27904,40),(27905,20),(27906,10)]
2	160	179	[(27066,100),(27904,40),(27905,20),(27906,10)]	[(27066,100),(27904,40),(27905,20),(27906,10)]	[(27066,50),(27904,20),(27905,10),(27906,5)]	[(27066,50),(27904,20),(27905,10),(27906,5)]
3	160	179	[(27066,50),(27904,20),(27905,10),(27906,5)]	[(27066,50),(27904,20),(27905,10),(27906,5)]	[(27066,25),(27904,10),(27905,5),(27906,3)]	[(27066,25),(27904,10),(27905,5),(27906,3)]
