index	BigType	SmallType	DayClear	desc	value	Description	pic	title	Content
类型	事件大类	事件小类	是否每天重置	客户端文字描述	结算值	分享说明	图片	标题	内容
1	0		0			9级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。			
2	0		0			11级开放技能，升级英勇打击到2级，点击升级时跳转到分享页面。			
3	0		0			15级开启招募，首次招募圣辉护卫，点击招募时跳转到分享页面。			
4	0		0			26级开放恶魔深渊，首次通关恶魔深渊一层简单难度，点击继续时跳转到分享页面。			
5	0		0			28级开放副本，首次通关副本龙人队长，翻牌完毕后跳转到分享页面。			
6	0		0			30级开放炼金，首次炼金，点击收获时跳转到分享页面。			
7	0		0			30级开放英雄祭坛，首次挑战英雄祭坛后，点击继续时跳转到分享页面。			
8	0		0			30级开启巨龙宝藏，首次用开启巨龙宝藏转盘，点击开启并等转动停止时跳转到分享页面。			
9	0		0			30级开启答题，首次进入答题，点击进入时跳转到分享页面。			
10	0		0			30级开启魔兽入侵，首次进入答题，点击进入时跳转到分享页面。			
11	0		0			30级开启城主轮值，首次进入答题，点击进入时跳转到分享页面。			
12	0		0			30级开启荣耀之战，首次进入答题，点击进入时跳转到分享页面。			
13	0		0			31级开放勇斗领主，首次抓捕奴隶，弹出提示点击确定时跳转到分享页面。			
14	0		0			31级开放英雄竞技，挑战玩家，首次用积分兑换奖励，点击领取时跳转到分享页面。			
15	0		0			32级开放公会魔神，首次挑战公会魔神第一关，点击挑战时跳转到分享页面。			
16	0		0			35级开放装备强化，首次强化装备，点击强化时跳转到分享页面。			
17	0		0			40级开放装备升阶，首次升阶装备，点击升阶时跳转到分享页面。			
18	0		0			40级开放装备神铸，首次神铸装备，点击神铸时跳转到分享页面。			
19	0		0			40级开放心魔炼狱，首次挑战心魔炼狱领取击杀奖励（在界面右边的奖励），点击领取时跳转到分享页面。			
20	2	1	0	人物等级达到30级	30	#龙骑士传#情侣的陪伴，神器的守护，拉风的坐骑，尽在《龙骑士传》。	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到30级了，快来当龙骑士，降魔屠龙吧。
21	2	2	0	人物等级达到40级	40	#龙骑士传#还在单身吗？在这里，屌丝告别单身不是梦。最完美的情人任你挑选！	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到40级了，快来当龙骑士，降魔屠龙吧。
