index	BigType	SmallType	DayClear	desc	value	Description	pic	title	Content
类型	事件大类	事件小类	是否每天重置	客户端文字描述	结算值	分享说明	图片	标题	内容
1	1	1	1	Dziel się codziennie	0	#Dragon Knight# Smok i miecz, bóg i demon. Walcz o swoje przeznaczenie!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	Gram w Dragon Knight!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
2	2	1	0	Osiągnij lvl 30	30	#Dragon Knight# Czekają na Ciebie lojalni towarzysze, magiczna broń i fantastyczne wierzchowce!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
3	2	2	0	Osiągnij lvl 40	40	#Dragon Knight# Chcesz się znaleźć w fantastycznym świecie, u boku fantastycznych graczy?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
4	2	3	0	Osiągnij lvl 50	50	#Dragon Knight# Czekają na Ciebie lojalni towarzysze, magiczna broń i fantastyczne wierzchowce!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
5	2	4	0	Osiągnij lvl 60	60	#Dragon Knight# Chcesz się znaleźć w fantastycznym świecie, u boku fantastycznych graczy?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
6	2	5	0	Osiągnij lvl 70	70	#Dragon Knight# Czekają na Ciebie lojalni towarzysze, magiczna broń i fantastyczne wierzchowce!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
7	2	6	0	Osiągnij lvl 80	80	#Dragon Knight# Chcesz się znaleźć w fantastycznym świecie, u boku fantastycznych graczy?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
8	2	7	0	Osiągnij lvl 90	90	#Dragon Knight# Czekają na Ciebie lojalni towarzysze, magiczna broń i fantastyczne wierzchowce!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
9	2	8	0	Osiągnij lvl 100	100	#Dragon Knight# Chcesz się znaleźć w fantastycznym świecie, u boku fantastycznych graczy?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Wyższy poziom!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
10	3	1	0	Rekrutuj Łucznika	3	#Dragon Knight# Czekają na Ciebie lojalni towarzysze, magiczna broń i fantastyczne wierzchowce!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Mam nowego bohatera!	#Dragon Knight# Trwa wojna między bogami i demonami! Chwytaj za broń i zostań smoczym wojownikiem!
