index	BigType	SmallType	DayClear	desc	value	Description	pic	title	Content
类型	事件大类	事件小类	是否每天重置	客户端文字描述	结算值	分享说明	图片	标题	内容
1	1	1	1	Hergün Paylaş	0	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	Ejder Yolu oynuyorum!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
2	2	1	0	30. levela çık	30	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
3	2	2	0	40. levela çık	40	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
4	2	3	0	50. levela çık	50	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
5	2	4	0	60. levela çık	60	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
6	2	5	0	70. levela çık	70	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
7	2	6	0	80. levela çık	80	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
8	2	7	0	90. levela çık	90	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
9	2	8	0	100. levela çık	100	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	Level al!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
