suiteIndex	needCuiLian	pv1	pt1	pv2	pt2
神器组合索引，淬炼组合等级	淬炼需要等级	加成	属性1	加成	属性2
(1,0)	(0,0)	0	4	0	6
(1,1)	(1,2)	200	4	200	6
(1,2)	(2,2)	500	4	500	6
(1,3)	(3,4)	1000	4	1000	6
(1,4)	(4,4)	1500	4	1500	6
(1,5)	(5,5)	2800	4	2800	6
(1,6)	(6,7)	4000	4	4000	6
(1,7)	(7,7)	5800	4	5800	6
(1,8)	(8,9)	6500	4	6500	6
(1,9)	(9,9)	7200	4	7200	6
(1,10)	(10,10)	8000	4	8000	6
(2,0)	(0,0)	0	13	0	0
(2,1)	(2,1)	200	13	200	0
(2,2)	(2,2)	500	13	500	0
(2,3)	(4,3)	1000	13	1000	0
(2,4)	(4,4)	1500	13	1500	0
(2,5)	(5,5)	2800	13	2800	0
(2,6)	(7,6)	4000	13	4000	0
(2,7)	(7,7)	5800	13	5800	0
(2,8)	(9,8)	6500	13	6500	0
(2,9)	(9,9)	7200	13	7200	0
(2,10)	(10,10)	8000	13	8000	0
(3,0)	(0,0)	0	1	0	0
(3,1)	(1,1)	200	1	200	0
(3,2)	(2,3)	500	1	500	0
(3,3)	(3,3)	1000	1	1000	0
(3,4)	(4,5)	1500	1	1500	0
(3,5)	(5,6)	2800	1	2800	0
(3,6)	(6,6)	4000	1	4000	0
(3,7)	(7,8)	5800	1	5800	0
(3,8)	(8,8)	6500	1	6500	0
(3,9)	(9,10)	7200	1	7200	0
(3,10)	(10,10)	8000	1	8000	0
(4,0)	(0,0)	0	8	0	0
(4,1)	(1,2)	200	8	200	0
(4,2)	(2,2)	500	8	500	0
(4,3)	(3,4)	1000	8	1000	0
(4,4)	(4,4)	1500	8	1500	0
(4,5)	(5,5)	2800	8	2800	0
(4,6)	(6,7)	4000	8	4000	0
(4,7)	(7,7)	5800	8	5800	0
(4,8)	(8,9)	6500	8	6500	0
(4,9)	(9,9)	7200	8	7200	0
(4,10)	(10,10)	8000	8	8000	0
(5,0)	(0,0)	0	9	0	0
(5,1)	(1,1)	200	9	200	0
(5,2)	(2,3)	500	9	500	0
(5,3)	(3,3)	1000	9	1000	0
(5,4)	(4,5)	1500	9	1500	0
(5,5)	(5,6)	2800	9	2800	0
(5,6)	(6,6)	4000	9	4000	0
(5,7)	(7,8)	5800	9	5800	0
(5,8)	(8,8)	6500	9	6500	0
(5,9)	(9,10)	7200	9	7200	0
(5,10)	(10,10)	8000	9	8000	0
(6,0)	(0,0)	0	12	0	0
(6,1)	(1,1)	200	12	200	0
(6,2)	(2,3)	500	12	500	0
(6,3)	(3,3)	1000	12	1000	0
(6,4)	(4,5)	1500	12	1500	0
(6,5)	(5,6)	2800	12	2800	0
(6,6)	(6,6)	4000	12	4000	0
(6,7)	(7,8)	5800	12	5800	0
(6,8)	(8,8)	6500	12	6500	0
(6,9)	(9,10)	7200	12	7200	0
(6,10)	(10,10)	8000	12	8000	0
(7,0)	(0,0,0,0,0,0)	0	10	0	11
(7,1)	(1,1,1,1,1,1)	200	10	200	11
(7,2)	(2,2,2,2,2,2)	500	10	500	11
(7,3)	(3,3,3,3,3,3)	1000	10	1000	11
(7,4)	(4,4,4,4,4,4)	1500	10	1500	11
(7,5)	(5,5,5,5,5,5)	2800	10	2800	11
(7,6)	(6,6,6,6,6,6)	4000	10	4000	11
(7,7)	(7,7,7,7,7,7)	5800	10	5800	11
(7,8)	(8,8,8,8,8,8)	6500	10	6500	11
(7,9)	(9,9,9,9,9,9)	7200	10	7200	11
(7,10)	(10,10,10,10,10,10)	8000	10	8000	11
