GemID	GemLevel	GemType	CanMix	MixMoney	MixNum	NextGemID	lowerlist	decompositionNum	pt1	pv1	pt2	pv2
符石ID	符石等级	符石类型	是否能合成下一级符石	合成费用	合成下一级需要的个数	合成下一级符石ID	同类型的低级符石(高级符石在前)	分解个数	属性1	属性1的值	属性2	属性2的值
25850	1	1	1	0	2	25862	0	1	4	40	8	80
25851	1	2	1	0	2	25863	0	1	4	40	13	80
25852	1	3	1	0	2	25864	0	1	4	40	12	80
25853	1	4	1	0	2	25865	0	1	4	40	9	80
25854	1	5	1	0	2	25866	0	1	6	40	8	80
25855	1	6	1	0	2	25867	0	1	6	40	13	80
25856	1	7	1	0	2	25868	0	1	6	40	12	80
25857	1	8	1	0	2	25869	0	1	6	40	9	80
25858	1	9	1	0	2	25870	0	1	1	120	8	80
25859	1	10	1	0	2	25871	0	1	1	120	13	80
25860	1	11	1	0	2	25872	0	1	1	120	12	80
25861	1	12	1	0	2	25873	0	1	1	120	9	80
25862	2	1	1	0	2	25874	[25850]	2	4	80	8	160
25863	2	2	1	0	2	25875	[25851]	2	4	80	13	160
25864	2	3	1	0	2	25876	[25852]	2	4	80	12	160
25865	2	4	1	0	2	25877	[25853]	2	4	80	9	160
25866	2	5	1	0	2	25878	[25854]	2	6	80	8	160
25867	2	6	1	0	2	25879	[25855]	2	6	80	13	160
25868	2	7	1	0	2	25880	[25856]	2	6	80	12	160
25869	2	8	1	0	2	25881	[25857]	2	6	80	9	160
25870	2	9	1	0	2	25882	[25858]	2	1	240	8	160
25871	2	10	1	0	2	25883	[25859]	2	1	240	13	160
25872	2	11	1	0	2	25884	[25860]	2	1	240	12	160
25873	2	12	1	0	2	25885	[25861]	2	1	240	9	160
25874	3	1	1	0	2	25886	[25862,25850]	4	4	160	8	320
25875	3	2	1	0	2	25887	[25863,25851]	4	4	160	13	320
25876	3	3	1	0	2	25888	[25864,25852]	4	4	160	12	320
25877	3	4	1	0	2	25889	[25865,25853]	4	4	160	9	320
25878	3	5	1	0	2	25890	[25866,25854]	4	6	160	8	320
25879	3	6	1	0	2	25891	[25867,25855]	4	6	160	13	320
25880	3	7	1	0	2	25892	[25868,25856]	4	6	160	12	320
25881	3	8	1	0	2	25893	[25869,25857]	4	6	160	9	320
25882	3	9	1	0	2	25894	[25870,25858]	4	1	480	8	320
25883	3	10	1	0	2	25895	[25871,25859]	4	1	480	13	320
25884	3	11	1	0	2	25896	[25872,25860]	4	1	480	12	320
25885	3	12	1	0	2	25897	[25873,25861]	4	1	480	9	320
25886	4	1	1	0	2	25898	[25874,25862,25850]	8	4	240	8	480
25887	4	2	1	0	2	25899	[25875,25863,25851]	8	4	240	13	480
25888	4	3	1	0	2	25900	[25876,25864,25852]	8	4	240	12	480
25889	4	4	1	0	2	25901	[25877,25865,25853]	8	4	240	9	480
25890	4	5	1	0	2	25902	[25878,25866,25854]	8	6	240	8	480
25891	4	6	1	0	2	25903	[25879,25867,25855]	8	6	240	13	480
25892	4	7	1	0	2	25904	[25880,25868,25856]	8	6	240	12	480
