strengthLv	salereturn	CuiLianReturn
强化/淬炼等级	售卖返还	淬炼返还
0	0	0
1	[25971,1]	(28833,3)
2	[25971,3]	(28833,15)
3	[25971,6]	(28833,75)
4	[25971,10]	(28833,195)
5	[25971,15]	(28833,555)
6	[25971,21]	(28833,1095)
7	[25971,29]	(28833,1895)
8	[25971,38]	(28833,2995)
9	[25971,51]	(28833,4435)
10	[25971,65]	(28833,6235)
11	[25971,81]	
12	[25971,103]	
13	[25971,131]	
14	[25971,165]	
15	[25971,205]	
16	[25971,253]	
17	[25971,309]	
18	[25971,373]	
19	[25971,445]	
20	[25971,525]	
21	[25971,613]	
22	[25971,713]	
23	[25971,825]	
24	[25971,949]	
25	[25971,1085]	
26	[25971,1233]	
27	[25971,1393]	
28	[25971,1565]	
29	[25971,1749]	
30	[25971,1945]	
31	[25971,2153]	
32	[25971,2373]	
33	[25971,2605]	
34	[25971,2849]	
35	[25971,3105]	
36	[25971,3373]	
37	[25971,3653]	
38	[25971,3945]	
39	[25971,4249]	
40	[25971,4565]	
41	[25971,4893]	
42	[25971,5233]	
43	[25971,5585]	
44	[25971,5949]	
45	[25971,6325]	
46	[25971,6713]	
47	[25971,7113]	
48	[25971,7525]	
49	[25971,7949]	
50	[25971,8385]	
51	[25971,8833]	
52	[25971,9293]	
53	[25971,9765]	
54	[25971,10249]	
55	[25971,10745]	
56	[25971,11253]	
57	[25971,11773]	
58	[25971,12305]	
59	[25971,12849]	
60	[25971,13405]	
61	[25971,13973]	
62	[25971,14553]	
63	[25971,15145]	
64	[25971,15749]	
65	[25971,16365]	
66	[25971,16993]	
67	[25971,17633]	
68	[25971,18285]	
69	[25971,18949]	
70	[25971,19625]	
71	[25971,20313]	
72	[25971,21013]	
73	[25971,21725]	
74	[25971,22449]	
75	[25971,23185]	
76	[25971,23933]	
77	[25971,24693]	
78	[25971,25465]	
79	[25971,26249]	
80	[25971,27045]	
81	[25971,27853]	
82	[25971,28673]	
83	[25971,29505]	
84	[25971,30349]	
85	[25971,31205]	
86	[25971,32073]	
87	[25971,32953]	
88	[25971,33845]	
89	[25971,34749]	
90	[25971,35665]	
91	[25971,36593]	
92	[25971,37533]	
93	[25971,38485]	
94	[25971,39449]	
95	[25971,40425]	
96	[25971,41413]	
97	[25971,42413]	
98	[25971,43425]	
99	[25971,44449]	
100	[25971,45485]	
101	[25971,46533]	
102	[25971,47593]	
103	[25971,48665]	
104	[25971,49749]	
105	[25971,50845]	
106	[25971,51953]	
107	[25971,53073]	
108	[25971,54205]	
109	[25971,55349]	
110	[25971,56505]	
111	[25971,57673]	
112	[25971,58853]	
113	[25971,60045]	
114	[25971,61249]	
115	[25971,62465]	
116	[25971,63693]	
117	[25971,64933]	
118	[25971,66185]	
119	[25971,67449]	
120	[25971,68725]	
