suitId	cnt	equipId	pt1	pv1	pt2	pv2	colour
套装Id	需求装备数	满足的装备ID	属性类型1	属性值1	属性类型2	属性值2	文字的颜色
1	3	[35700,35701,35702]	4	200	6	200	00ff0f
2	3	[35703,35704,35705]	1	200	0	0	7b87ff
3	3	[35706,35707,35708]	4	400	6	400	a300ef
4	3	[35709,35710,35711]	1	400	0	0	fefb00
5	3	[35712,35713,35714]	4	600	6	600	ff8614
6	3	[35715,35716,35717]	1	600	0	0	9f35ff
7	3	[35718,35719,35720]	4	800	6	800	ff00ff
8	3	[35721,35722,35723]	1	800	0	0	ff359a
9	3	[35724,35725,35726]	4	800	6	800	ff00ff
10	3	[35727,35728,35729]	1	800	0	0	ff359a
11	3	[35730,35731,35732]	4	1000	6	1000	ff00ff
12	3	[35733,35734,35735]	1	1000	0	0	ff359a
13	3	[35736,35737,35738]	4	1200	6	1200	ff00ff
14	3	[35739,35740,35741]	1	1200	0	0	ff359a
