coding	name	icon	bigIcon	bigIcon70	iconBackgroundColor	needlevel	grade	posType	suitId	StrengthRate	sortLevel	Strength	UpGrade	forging	ZhuanShengLevel	needZhuanSheng	evolve	zhuanSheng	canSell	salePrice	pt1	pv1	pt2	pv2	needLog	kinds	propsType	use	nameColor	showGoods	holeNum	Mosaic	IsRole	jiaMi	FreeWash	UnlockWash	WashLevel
物品编码	物品名字	道具图标	大图标	70*70图标	图标背景颜色（1、绿色2、蓝色、3、紫色、4、黄色、5、橙色）	佩戴需要等级	装备品阶	装备部位	拥有的套装属性ID	强化系数	排序优先级，越大越靠前	是否可强化（1、可，0、否）	是否可进阶（1.可以，0.不可以）	是否可神铸（1可以，0不可以）	装备转生等级	佩戴需要英雄转生等级	是否可以进化（1可以，0不可以）	是否可以转生（1可以，0不可以）	物品是否可以出售(0:不可以，1:可以)	价钱	属性类型1	属性值1	属性类型2	属性值2	是否记录日志(0：不记录   1：记录)	物品类型：7=装备	道具类型(1=消耗品，2=武器，3=防具，4=饰品)	物品详细用途描述	物品名称颜色	是否可以展示	装备孔数	是否可镶嵌	是否只有主角能穿戴（1：是，0：不是）	是否需要加密	免费的洗练条数	可额外解锁的洗练条数	洗练等级，用于继承
35600	骑士剑	20lanwuqi			2	20	2	1	0	0	14	0	0	0	0	0	0	0	1	500	4	160	6	160	1	7	2	相传是帝国最英勇的骑士所佩之剑，削铁如泥	蓝色	1	0	0	0	0	2	0	20
35601	重装头盔	20lantoukui			2	20	2	2	0	0	15	0	0	0	0	0	0	0	1	500	1	60	5	200	1	7	3	用稀有材料打造的头盔，分量十足，坚实无比	蓝色	1	0	0	0	0	2	0	20
35602	烈风铠甲	20lanyifu			2	20	2	4	0	0	16	0	0	0	0	0	0	0	1	500	1	60	7	200	1	7	3	用稀有材料打造的铠甲，坚实而又不失机动性	蓝色	1	0	0	0	0	2	0	20
35603	凌动战靴	20lanxuezi			2	20	2	6	0	0	17	0	0	0	0	0	0	0	1	500	1	280	0	0	1	7	3	锻造者从疾风中得到灵感，穿着它行走有如脚下踏着风	蓝色	1	0	0	0	0	2	0	20
35604	日炎戒指	20lanjiezhi			2	20	2	5	0	0	18	0	0	0	0	0	0	0	1	500	1	100	6	40	1	7	4	汲取了日光之精华打造的戒指，其内流淌着日炎之力	蓝色	1	0	0	0	0	2	0	20
35605	夜光手镯	20lanshouzu			2	20	2	3	0	0	19	0	0	0	0	0	0	0	1	500	1	100	4	40	1	7	4	汲取了月光之精华打造的手镯，佩戴者会受到月之恩泽	蓝色	1	0	0	0	0	2	0	20
35606	烈火·光辉剑	20ziwuqi	20ziwuqida		3	20	3	1	[2,3]	300	20	1	1	0	0	0	0	0	1	1000	4	400	6	400	1	7	2	与烈火相互融合，散发着太阳的光辉	紫色	1	2	1	0	1	2	0	20
35607	烈火·光辉头盔	20zitoukui	20zitoukuida		3	20	3	2	[2,3]	300	21	1	1	0	0	0	0	0	1	1000	1	150	5	500	1	7	3	与烈火相互融合，散发着太阳的光辉	紫色	1	2	1	0	1	2	0	20
35608	烈火·光辉铠甲	20ziyifu	20ziyifuda		3	20	3	4	[2,3]	300	22	1	1	0	0	0	0	0	1	1000	1	150	7	500	1	7	3	与烈火相互融合，散发着太阳的光辉	紫色	1	2	1	0	1	2	0	20
35609	烈火·光辉战靴	20zixuezi	20zixuezida		3	20	3	6	[2,3]	300	23	1	1	0	0	0	0	0	1	1000	1	700	0	0	1	7	3	与烈火相互融合，散发着太阳的光辉	紫色	1	2	1	0	1	2	0	20
35610	烈火·光辉戒指	20zijiezhi	20zijiezhida		3	20	3	5	[1]	300	24	1	1	0	0	0	0	0	1	1000	1	250	6	100	1	7	4	与烈火相互融合，散发着太阳的光辉	紫色	1	2	1	0	1	2	0	20
35611	烈火·光辉手镯	20zishouzu	20zishouzuda		3	20	3	3	[1]	300	25	1	1	0	0	0	0	0	1	1000	1	250	4	100	1	7	4	与烈火相互融合，散发着太阳的光辉	紫色	1	2	1	0	1	2	0	20
35612	圣·光辉剑	20hwuqi	20hwuqida		4	20	4	1	[2,3]	500	26	1	1	0	0	0	0	0	1	1000	4	640	6	640	1	7	2	与烈火相互融合，散发着太阳的光辉	黄色	1	3	1	0	1	2	0	20
35613	圣·光辉头盔	20htoukui	20htoukuida		4	20	4	2	[2,3]	500	27	1	1	0	0	0	0	0	1	1000	1	240	5	800	1	7	3	与烈火相互融合，散发着太阳的光辉	黄色	1	3	1	0	1	2	0	20
35614	圣·光辉铠甲	20hyifu	20hyifuda		4	20	4	4	[2,3]	500	28	1	1	0	0	0	0	0	1	1000	1	240	7	800	1	7	3	与烈火相互融合，散发着太阳的光辉	黄色	1	3	1	0	1	2	0	20
35615	圣·光辉战靴	20hxuezi	20hxuezida		4	20	4	6	[2,3]	500	29	1	1	0	0	0	0	0	1	1000	1	1120	0	0	1	7	3	与烈火相互融合，散发着太阳的光辉	黄色	1	3	1	0	1	2	0	20
35616	圣·光辉戒指	20hjiezhi	20hjiezhida		4	20	4	5	[1]	500	30	1	1	0	0	0	0	0	1	1000	1	400	6	160	1	7	4	与烈火相互融合，散发着太阳的光辉	黄色	1	3	1	0	1	2	0	20
35617	圣·光辉手镯	20hshouzu	20hshouzuda		4	20	4	3	[1]	500	31	1	1	0	0	0	0	0	1	1000	1	400	4	160	1	7	4	与烈火相互融合，散发着太阳的光辉	黄色	1	3	1	0	1	2	0	20
35618	混沌·炼狱剑	30hwuqi	30hwuqida		4	30	4	1	[5,6]	1200	32	1	1	1	0	0	0	0	1	50000	4	1840	6	1840	1	7	2	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35619	混沌·炼狱头盔	30htoukui	30htoukuida		4	30	4	2	[5,6]	1200	33	1	1	1	0	0	0	0	1	50000	1	690	5	2300	1	7	3	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
