GemID	GemLevel	GemDoubleType	IsResolve	CostRMB	GetResolve	GemType	CanMix	MixMoney	MixNum	NextGemID	lowerlist	decompositionNum	pt1	pv1	pt2	pv2
宝石ID	宝石等级	是否双属性宝石	是否能分解	分解消费	返回低级宝石	宝石类型	是否能合成下一级宝石	合成费用	合成下一级需要的个数	合成下一级宝石ID	同类型的低级宝石(高级宝石在前)	分解个数	属性1	属性1的值	属性2	属性2的值
25720	1	0	0	0	0	1	1	0	2	25729	0	1	1	300	0	0
25721	1	0	0	0	0	2	1	0	2	25730	0	1	4	100	0	0
25722	1	0	0	0	0	3	1	0	2	25731	0	1	6	100	0	0
25723	1	0	0	0	0	4	1	0	2	25732	0	1	5	100	0	0
25724	1	0	0	0	0	5	1	0	2	25733	0	1	7	100	0	0
25725	1	0	0	0	0	6	1	0	2	25734	0	1	8	100	0	0
25726	1	0	0	0	0	7	1	0	2	25735	0	1	9	100	0	0
25727	1	0	0	0	0	8	1	0	2	25736	0	1	13	100	0	0
25728	1	0	0	0	0	9	1	0	2	25737	0	1	12	100	0	0
25729	2	0	0	0	0	1	1	0	2	25738	[25720]	2	1	600	0	0
25730	2	0	0	0	0	2	1	0	2	25739	[25721]	2	4	200	0	0
25731	2	0	0	0	0	3	1	0	2	25740	[25722]	2	6	200	0	0
25732	2	0	0	0	0	4	1	0	2	25741	[25723]	2	5	200	0	0
25733	2	0	0	0	0	5	1	0	2	25742	[25724]	2	7	200	0	0
25734	2	0	0	0	0	6	1	0	2	25743	[25725]	2	8	200	0	0
25735	2	0	0	0	0	7	1	0	2	25744	[25726]	2	9	200	0	0
25736	2	0	0	0	0	8	1	0	2	25745	[25727]	2	13	200	0	0
25737	2	0	0	0	0	9	1	0	2	25746	[25728]	2	12	200	0	0
25738	3	0	0	0	0	1	1	0	2	25747	[25729,25720]	4	1	1200	0	0
25739	3	0	0	0	0	2	1	0	2	25748	[25730,25721]	4	4	400	0	0
25740	3	0	0	0	0	3	1	0	2	25749	[25731,25722]	4	6	400	0	0
25741	3	0	0	0	0	4	1	0	2	25750	[25732,25723]	4	5	400	0	0
25742	3	0	0	0	0	5	1	0	2	25751	[25733,25724]	4	7	400	0	0
25743	3	0	0	0	0	6	1	0	2	25752	[25734,25725]	4	8	400	0	0
25744	3	0	0	0	0	7	1	0	2	25753	[25735,25726]	4	9	400	0	0
25745	3	0	0	0	0	8	1	0	2	25754	[25736,25727]	4	13	400	0	0
25746	3	0	0	0	0	9	1	0	2	25755	[25737,25728]	4	12	400	0	0
25747	4	0	0	0	0	1	1	0	2	25756	[25738,25729,25720]	8	1	1800	0	0
25748	4	0	0	0	0	2	1	0	2	25757	[25739,25730,25721]	8	4	600	0	0
25749	4	0	0	0	0	3	1	0	2	25758	[25740,25731,25722]	8	6	600	0	0
