srcType	desType	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4	srcTypename	desTypename
旧装备类型	新装备类型	需要角色等级	需要材料1	数量1	需要材料2	数量2	需要材料3	数量3	需要材料4	数量4	旧装备名字	新装备名字
3339	3333	20	28100	1	28101	4	28102	4	28103	0	勇者长剑	守护者长剑
3340	3334	20	28100	1	28101	4	28102	5	28103	1	勇者法杖	守护者法杖
3341	3335	20	28100	1	28101	4	28102	6	28103	2	勇者羽翼	守护者羽翼
3342	3336	20	28100	1	28101	4	28102	7	28103	3	勇者头盔	守护者头盔
3343	3337	20	28100	1	28101	4	28102	8	28103	4	勇者指环	守护者指环
3344	3338	20	28100	1	28101	4	28102	9	28103	5	勇者胸甲	守护者胸甲
35630	35636	40	25671	50	25661	240	25666	120	0	0	涌泉·魔魂剑	圣·魔魂剑
35631	35637	40	25671	20	25661	80	25666	40	0	0	涌泉·魔魂头盔	圣·魔魂头盔
35632	35638	40	25671	20	25661	80	25666	40	0	0	涌泉·魔魂铠甲	圣·魔魂铠甲
35633	35639	40	25671	20	25661	80	25666	40	0	0	涌泉·魔魂战靴	圣·魔魂战靴
35634	35640	40	25671	30	25661	120	25666	60	0	0	涌泉·魔魂戒指	圣·魔魂戒指
35635	35641	40	25671	30	25661	120	25666	60	0	0	涌泉·魔魂手镯	圣·魔魂手镯
35642	35648	60	25672	200	25662	960	25667	480	0	0	亮银·寒光剑	圣·寒光剑
35643	35649	60	25672	80	25662	320	25667	160	0	0	亮银·寒光头盔	圣·寒光头盔
35644	35650	60	25672	80	25662	320	25667	160	0	0	亮银·寒光铠甲	圣·寒光铠甲
35645	35651	60	25672	80	25662	320	25667	160	0	0	亮银·寒光战靴	圣·寒光战靴
35646	35652	60	25672	120	25662	480	25667	240	0	0	亮银·寒光戒指	圣·寒光戒指
35647	35653	60	25672	120	25662	480	25667	240	0	0	亮银·寒光手镯	圣·寒光手镯
35666	35672	80	25673	960	25663	1920	25668	960	0	0	末日·幻影剑	圣·幻影剑
35667	35673	80	25673	320	25663	640	25668	320	0	0	末日·幻影头盔	圣·幻影头盔
35668	35674	80	25673	320	25663	640	25668	320	0	0	末日·幻影铠甲	圣·幻影铠甲
