starlevel	pro	proportion	ptlist	Colour
星级	概率	换算比例	可刷新出的属性	颜色
1	1500	[100,400]	[1,4,5,6,7,8,9,12,13]	绿色
2	1400	[401,700]	[1,4,5,6,7,8,9,12,13]	绿色
3	1300	[701,1000]	[1,4,5,6,7,8,9,12,13]	绿色
4	1200	[1001,1350]	[1,4,5,6,7,8,9,12,13]	绿色
5	1000	[1351,1700]	[1,4,5,6,7,8,9,12,13]	绿色
6	800	[1701,2100]	[1,4,5,6,7,8,9,12,13]	蓝色
7	700	[2101,2500]	[1,4,5,6,7,8,9,12,13]	蓝色
8	600	[2501,2900]	[1,4,5,6,7,8,9,12,13]	蓝色
9	500	[2901,3350]	[1,4,5,6,7,8,9,12,13]	蓝色
10	400	[3351,3800]	[1,4,5,6,7,8,9,12,13]	蓝色
11	300	[3801,4300]	[1,4,5,6,7,8,9,12,13]	紫色
12	250	[4301,4800]	[1,4,5,6,7,8,9,12,13]	紫色
13	200	[4801,5350]	[1,4,5,6,7,8,9,12,13]	紫色
14	150	[5351,5900]	[1,4,5,6,7,8,9,12,13]	紫色
15	100	[5901,6500]	[1,4,5,6,7,8,9,12,13]	黄色
16	80	[6501,7100]	[1,4,5,6,7,8,9,12,13]	黄色
17	50	[7101,7750]	[1,4,5,6,7,8,9,12,13]	黄色
18	20	[7751,8450]	[1,4,5,6,7,8,9,12,13]	橙色
19	10	[8451,9200]	[1,4,5,6,7,8,9,12,13]	橙色
20	1	[9201,10000]	[1,4,5,6,7,8,9,12,13]	红色
