SealingLevel	needItem	NextLevel	addExp	needExp	add6	add7	add8	add9	add10	add11	add12
封灵等级	封灵消耗的道具	是否有下一级	每次封灵增加的经验	升级需要的经验	6级宝石加成(百分比)	7级宝石加成(百分比)	8级宝石加成(百分比)	9级宝石加成(百分比)	10级宝石加成(百分比)	11级宝石加成(百分比)	12级宝石加成(百分比)
0	25831	1	1	5	0	0	0	0	0	0	0
1	25831	1	1	10	20	25	30	35	40	45	50
2	25831	1	1	15	25	30	35	40	45	50	55
3	25831	1	1	70	30	35	40	45	50	55	60
4	25831	1	1	200	35	40	45	50	55	60	65
5	25831	1	1	200	40	45	50	55	60	65	70
6	25831	1	1	500	45	50	55	60	65	70	75
7	25831	1	1	1000	50	55	60	65	70	75	80
8	25831	1	1	3000	55	60	65	70	75	80	85
9	25831	1	1	5000	60	65	70	75	80	85	90
10	25831	1	1	10000	65	70	75	80	85	90	95
11	25831	1	1	20000	72	77	82	87	92	97	102
12	25831	0	1	0	80	85	90	95	100	105	110
