PropLevel	Percent	Rate	InitRate	Colour	pt4	pt6	pt5	pt7	pt1	pt8	pt9	pt12	pt13	pt10	pt11	ptbuf_4	ptbuf_6	ptbuf_1
星阶	万分比区间	洗练/继承概率	默认生成	星级颜色	物攻	法攻	物防	法防	生命上限	暴击	免暴	破挡	格挡	破击	免破	物攻加成	法攻加成	生命加成
1	(100,278)	220	240	绿色	100	100	100	100	500	100	100	100	100	10	10	10	10	10
2	(279,556)	200	210	绿色	200	200	200	200	1000	200	200	200	200	20	20	15	15	15
3	(557,884)	159	160	绿色	300	300	300	300	1500	300	300	300	300	30	30	20	20	20
4	(885,1389)	130	130	蓝色	500	500	500	500	2500	500	500	500	500	50	50	30	30	30
5	(1390,2084)	100	100	蓝色	750	750	750	750	3750	750	750	750	750	75	75	43	43	43
6	(2085,2917)	70	70	蓝色	1050	1050	1050	1050	5250	1050	1050	1050	1050	105	105	65	65	65
7	(2918,4167)	50	50	紫色	1500	1500	1500	1500	7500	1500	1500	1500	1500	150	150	90	90	90
8	(4168,5556)	40	40	紫色	2000	2000	2000	2000	10000	2000	2000	2000	2000	200	200	118	118	118
9	(5557,7500)	20	0	紫色	2700	2700	2700	2700	13500	2700	2700	2700	2700	270	270	143	143	143
10	(7501,9167)	10	0	橙色	3300	3300	3300	3300	16500	3300	3300	3300	3300	330	330	160	160	160
11	(9168,10000)	1	0	红色	3600	3600	3600	3600	18000	3600	3600	3600	3600	360	360	170	170	170
