SealingLevel	needItem	NextLevel	addExp	needExp	add6	add7	add8	add9	add10
封灵等级	封灵消耗的道具	是否有下一级	每次封灵增加的经验	升级需要的经验	6级雕纹加成(百分比)	7级雕纹加成(百分比)	8级雕纹加成(百分比)	9级雕纹加成(百分比)	10级雕纹加成(百分比)
0	29001	1	1	10	0	0	0	0	0
1	29001	1	1	15	20	25	30	35	40
2	29001	1	1	25	25	30	35	40	45
3	29001	1	1	100	30	35	40	45	50
4	29001	1	1	250	35	40	45	50	55
5	29001	1	1	300	40	45	50	55	60
6	29001	1	1	750	45	50	55	60	65
7	29001	1	1	1500	50	55	60	65	70
8	29001	1	1	4500	55	60	65	70	75
9	29001	1	1	7500	60	65	70	75	80
10	29001	1	1	15000	65	70	75	80	85
11	29001	1	1	30000	72	77	82	87	92
12	29001	0	1	0	80	85	90	95	100
