coding	name	Des	propsType	kinds	useLevel	useNeedItem	iconBackgroundColor	canSell	canOverlap	canUse	canUseSome	needLog	sortLevel	icon	bigIcon70	icon_FT	icon_US	icon_RU	icon_TK	icon_PL	icon_Fr	icon_EN	use	nameColor	saleBack	salePrice	saleBack2	salePrice2	doubleclick	minutes	timeoutCoding	invaluable	pbp	showGoods	kuaFuUse	jiaMi
物品编码	物品名字	物品分类（策划）	道具类型背包内筛选(1=消耗品，2=武器，3=防具，4=饰品)	前端专用背包栏（1=道具）( 数值=2)(宝石==3)（材料==4）（符文==5）（神器==6）（UI格式）(7=装备)（8==羽翼）(12=龙骸)（14=坐骑外形道具）(15=星灵之钥)	使用等级	使用需要物品	图标背景颜色（1、绿色2、蓝色、3、紫色、4、黄色、5、橙色）	物品是否可以出售(1:可以  0：不可)	是否可以叠加	是否可以使用	是否可以批量使用	是否记录日志(0：不记录   1：记录)	排序优先级(越大越靠前)	图标名称	大图标名称	繁体图标名称	北美图标名称	俄罗斯图标名称	土耳其图标名称	波兰图标名称	法语图标名称	101xp英文版图标名称	物品详细用途描述	物品名称颜色	出售获得（0为金币，非金币填获得道具coding）	出售单价（出售获得金币数量或道具数量）	出售获得（saleBack不为0，且返还道具超过1种时，填道具coding，否则填0）	出售单价（道具数量）	双击功能	有效时间(单位：分钟)	过期转化ID	有效期间内可否出售（0=可出售或非限时道具，1=不可出售）	进背包飘不飘（0飘1不飘）	是否可以展示	是否跨服可使用（0可使用，1不可使用）	是否需要加密
25600	坐骑培养石	坐骑	1	1	9		3	1	1	1	0	1	4670	zuoqipeiyangshi									坐骑神石培养时替代神石，每次消耗一个，优先消耗。	紫色	0	1000	0	0	ZQPY			0	0	0	1	1
25601	坐骑·小碎肉	坐骑	1	1	26		1	1	0	1	0	1	4670	zuoqishiwu1									使用后坐骑属性增加：物攻+40 法攻+40 生命+120。(每个道具仅可使用一次)#H使用条件：坐骑达到1阶1星。	绿色	0	9999	0	0	0	4320		0	0	1	1	0
25602	坐骑·小里脊	坐骑	1	1	26		1	1	0	1	0	1	4670	zuoqishiwu1									使用后坐骑属性增加：物攻+40 法攻+40 生命+120。(每个道具仅可使用一次)#H使用条件：坐骑达到1阶3星。	绿色	0	9999	0	0	0	4320		0	0	1	1	0
25603	坐骑·中里脊	坐骑	1	1	26		1	1	0	1	0	1	4670	zuoqishiwu1									使用后坐骑属性增加：物攻+40 法攻+40 生命+120。(每个道具仅可使用一次)#H使用条件：坐骑达到1阶5星。	绿色	0	9999	0	0	0	4320		0	0	1	1	0
25604	坐骑·大里脊	坐骑	1	1	26		1	1	0	1	0	1	4670	zuoqishiwu1									使用后坐骑属性增加：物攻+40 法攻+40 生命+120。(每个道具仅可使用一次)#H使用条件：坐骑达到1阶7星。	绿色	0	9999	0	0	0	4320		0	0	1	1	0
25605	坐骑·金里脊	坐骑	1	1	26		1	1	0	1	0	1	4670	zuoqishiwu1									使用后坐骑属性增加：物攻+40 法攻+40 生命+120。(每个道具仅可使用一次)#H使用条件：坐骑达到1阶9星。	绿色	0	9999	0	0	0	4320		0	0	1	1	0
25606	坐骑·小虾米	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu2									使用后坐骑属性增加：物攻+80 法攻+80 生命+240。(每个道具仅可使用一次)#H使用条件：坐骑达到2阶1星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25607	坐骑·皮皮虾	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu2									使用后坐骑属性增加：物攻+80 法攻+80 生命+240。(每个道具仅可使用一次)#H使用条件：坐骑达到2阶3星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25608	坐骑·竹节虾	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu2									使用后坐骑属性增加：物攻+80 法攻+80 生命+240。(每个道具仅可使用一次)#H使用条件：坐骑达到2阶5星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
