itemId	gold	bindrmb	unbindrmb	items	levelVal1	levelitems1	levelVal2	levelitems2	levelVal3	levelitems3	levelVal4	levelitems4	levelVal5	levelitems5	levelVal6	levelitems6	levelVal7	levelitems7	levelVal8	levelitems8
礼包ID	金币	魔晶	奖励神石	必出物品	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励	等级区间1	该区间给的物品奖励
26392	200000	0	0	[(25600,1)]	[1,39]	[(25681,10)]	[40,59]	[(25682,10)]	[60,79]	[(25683,10)]	[80,99]	[(25684,10)]	[100,119]	[(25685,10)]	[120,139]	[(25686,10)]	[140,159]	[(26607,10)]	[160,179]	[(27066,10)]
26393	250000	0	0	[(25600,1)]	[1,39]	[(25681,15)]	[40,59]	[(25682,15)]	[60,79]	[(25683,15)]	[80,99]	[(25684,15)]	[100,119]	[(25685,15)]	[120,139]	[(25686,15)]	[140,159]	[(26607,15)]	[160,179]	[(27066,15)]
26394	300000	0	0	[(25600,1)]	[1,39]	[(25681,20)]	[40,59]	[(25682,20)]	[60,79]	[(25683,20)]	[80,99]	[(25684,20)]	[100,119]	[(25685,20)]	[120,139]	[(25686,20)]	[140,159]	[(26607,20)]	[160,179]	[(27066,20)]
26395	500000	0	0	[(25600,2)]	[1,39]	[(25681,30)]	[40,59]	[(25682,30)]	[60,79]	[(25683,30)]	[80,99]	[(25684,30)]	[100,119]	[(25685,30)]	[120,139]	[(25686,30)]	[140,159]	[(26607,30)]	[160,179]	[(27066,30)]
26399	200000	0	0	[(25600,1)]	[1,39]	[(25681,10)]	[40,59]	[(25682,10)]	[60,79]	[(25683,10)]	[80,99]	[(25684,10)]	[100,119]	[(25685,10)]	[120,139]	[(25686,10)]	[140,159]	[(26607,10)]	[160,179]	[(27066,10)]
26400	250000	0	0	[(25600,1)]	[1,39]	[(25681,15)]	[40,59]	[(25682,15)]	[60,79]	[(25683,15)]	[80,99]	[(25684,15)]	[100,119]	[(25685,15)]	[120,139]	[(25686,15)]	[140,159]	[(26607,15)]	[160,179]	[(27066,15)]
26401	300000	0	0	[(25600,1)]	[1,39]	[(25681,20)]	[40,59]	[(25682,20)]	[60,79]	[(25683,20)]	[80,99]	[(25684,20)]	[100,119]	[(25685,20)]	[120,139]	[(25686,20)]	[140,159]	[(26607,20)]	[160,179]	[(27066,20)]
26402	500000	0	0	[(25600,2)]	[1,39]	[(25681,30)]	[40,59]	[(25682,30)]	[60,79]	[(25683,30)]	[80,99]	[(25684,30)]	[100,119]	[(25685,30)]	[120,139]	[(25686,30)]	[140,159]	[(26607,30)]	[160,179]	[(27066,30)]
26404	200000	0	0		[1,39]	[(25681,20)]	[40,59]	[(25682,20)]	[60,79]	[(25683,20)]	[80,99]	[(25684,20)]	[100,119]	[(25685,20)]	[120,139]	[(25686,20)]	[140,159]	[(26607,20)]	[160,179]	[(27066,20)]
26405	300000	0	0		[1,39]	[(25681,30)]	[40,59]	[(25682,30)]	[60,79]	[(25683,30)]	[80,99]	[(25684,30)]	[100,119]	[(25685,30)]	[120,139]	[(25686,30)]	[140,159]	[(26607,30)]	[160,179]	[(27066,30)]
26406	500000	0	0		[1,39]	[(25681,60)]	[40,59]	[(25682,60)]	[60,79]	[(25683,60)]	[80,99]	[(25684,60)]	[100,119]	[(25685,60)]	[120,139]	[(25686,60)]	[140,159]	[(26607,60)]	[160,179]	[(27066,60)]
26407	750000	0	0		[1,39]	[(25681,80)]	[40,59]	[(25682,80)]	[60,79]	[(25683,80)]	[80,99]	[(25684,80)]	[100,119]	[(25685,80)]	[120,139]	[(25686,80)]	[140,159]	[(26607,80)]	[160,179]	[(27066,80)]
26408	1000000	0	0		[1,39]	[(25681,100)]	[40,59]	[(25682,100)]	[60,79]	[(25683,100)]	[80,99]	[(25684,100)]	[100,119]	[(25685,100)]	[120,139]	[(25686,100)]	[140,159]	[(26607,100)]	[160,179]	[(27066,100)]
