coding	name	magicSpiritLevel	magicSpiritType	propertyPool	skillPointPool	needLog	skillPointRange	nextLevelID	needItem	needItemEx	returnItem	returnMoney	nameColor	iconBackgroundColor	kinds	icon	jiaMi	needlevel	upPoint	doubleclick	canSell
魔灵ID	魔灵名字	魔灵等级	魔灵类型(同时对应插槽的位置 )	洗练属性池[(pt,pv,rate),]	技能点类型池[(type,rate),]	是否记录日志(0：不记录   1：记录)	技能点区段	下一级魔灵的ID	升级需要材料(coding,cnt)	升级需要魔灵	出售返还材料	出售返还金币	道具名称颜色	图标背景颜色（1、绿色2、蓝色、3、紫色、4、黄色、5、橙色）	道具类型(19=魔灵）	道具图标	是否需要加密	佩戴需要等级	技能点上限	双击功能	是否出售
34000	一级风·魔灵	1	1	[(4,500,625),(6,500,1563),(5,500,1563),(7,500,1563),(1,1500,1250),(8,500,625),(9,500,938),(12,500,938),(13,500,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(5,8,2609),(9,11,2899),(12,14,2319),(15,17,1449),(18,19,580),(20,20,145)]	34006	(28279,50)	0	[(28279,50)]	0	紫色	3	19	MFZ_ML_Wind_1	1	120	20	OPEN_MAGIC_PANEL	1
34001	一级光·魔灵	1	2	[(4,500,625),(6,500,1563),(5,500,1563),(7,500,1563),(1,1500,1250),(8,500,625),(9,500,938),(12,500,938),(13,500,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(5,8,2609),(9,11,2899),(12,14,2319),(15,17,1449),(18,19,580),(20,20,145)]	34007	(28279,50)	0	[(28279,50)]	0	紫色	3	19	MFZ_ML_Light_1	1	120	20	OPEN_MAGIC_PANEL	1
34002	一级火·魔灵	1	3	[(4,500,625),(6,500,1563),(5,500,1563),(7,500,1563),(1,1500,1250),(8,500,625),(9,500,938),(12,500,938),(13,500,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(5,8,2609),(9,11,2899),(12,14,2319),(15,17,1449),(18,19,580),(20,20,145)]	34008	(28279,50)	0	[(28279,50)]	0	紫色	3	19	MFZ_ML_Fire_1	1	120	20	OPEN_MAGIC_PANEL	1
34003	一级暗·魔灵	1	4	[(4,500,625),(6,500,1563),(5,500,1563),(7,500,1563),(1,1500,1250),(8,500,625),(9,500,938),(12,500,938),(13,500,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(5,8,2609),(9,11,2899),(12,14,2319),(15,17,1449),(18,19,580),(20,20,145)]	34009	(28279,50)	0	[(28279,50)]	0	紫色	3	19	MFZ_ML_Dark_1	1	120	20	OPEN_MAGIC_PANEL	1
34004	一级雷·魔灵	1	5	[(4,500,625),(6,500,1563),(5,500,1563),(7,500,1563),(1,1500,1250),(8,500,625),(9,500,938),(12,500,938),(13,500,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(5,8,2609),(9,11,2899),(12,14,2319),(15,17,1449),(18,19,580),(20,20,145)]	34010	(28279,50)	0	[(28279,50)]	0	紫色	3	19	MFZ_ML_Lightning_1	1	120	20	OPEN_MAGIC_PANEL	1
34005	一级冰·魔灵	1	6	[(4,500,625),(6,500,1563),(5,500,1563),(7,500,1563),(1,1500,1250),(8,500,625),(9,500,938),(12,500,938),(13,500,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(5,8,2609),(9,11,2899),(12,14,2319),(15,17,1449),(18,19,580),(20,20,145)]	34011	(28279,50)	0	[(28279,50)]	0	紫色	3	19	MFZ_ML_Ice_1	1	120	20	OPEN_MAGIC_PANEL	1
34006	二级风·魔灵	2	1	[(4,1000,625),(6,1000,1563),(5,1000,1563),(7,1000,1563),(1,3000,1250),(8,1000,625),(9,1000,938),(12,1000,938),(13,1000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(10,14,2609),(15,18,2899),(19,22,2319),(23,26,1449),(27,29,580),(30,30,145)]	34012	(28279,100)	(34000,1)	[(28279,100)]	0	紫色	3	19	MFZ_ML_Wind_2	1	120	30	OPEN_MAGIC_PANEL	1
34007	二级光·魔灵	2	2	[(4,1000,625),(6,1000,1563),(5,1000,1563),(7,1000,1563),(1,3000,1250),(8,1000,625),(9,1000,938),(12,1000,938),(13,1000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(10,14,2609),(15,18,2899),(19,22,2319),(23,26,1449),(27,29,580),(30,30,145)]	34013	(28279,100)	(34001,1)	[(28279,100)]	0	紫色	3	19	MFZ_ML_Light_2	1	120	30	OPEN_MAGIC_PANEL	1
34008	二级火·魔灵	2	3	[(4,1000,625),(6,1000,1563),(5,1000,1563),(7,1000,1563),(1,3000,1250),(8,1000,625),(9,1000,938),(12,1000,938),(13,1000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(10,14,2609),(15,18,2899),(19,22,2319),(23,26,1449),(27,29,580),(30,30,145)]	34014	(28279,100)	(34002,1)	[(28279,100)]	0	紫色	3	19	MFZ_ML_Fire_2	1	120	30	OPEN_MAGIC_PANEL	1
