index	itemCoding
序列号	珍稀道具coding
1	37001
2	37002
3	37003
4	37004
5	37005
6	37006
7	37007
8	37008
9	37009
10	37010
11	37011
12	37012
13	37013
14	37014
15	37015
16	37016
17	37017
18	37018
19	37019
20	37020
21	37021
22	37022
23	37023
24	37024
25	37025
26	37026
27	37027
28	37028
29	37029
30	37030
31	37031
32	37032
33	37033
34	37034
35	37035
36	37036
37	37037
38	37038
39	37039
40	37040
41	37041
42	37042
43	37043
44	37044
45	37045
46	37046
47	37047
48	37048
49	37049
50	37050
51	37051
52	37052
53	37053
54	37054
55	37055
56	37056
57	37057
58	37058
59	37059
60	37060
61	37061
62	37062
63	37063
64	37064
65	37065
66	37066
67	37067
68	37068
69	37069
70	37070
71	37071
72	37072
73	37073
74	37074
