coding	name	barrier
物品编码	材料的名字	关卡ID索引
25600	净化珠	[1,7,13,19,25,31]
25601	浮空木	[2,8,14,20,26,32]
25602	绿水晶	[3,9,15,21,27,33]
25603	阿克拉之羽	[4,10,16,22,28,34]
25604	狼皮	[5,11,17,23,29,35]
25605	荆棘之草	[6,12,18,24,30]
25606	水晶球	[36,42,48,54,60,66]
25607	凯旋木	[37,43,49,55,61,67]
25608	熔炉晶石	[38,44,50,56,62,68]
25609	魔法之羽	[39,45,51,57,63,69]
25610	鹫皮	[40,46,52,58,64]
25611	混乱之草	[41,47,53,59,65]
25612	猫眼珠	[70,76,82,88,94,100]
25613	混乱之木	[71,77,83,89,95,101]
25614	烙印之晶	[72,78,84,90,96,102]
25615	封印之羽	[73,79,85,91,97,103]
25616	犀皮	[74,80,86,92,98]
25617	钢铁之草	[75,81,87,93,99]
25618	永恒之石	[104,110,116]
25619	灵魂之木	[105,111,117]
25620	风暴水晶	[106,112,118]
25621	轻灵之羽	[107,113,119]
25622	结缔符文皮	[108,114,120]
25623	血藤草	[109,115,121]
25624	融火之石	[122,128,134]
25625	符文木	[123,129,135]
25626	北海冰晶	[124,130,136]
25627	炽热之羽	[125,131,137]
25628	火焰皮革	[126,132,138]
25629	虚空草	[127,133,139]
28100	守护者武器·设计图	1001
28101	守护者头盔·设计图	1003
28102	守护者指环·设计图	1004
28103	守护者胸甲·设计图	1002
28104	守护者靴子·设计图	1006
28105	守护者护腕·设计图	1005
28118	圣辉军武器·设计图	1007
28119	圣辉军头盔·设计图	1009
28120	圣辉军指环·设计图	1010
28121	圣辉军胸甲·设计图	1008
28122	圣辉军靴子·设计图	1012
28123	圣辉军护腕·设计图	1011
28136	逝者武器·设计图	1013
28137	逝者头盔·设计图	1015
28138	逝者指环·设计图	1016
28139	逝者胸甲·设计图	1014
28140	逝者靴子·设计图	1018
28141	逝者护腕·设计图	1017
28154	无眠者武器·设计图	1019
28155	无眠者头盔·设计图	1021
28156	无眠者指环·设计图	1022
28157	无眠者胸甲·设计图	1020
28158	无眠者靴子·设计图	1024
28159	无眠者护腕·设计图	1023
28172	奥里哈刚武器·设计图	1025
28173	奥里哈刚头盔·设计图	1027
28174	奥里哈刚指环·设计图	1028
28175	奥里哈刚胸甲·设计图	1026
28176	奥里哈刚靴子·设计图	1030
28177	奥里哈刚护腕·设计图	1029
