level	addOn	needItem	incExp	highestlevel	upLevelExp
封印等级	加成 晶石等级-->加成百分比	每次封印需要的物品coding	每次封印增加的经验	是否最高级1是 0否	升级需要的经验
0	{}	27818	1	0	50
1	{6:20,7:25,8:30,9:35,10:40,11:45,12:50}	27818	1	0	100
2	{6:25,7:30,8:35,9:40,10:45,11:50,12:55}	27818	1	0	200
3	{6:30,7:35,8:40,9:45,10:50,11:55,12:60}	27818	1	0	500
4	{6:35,7:40,8:45,9:50,10:55,11:60,12:65}	27818	1	0	1000
5	{6:40,7:45,8:50,9:55,10:60,11:65,12:70}	27818	1	0	2000
6	{6:45,7:50,8:55,9:60,10:65,11:70,12:75}	27818	1	0	3000
7	{6:50,7:55,8:60,9:65,10:70,11:75,12:80}	27818	1	0	5000
8	{6:55,7:60,8:65,9:70,10:75,11:80,12:85}	27818	1	0	8000
9	{6:60,7:65,8:70,9:75,10:80,11:85,12:90}	27818	1	0	10000
10	{6:65,7:70,8:75,9:80,10:85,11:90,12:95}	27818	1	0	15000
11	{6:72,7:77,8:82,9:87,10:92,11:97,12:102}	27818	1	0	20000
12	{6:80,7:85,8:90,9:95,10:100,11:105,12:110}	27818	1	1	0
