level	exchangeId	score	reputation	item
等级	兑换id	积分	声望	物品
31	1	2	200	[]
31	2	6	300	[]
31	3	10	0	[25681, 20]
31	4	16	500	[]
31	5	22	0	[25681, 20]
31	6	28	500	[]
31	7	30	0	[25681, 20]
31	8	36	500	[]
31	9	42	0	[25681, 20]
31	10	48	500	[]
31	11	54	0	[25681, 20]
31	12	60	500	[]
32	1	2	200	[]
32	2	6	300	[]
32	3	10	0	[25681, 20]
32	4	16	500	[]
32	5	22	0	[25681, 20]
32	6	28	500	[]
32	7	30	0	[25681, 20]
32	8	36	500	[]
32	9	42	0	[25681, 20]
32	10	48	500	[]
32	11	54	0	[25681, 20]
32	12	60	500	[]
33	1	2	200	[]
33	2	6	300	[]
33	3	10	0	[25681, 20]
33	4	16	500	[]
33	5	22	0	[25681, 20]
33	6	28	500	[]
33	7	30	0	[25681, 20]
33	8	36	500	[]
33	9	42	0	[25681, 20]
33	10	48	500	[]
33	11	54	0	[25681, 20]
33	12	60	500	[]
34	1	2	200	[]
34	2	6	300	[]
34	3	10	0	[25681, 20]
34	4	16	500	[]
34	5	22	0	[25681, 20]
34	6	28	500	[]
34	7	30	0	[25681, 20]
34	8	36	500	[]
34	9	42	0	[25681, 20]
34	10	48	500	[]
34	11	54	0	[25681, 20]
34	12	60	500	[]
35	1	2	200	[]
35	2	6	300	[]
35	3	10	0	[25681, 20]
35	4	16	500	[]
35	5	22	0	[25681, 20]
35	6	28	500	[]
35	7	30	0	[25681, 20]
35	8	36	500	[]
35	9	42	0	[25681, 20]
35	10	48	500	[]
35	11	54	0	[25681, 20]
35	12	60	500	[]
36	1	2	200	[]
36	2	6	300	[]
36	3	10	0	[25681, 20]
36	4	16	500	[]
36	5	22	0	[25681, 20]
36	6	28	500	[]
36	7	30	0	[25681, 20]
36	8	36	500	[]
36	9	42	0	[25681, 20]
36	10	48	500	[]
36	11	54	0	[25681, 20]
36	12	60	500	[]
37	1	2	200	[]
37	2	6	300	[]
37	3	10	0	[25681, 20]
37	4	16	500	[]
37	5	22	0	[25681, 20]
37	6	28	500	[]
37	7	30	0	[25681, 20]
37	8	36	500	[]
37	9	42	0	[25681, 20]
37	10	48	500	[]
37	11	54	0	[25681, 20]
37	12	60	500	[]
38	1	2	200	[]
38	2	6	300	[]
38	3	10	0	[25681, 20]
38	4	16	500	[]
38	5	22	0	[25681, 20]
38	6	28	500	[]
38	7	30	0	[25681, 20]
38	8	36	500	[]
38	9	42	0	[25681, 20]
38	10	48	500	[]
38	11	54	0	[25681, 20]
38	12	60	500	[]
39	1	2	200	[]
39	2	6	300	[]
39	3	10	0	[25681, 20]
39	4	16	500	[]
39	5	22	0	[25681, 20]
39	6	28	500	[]
39	7	30	0	[25681, 20]
39	8	36	500	[]
39	9	42	0	[25681, 20]
39	10	48	500	[]
39	11	54	0	[25681, 20]
39	12	60	500	[]
40	1	2	200	[]
40	2	6	300	[]
40	3	10	0	[25682, 20]
40	4	16	500	[]
40	5	22	0	[25682, 20]
40	6	28	500	[]
40	7	30	0	[25682, 20]
40	8	36	500	[]
40	9	42	0	[25682, 20]
40	10	48	500	[]
40	11	54	0	[25682, 20]
40	12	60	500	[]
41	1	2	200	[]
41	2	6	300	[]
41	3	10	0	[25682, 20]
41	4	16	500	[]
41	5	22	0	[25682, 20]
41	6	28	500	[]
41	7	30	0	[25682, 20]
41	8	36	500	[]
41	9	42	0	[25682, 20]
41	10	48	500	[]
41	11	54	0	[25682, 20]
41	12	60	500	[]
42	1	2	200	[]
42	2	6	300	[]
42	3	10	0	[25682, 20]
42	4	16	500	[]
42	5	22	0	[25682, 20]
42	6	28	500	[]
42	7	30	0	[25682, 20]
42	8	36	500	[]
42	9	42	0	[25682, 20]
42	10	48	500	[]
42	11	54	0	[25682, 20]
42	12	60	500	[]
43	1	2	200	[]
43	2	6	300	[]
43	3	10	0	[25682, 20]
43	4	16	500	[]
43	5	22	0	[25682, 20]
43	6	28	500	[]
43	7	30	0	[25682, 20]
43	8	36	500	[]
43	9	42	0	[25682, 20]
43	10	48	500	[]
43	11	54	0	[25682, 20]
43	12	60	500	[]
44	1	2	200	[]
44	2	6	300	[]
44	3	10	0	[25682, 20]
44	4	16	500	[]
44	5	22	0	[25682, 20]
44	6	28	500	[]
44	7	30	0	[25682, 20]
44	8	36	500	[]
44	9	42	0	[25682, 20]
44	10	48	500	[]
44	11	54	0	[25682, 20]
44	12	60	500	[]
45	1	2	200	[]
45	2	6	300	[]
45	3	10	0	[25682, 20]
45	4	16	500	[]
45	5	22	0	[25682, 20]
45	6	28	500	[]
45	7	30	0	[25682, 20]
45	8	36	500	[]
45	9	42	0	[25682, 20]
45	10	48	500	[]
45	11	54	0	[25682, 20]
45	12	60	500	[]
46	1	2	200	[]
46	2	6	300	[]
46	3	10	0	[25682, 20]
46	4	16	500	[]
46	5	22	0	[25682, 20]
46	6	28	500	[]
46	7	30	0	[25682, 20]
46	8	36	500	[]
46	9	42	0	[25682, 20]
46	10	48	500	[]
46	11	54	0	[25682, 20]
46	12	60	500	[]
47	1	2	200	[]
47	2	6	300	[]
47	3	10	0	[25682, 20]
47	4	16	500	[]
47	5	22	0	[25682, 20]
47	6	28	500	[]
47	7	30	0	[25682, 20]
47	8	36	500	[]
47	9	42	0	[25682, 20]
47	10	48	500	[]
47	11	54	0	[25682, 20]
47	12	60	500	[]
48	1	2	200	[]
48	2	6	300	[]
48	3	10	0	[25682, 20]
48	4	16	500	[]
48	5	22	0	[25682, 20]
48	6	28	500	[]
48	7	30	0	[25682, 20]
48	8	36	500	[]
48	9	42	0	[25682, 20]
48	10	48	500	[]
48	11	54	0	[25682, 20]
48	12	60	500	[]
49	1	2	200	[]
49	2	6	300	[]
49	3	10	0	[25682, 20]
49	4	16	500	[]
49	5	22	0	[25682, 20]
49	6	28	500	[]
49	7	30	0	[25682, 20]
49	8	36	500	[]
49	9	42	0	[25682, 20]
49	10	48	500	[]
49	11	54	0	[25682, 20]
49	12	60	500	[]
50	1	2	200	[]
50	2	6	300	[]
50	3	10	0	[25682, 20]
50	4	16	500	[]
50	5	22	0	[25682, 20]
50	6	28	500	[]
50	7	30	0	[25682, 20]
50	8	36	500	[]
50	9	42	0	[25682, 20]
50	10	48	500	[]
50	11	54	0	[25682, 20]
50	12	60	500	[]
51	1	2	200	[]
51	2	6	300	[]
51	3	10	0	[25682, 20]
51	4	16	500	[]
51	5	22	0	[25682, 20]
51	6	28	500	[]
51	7	30	0	[25682, 20]
51	8	36	500	[]
51	9	42	0	[25682, 20]
51	10	48	500	[]
51	11	54	0	[25682, 20]
51	12	60	500	[]
52	1	2	200	[]
52	2	6	300	[]
52	3	10	0	[25682, 20]
52	4	16	500	[]
52	5	22	0	[25682, 20]
52	6	28	500	[]
52	7	30	0	[25682, 20]
52	8	36	500	[]
