rank	rongyu	gongxun	items	preview
排名	奖励荣誉	奖励功勋	奖励物品	奖励预览
1	0	24000	[(28621,1)]	[(28621,1),(28622,1),(28623,1),(28624,1),(28625,1),(28626,1),(28627,1),(28628,1),(28629,1),(28630,1),(28631,1)]
2	0	22000	[(28622,1)]	
3	0	20000	[(28623,1)]	
[4,10]	0	[15000,18000]	[(28624,1)]	
[11,20]	0	[12000,15000]	[(28625,1)]	
[21,50]	0	[10000,12000]	[(28626,1)]	
[51,150]	0	[8000,10000]	[(28627,1)]	
[151,500]	0	[6000,8000]	[(28628,1)]	
[501,1000]	0	[4000,6000]	[(28629,1)]	
[1001,2000]	0	[2000,4000]	[(28630,1)]	
[2001,-1]	0	2000	[(28631,1)]	
