groupId	rank	itemRewards	titleId	itemPreview	fuliRewards	fuliPreview
战区	排名	道具奖励	称号奖励	参赛奖励预览	全服福利奖励	全服福利预览奖励
3	1	[(28913,1)]	80	[(25829,3000),(27420,80),(28249,15),(27471,100),(28030,4),(26934,30),(27041,20),(27042,20),(28894,20),(27419,1)]	[(28928,1)]	[(26227,3),(26144,50),(25837,50),(27471,20)]
3	2	[(28914,1)]	81	[(25829,2700),(27420,60),(28249,12),(27471,90),(28030,3),(26934,25),(27041,20),(27042,20),(28894,15)]	[(28929,1)]	[(26227,2),(26144,40),(25837,40),(27471,15)]
3	3	[(28915,1)]	82	[(25829,2500),(27420,40),(28249,10),(27471,80),(28030,2),(26934,20),(27041,20),(27042,20),(28894,10)]	[(28930,1)]	[(26227,1),(26144,30),(25837,30),(27471,10)]
3	4	[(28916,1)]	83	[(25829,2000),(27420,30),(28249,5),(27471,60),(28030,1),(26934,15),(27041,15),(27042,15),(28894,5)]	0	
3	5	[(28916,1)]	83	[(25829,2000),(27420,30),(28249,5),(27471,60),(28030,1),(26934,15),(27041,15),(27042,15),(28894,5)]	0	
3	6	[(28916,1)]	83	[(25829,2000),(27420,30),(28249,5),(27471,60),(28030,1),(26934,15),(27041,15),(27042,15),(28894,5)]	0	
3	7	[(28916,1)]	83	[(25829,2000),(27420,30),(28249,5),(27471,60),(28030,1),(26934,15),(27041,15),(27042,15),(28894,5)]	0	
3	8	[(28916,1)]	83	[(25829,2000),(27420,30),(28249,5),(27471,60),(28030,1),(26934,15),(27041,15),(27042,15),(28894,5)]	0	
3	100	[(28917,1)]	0	[(25829,1000),(27420,10),(28249,2),(27471,30),(28030,1),(26934,10),(27041,10),(27042,10),(28894,2)]		
2	1	[(28918,1)]	84	[(25829,2500),(27420,40),(28249,15),(27471,100),(26227,4),(26934,20),(27041,15),(27042,15),(28894,15)]	[(28931,1)]	[(26227,3),(26144,50),(25837,50),(27471,20)]
2	2	[(28919,1)]	85	[(25829,2200),(27420,30),(28249,12),(27471,90),(26227,3),(26934,15),(27041,15),(27042,15),(28894,10)]	[(28932,1)]	[(26227,2),(26144,40),(25837,40),(27471,15)]
2	3	[(28920,1)]	86	[(25829,2000),(27420,20),(28249,10),(27471,80),(26227,2),(26934,13),(27041,15),(27042,15),(28894,8)]	[(28933,1)]	[(26227,1),(26144,30),(25837,30),(27471,10)]
2	4	[(28921,1)]	87	[(25829,1500),(27420,10),(28249,5),(27471,60),(26227,1),(26934,8),(27041,10),(27042,10),(28894,5)]	0	
2	5	[(28921,1)]	87	[(25829,1500),(27420,10),(28249,5),(27471,60),(26227,1),(26934,8),(27041,10),(27042,10),(28894,5)]	0	
2	6	[(28921,1)]	87	[(25829,1500),(27420,10),(28249,5),(27471,60),(26227,1),(26934,8),(27041,10),(27042,10),(28894,5)]	0	
2	7	[(28921,1)]	87	[(25829,1500),(27420,10),(28249,5),(27471,60),(26227,1),(26934,8),(27041,10),(27042,10),(28894,5)]	0	
2	8	[(28921,1)]	87	[(25829,1500),(27420,10),(28249,5),(27471,60),(26227,1),(26934,8),(27041,10),(27042,10),(28894,5)]	0	
2	100	[(28922,1)]	0	[(25829,700),(27420,5),(28249,2),(27471,30),(26227,1),(26934,4),(27041,5),(27042,5),(28894,1)]		
1	1	[(28923,1)]	88	[(25829,2000),(27420,20),(28681,15),(27471,60),(27518,4),(26934,13),(27041,10),(27042,10),(28894,10)]	[(28934,1)]	[(26026,3),(25600,50),(26344,50),(27471,20)]
1	2	[(28924,1)]	89	[(25829,1700),(27420,15),(28681,12),(27471,50),(27518,3),(26934,10),(27041,10),(27042,10),(28894,8)]	[(28935,1)]	[(26026,2),(25600,40),(26344,40),(27471,15)]
1	3	[(28925,1)]	90	[(25829,1500),(27420,10),(28681,10),(27471,40),(27518,2),(26934,8),(27041,10),(27042,10),(28894,6)]	[(28936,1)]	[(26026,1),(25600,30),(26344,30),(27471,10)]
1	4	[(28926,1)]	91	[(25829,1000),(27420,7),(28681,5),(27471,20),(27518,1),(26934,5),(27041,5),(27042,5),(28894,4)]	0	
1	5	[(28926,1)]	91	[(25829,1000),(27420,7),(28681,5),(27471,20),(27518,1),(26934,5),(27041,5),(27042,5),(28894,4)]	0	
1	6	[(28926,1)]	91	[(25829,1000),(27420,7),(28681,5),(27471,20),(27518,1),(26934,5),(27041,5),(27042,5),(28894,4)]	0	
1	7	[(28926,1)]	91	[(25829,1000),(27420,7),(28681,5),(27471,20),(27518,1),(26934,5),(27041,5),(27042,5),(28894,4)]	0	
1	8	[(28926,1)]	91	[(25829,1000),(27420,7),(28681,5),(27471,20),(27518,1),(26934,5),(27041,5),(27042,5),(28894,4)]	0	
1	100	[(28927,1)]	0	[(25829,500),(27420,3),(28681,2),(27471,10),(27518,1),(26934,2),(27041,3),(27042,3),(28894,1)]		
