idx	type	code	price	needteampoint	needselfpoint	limitcnt	isShow	preview
商品索引	商品类型：1道具 2命魂 ……	商品code）	需要扣除的金券	需要战队积分达到	需要个人积分达到	限购数量(每次刷新重置)	是否显示在金券结算面板	奖励预览
1	1	26314	15	0	0	5	1	[(26314,1),(27080,1),(27082,1),(27085,1),(27086,1),(26342,1),(26272,1),(26446,1),(26447,1),(26448,1),(27740,1),(27742,1)]
2	1	27080	500	0	0	1	1	
3	1	27082	500	0	0	1	1	
4	1	26925	30	0	0	5	1	
5	1	26933	20	0	0	5	0	
6	1	26932	20	0	0	5	0	
7	1	26342	12	0	0	5	0	
8	1	26272	12	0	0	5	0	
9	1	26446	20	0	0	5	0	
10	1	26447	40	0	0	3	0	
11	1	26448	80	0	0	1	1	
12	1	27566	200	0	0	1	1	
13	1	27724	30	0	0	5	1	
14	1	27732	60	0	0	2	1	
15	1	27740	120	0	0	1	1	
16	1	27726	30	0	0	5	1	
17	1	27734	60	0	0	2	1	
18	1	27742	120	0	0	1	1	
19	1	27085	5000	0	0	1	1	
20	1	27086	8000	0	0	1	1	
