actId	idx	desc	rewardMoney	rewardRMB	rewardItem	rewardItemShow	needTiLi	needDailyDoScore	needMountEvolveId	needGoldCnt	needOnlineTime	needYellowTarotCnt	needTarotLevel	needXinYueChangGong	needXinYueZhanFu	needUnionFB	needDragonLevel	needRuneCnt	needMountTrainCnt	needMountLevelCnt	needWingTrainCnt	needWingLevel	needVIP	needPetCulCnt	needPetLevelCnt	needFuwenLevel
活动ID	活动索引	描述	金币奖励	魔晶	道具奖励	客户端展示奖励	需要消耗的体力	需要每日积分	需要坐骑进化ID	需要炼金次数	需要在线时间	需要黄色命魂数量	需要紫色以上命魂等级	需要新月长弓	需要新月战斧	需要通关的公会副本	需要神龙等级	需要的符文数量	需要每天培养坐骑次数	需要几阶坐骑和数量(阶数，数量)	需要每天培养翅膀次数	需要翅膀的等级	需要的vip等级	需要宠物培养次数	需要的宠物星级和个数（宠物星级，个数）	需要合成的符文等级
1	1	消耗210体力	200000	0	[(25600,5)]	[(25828,200000),(25600,5)]	210	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
1	2	消耗270体力	300000	0	[(25600,10)]	[(25828,300000),(25600,10)]	270	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
2	1	每日必做积分达到100	100000	0	[(26032,2)]	[(25828,100000),(26032,2)]	0	100	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
2	2	每日必做积分达到124	200000	0	[(26032,5)]	[(25828,200000),(26032,5)]	0	124	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
3	1	坐骑达到3阶	0	0	[(25600,20)]	[(25600,20)]	0	0	31	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
3	2	坐骑达到4阶	0	0	[(25600,30)]	[(25600,30)]	0	0	41	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
3	3	坐骑达到5阶	0	0	[(25600,50)]	[(25600,50)]	0	0	51	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
4	1	炼金5次	0	0	[(26152,2)]	[(26152,2)]	0	0	0	5	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
4	2	炼金10次	0	0	[(26152,3)]	[(26152,3)]	0	0	0	10	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
4	3	炼金30次	0	0	[(26152,10)]	[(26152,10)]	0	0	0	30	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
4	4	炼金50次	0	0	[(26152,15)]	[(26152,15)]	0	0	0	50	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
5	1	累计在线30分钟	0	0	[(25600,3)]	[(25600,3)]	0	0	0	0	1800	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
5	2	累计在线60分钟	0	0	[(26032,3)]	[(26032,3)]	0	0	0	0	3600	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
