targetType	rank	tarot	item	money	bindRMB
目标类型	排名	命魂	道具	奖励金币	魔晶
1	1	[]	[(27527,1),(35628,1),(25600,100)]	0	0
1	2	[]	[(35622,1),(25600,80)]	0	0
1	3	[]	[(35622,1),(25600,60)]	0	0
1	4	[]	[(25600,50)]	0	0
1	5	[]	[(25600,50)]	0	0
1	6	[]	[(25600,40)]	0	0
1	7	[]	[(25600,40)]	0	0
1	8	[]	[(25600,40)]	0	0
1	9	[]	[(25600,40)]	0	0
1	10	[]	[(25600,40)]	0	0
1	11	[]	[(25600,20)]	0	0
1	12	[]	[(25600,20)]	0	0
1	13	[]	[(25600,20)]	0	0
1	14	[]	[(25600,20)]	0	0
1	15	[]	[(25600,20)]	0	0
1	16	[]	[(25600,20)]	0	0
1	17	[]	[(25600,20)]	0	0
1	18	[]	[(25600,20)]	0	0
1	19	[]	[(25600,20)]	0	0
1	20	[]	[(25600,20)]	0	0
2	1	[]	[(35626,1),(25784,1)]	0	0
2	2	[]	[(35620,1),(25775,1)]	0	0
2	3	[]	[(35620,1),(25776,1)]	0	0
2	4	[]	[(25767,1)]	0	0
2	5	[]	[(25767,1)]	0	0
2	6	[]	[(25758,1)]	0	0
2	7	[]	[(25758,1)]	0	0
2	8	[]	[(25758,1)]	0	0
2	9	[]	[(25758,1)]	0	0
2	10	[]	[(25758,1)]	0	0
2	11	[]	[(25749,1)]	0	0
2	12	[]	[(25749,1)]	0	0
2	13	[]	[(25749,1)]	0	0
2	14	[]	[(25749,1)]	0	0
2	15	[]	[(25749,1)]	0	0
2	16	[]	[(25749,1)]	0	0
2	17	[]	[(25749,1)]	0	0
2	18	[]	[(25749,1)]	0	0
2	19	[]	[(25749,1)]	0	0
2	20	[]	[(25749,1)]	0	0
3	1	[]	[(27528,1),(35629,1),(26344,100)]	0	0
3	2	[]	[(35623,1),(26344,80)]	0	0
3	3	[]	[(35623,1),(26344,60)]	0	0
3	4	[]	[(26344,50)]	0	0
3	5	[]	[(26344,50)]	0	0
3	6	[]	[(26344,40)]	0	0
3	7	[]	[(26344,40)]	0	0
3	8	[]	[(26344,40)]	0	0
3	9	[]	[(26344,40)]	0	0
3	10	[]	[(26344,40)]	0	0
3	11	[]	[(26344,20)]	0	0
3	12	[]	[(26344,20)]	0	0
3	13	[]	[(26344,20)]	0	0
3	14	[]	[(26344,20)]	0	0
3	15	[]	[(26344,20)]	0	0
3	16	[]	[(26344,20)]	0	0
3	17	[]	[(26344,20)]	0	0
3	18	[]	[(26344,20)]	0	0
3	19	[]	[(26344,20)]	0	0
3	20	[]	[(26344,20)]	0	0
4	1	[]	[(35625,1),(26342,100)]	0	0
4	2	[]	[(35619,1),(26342,80)]	0	0
4	3	[]	[(35619,1),(26342,60)]	0	0
4	4	[]	[(26342,50)]	0	0
4	5	[]	[(26342,50)]	0	0
4	6	[]	[(26342,40)]	0	0
4	7	[]	[(26342,40)]	0	0
4	8	[]	[(26342,40)]	0	0
4	9	[]	[(26342,40)]	0	0
4	10	[]	[(26342,40)]	0	0
4	11	[]	[(26342,20)]	0	0
4	12	[]	[(26342,20)]	0	0
4	13	[]	[(26342,20)]	0	0
4	14	[]	[(26342,20)]	0	0
4	15	[]	[(26342,20)]	0	0
4	16	[]	[(26342,20)]	0	0
4	17	[]	[(26342,20)]	0	0
4	18	[]	[(26342,20)]	0	0
4	19	[]	[(26342,20)]	0	0
4	20	[]	[(26342,20)]	0	0
5	1	[(32,1)]	[(35627,1),(25642,300)]	0	0
5	2	[(23,1)]	[(35621,1),(25642,250)]	0	0
5	3	[(23,1)]	[(35621,1),(25642,200)]	0	0
5	4	[(2,1)]	[(25642,180)]	0	0
5	5	[(2,1)]	[(25642,150)]	0	0
5	6	[(50,1)]	[(25642,150)]	0	0
5	7	[(50,1)]	[(25642,150)]	0	0
5	8	[(50,1)]	[(25642,150)]	0	0
5	9	[(50,1)]	[(25642,150)]	0	0
5	10	[(50,1)]	[(25642,150)]	0	0
5	11	[(49,1)]	[(25642,100)]	0	0
5	12	[(49,1)]	[(25642,100)]	0	0
5	13	[(49,1)]	[(25642,100)]	0	0
5	14	[(49,1)]	[(25642,100)]	0	0
5	15	[(49,1)]	[(25642,100)]	0	0
5	16	[(49,1)]	[(25642,100)]	0	0
5	17	[(49,1)]	[(25642,100)]	0	0
5	18	[(49,1)]	[(25642,100)]	0	0
5	19	[(49,1)]	[(25642,100)]	0	0
5	20	[(49,1)]	[(25642,100)]	0	0
6	1	[(31,1)]	[(35624,1)]	3000000	0
6	2	[(22,1)]	[(35618,1)]	2500000	0
6	3	[(22,1)]	[(35618,1)]	2000000	0
6	4	[(2,1)]	[]	1800000	0
6	5	[(2,1)]	[]	1500000	0
6	6	[(50,1)]	[]	1500000	0
6	7	[(50,1)]	[]	1500000	0
6	8	[(50,1)]	[]	1500000	0
6	9	[(50,1)]	[]	1500000	0
6	10	[(50,1)]	[]	1500000	0
6	11	[(49,1)]	[]	1000000	0
6	12	[(49,1)]	[]	1000000	0
6	13	[(49,1)]	[]	1000000	0
6	14	[(49,1)]	[]	1000000	0
6	15	[(49,1)]	[]	1000000	0
6	16	[(49,1)]	[]	1000000	0
6	17	[(49,1)]	[]	1000000	0
6	18	[(49,1)]	[]	1000000	0
6	19	[(49,1)]	[]	1000000	0
6	20	[(49,1)]	[]	1000000	0
7	1	[(30,1)]	[(27529,1),(25683,500)]	0	0
7	2	[(21,1)]	[(25683,400)]	0	0
7	3	[(21,1)]	[(25683,350)]	0	0
7	4	[(2,1)]	[(25683,300)]	0	0
7	5	[(2,1)]	[(25683,250)]	0	0
7	6	[(50,1)]	[(25683,250)]	0	0
7	7	[(50,1)]	[(25683,250)]	0	0
7	8	[(50,1)]	[(25683,250)]	0	0
7	9	[(50,1)]	[(25683,250)]	0	0
7	10	[(50,1)]	[(25683,250)]	0	0
7	11	[(49,1)]	[(25683,200)]	0	0
7	12	[(49,1)]	[(25683,200)]	0	0
7	13	[(49,1)]	[(25683,200)]	0	0
7	14	[(49,1)]	[(25683,200)]	0	0
7	15	[(49,1)]	[(25683,200)]	0	0
7	16	[(49,1)]	[(25683,200)]	0	0
7	17	[(49,1)]	[(25683,200)]	0	0
7	18	[(49,1)]	[(25683,200)]	0	0
7	19	[(49,1)]	[(25683,200)]	0	0
7	20	[(49,1)]	[(25683,200)]	0	0
