targetType	targetIndex	param	targetDes	tarot	item	bindRMB	unbindRMB_S	browseAward	awardType
目标类型	目标索引	参数(领取目标奖励需要满足条件)	参数(客户端预览)	命魂	道具	魔晶	奖励神石	奖励预览（客户端专用）	客户端预览类型（命魂1；道具2）
1	1	36	主角达到36级	[]	[]	100	0	[(25829,100)]	2
1	2	38	主角达到38级	[]	[]	0	50	[(26047,50)]	2
1	3	39	主角达到39级	[]	[]	0	50	[(26047,50)]	2
1	4	40	主角达到40级	[]	[]	0	100	[(26047,100)]	2
1	5	42	主角达到42级	[]	[]	0	100	[(26047,100)]	2
1	6	44	主角达到44级	[]	[]	0	200	[(26047,200)]	2
2	1	11	坐骑1阶0星	[]	[(25600,5)]	0	0	[(25600,5)]	2
2	2	21	坐骑2阶0星	[]	[(25600,10)]	0	0	[(25600,10)]	2
2	3	27	坐骑2阶6星	[]	[(25600,20)]	0	0	[(25600,20)]	2
2	4	32	坐骑3阶1星	[]	[(25600,30)]	0	0	[(25600,30)]	2
2	5	37	坐骑3阶6星	[]	[(25600,40)]	0	0	[(25600,40)]	2
2	6	42	坐骑4阶1星	[]	[(25600,50)]	0	0	[(25600,50)]	2
3	1	50	宝石总等级≥50级	[]	[(27516,1)]	0	0	[(27516,1)]	2
3	2	120	宝石总等级≥120级	[]	[(27517,1)]	0	0	[(27517,1)]	2
3	3	240	宝石总等级≥240级	[]	[(27518,1)]	0	0	[(27518,1)]	2
3	4	360	宝石总等级≥360级	[]	[(27519,1)]	0	0	[(27519,1)]	2
3	5	480	宝石总等级≥480级	[]	[(27520,1)]	0	0	[(27520,1)]	2
3	6	600	宝石总等级≥600级	[]	[(27521,1)]	0	0	[(27521,1)]	2
4	1	11	婚戒2阶0星	[]	[(26344,5)]	0	0	[(26344,5)]	2
4	2	21	婚戒3阶0星	[]	[(26344,10)]	0	0	[(26344,10)]	2
4	3	26	婚戒3阶5星	[]	[(26344,20)]	0	0	[(26344,20)]	2
4	4	31	婚戒4阶0星	[]	[(26344,30)]	0	0	[(26344,30)]	2
4	5	36	婚戒4阶5星	[]	[(26344,40)]	0	0	[(26344,40)]	2
4	6	41	婚戒5阶0星	[]	[(26344,50)]	0	0	[(26344,50)]	2
5	1	8000	英雄战力8000	[(48,1)]	[]	0	0	[(48,1)]	1
5	2	16000	英雄战力16000	[(49,1)]	[]	0	0	[(49,1)]	1
5	3	36000	英雄战力36000	[(50,1)]	[]	0	0	[(50,1)]	1
5	4	72000	英雄战力72000	[(2,1)]	[]	0	0	[(2,1)]	1
5	5	120000	英雄战力120000	[]	[(26634,1)]	0	0	[(26634,1)]	2
5	6	150000	英雄战力150000	[]	[(26608,1)]	0	0	[(26608,1)]	2
6	1	9000	主角战力9000	[(48,1)]	[]	0	0	[(48,1)]	1
6	2	18000	主角战力18000	[(49,1)]	[]	0	0	[(49,1)]	1
6	3	40000	主角战力40000	[(50,1)]	[]	0	0	[(50,1)]	1
6	4	80000	主角战力80000	[(2,1)]	[]	0	0	[(2,1)]	1
6	5	150000	主角战力150000	[]	[(26634,1)]	0	0	[(26634,1)]	2
6	6	180000	主角战力180000	[]	[(26608,1)]	0	0	[(26608,1)]	2
7	1	50000	总战力50000	[]	[(27530,1)]	0	0	[(27530,1)]	2
7	2	100000	总战力100000	[]	[(27531,1)]	0	0	[(27531,1)]	2
7	3	200000	总战力200000	[]	[(27532,1)]	0	0	[(27532,1)]	2
7	4	350000	总战力350000	[]	[(27533,1)]	0	0	[(27533,1)]	2
7	5	500000	总战力500000	[]	[(27534,1)]	0	0	[(27534,1)]	2
7	6	700000	总战力700000	[]	[(27535,1)]	0	0	[(27535,1)]	2
