targetType	targetIndex	param	targetDes	tarot	item	bindRMB	unbindRMB_S	browseAward	awardType
目标类型	目标索引	参数(领取目标奖励需要满足条件)	参数(客户端预览)	命魂	道具	魔晶	奖励神石	奖励预览（客户端专用）	客户端预览类型（命魂1；道具2）
1	1	30	主角达到30级	[]	[]	50	0	[(25829,50)]	2
1	2	36	主角达到36级	[]	[]	80	0	[(25829,80)]	2
1	3	38	主角达到38级	[]	[]	100	0	[(25829,100)]	2
1	4	40	主角达到40级	[]	[]	120	0	[(25829,120)]	2
1	5	42	主角达到42级	[]	[]	150	0	[(25829,150)]	2
1	6	44	主角达到44级	[]	[]	200	0	[(25829,200)]	2
2	1	11	坐骑1阶0星	[]	[(25600,5)]	0	0	[(25600,5)]	2
2	2	21	坐骑2阶0星	[]	[(25600,10)]	0	0	[(25600,10)]	2
2	3	27	坐骑2阶6星	[]	[(25600,10)]	0	0	[(25600,10)]	2
2	4	32	坐骑3阶1星	[]	[(25600,10)]	0	0	[(25600,10)]	2
2	5	37	坐骑3阶6星	[]	[(25600,12)]	0	0	[(25600,12)]	2
2	6	42	坐骑4阶1星	[]	[(25600,20)]	0	0	[(25600,20)]	2
3	1	50	宝石总等级≥50级	[]	[(27516,1)]	0	0	[(27516,1)]	2
3	2	120	宝石总等级≥120级	[]	[(27516,1)]	0	0	[(27516,1)]	2
3	3	240	宝石总等级≥240级	[]	[(27517,1)]	0	0	[(27517,1)]	2
3	4	360	宝石总等级≥360级	[]	[(27518,1)]	0	0	[(27518,1)]	2
3	5	480	宝石总等级≥480级	[]	[(27519,1)]	0	0	[(27519,1)]	2
3	6	600	宝石总等级≥600级	[]	[(27520,1)]	0	0	[(27520,1)]	2
4	1	50000	总战力50000	[]	[(26344,10)]	0	0	[(26344,10)]	2
4	2	100000	总战力100000	[]	[(26344,20)]	0	0	[(26344,20)]	2
4	3	200000	总战力200000	[]	[(26344,30)]	0	0	[(26344,30)]	2
4	4	350000	总战力350000	[]	[(26344,50)]	0	0	[(26344,50)]	2
4	5	500000	总战力500000	[]	[(26344,70)]	0	0	[(26344,70)]	2
4	6	700000	总战力700000	[]	[(26344,100)]	0	0	[(26344,100)]	2
5	1	500	累计消费500	[]	[(25600,2)]	0	0	[(25600,2)]	2
5	2	2000	累计消费2000	[]	[(25600,5)]	0	0	[(25600,5)]	2
5	3	5000	累计消费5000	[]	[(25600,10)]	0	0	[(25600,10)]	2
5	4	10000	累计消费10000	[]	[(25600,15)]	0	0	[(25600,15)]	2
5	5	20000	累计消费20000	[]	[(25600,25)]	0	0	[(25600,25)]	2
5	6	50000	累计消费50000	[]	[(25600,60)]	0	0	[(25600,60)]	2
6	1	500	累计充值500	[]	[(27530,1)]	0	0	[(27530,1)]	2
6	2	2000	累计充值2000	[]	[(28460,1)]	0	0	[(28460,1)]	2
6	3	5000	累计充值5000	[]	[(27534,1)]	0	0	[(27534,1)]	2
6	4	10000	累计充值10000	[]	[(28461,1)]	0	0	[(28461,1)]	2
6	5	20000	累计充值20000	[]	[(28462,1)]	0	0	[(28462,1)]	2
6	6	50000	累计充值50000	[]	[(28463,1)]	0	0	[(28463,1)]	2
