rewardIndex	levelRangeId	rewardItems	rewardBindRMB	rewardMoney	rewardExchangeCoin	rewardPreview
奖励索引	等级段ID	奖励物品	奖励魔晶	奖励金币	奖励兑换币	奖励预览
1	1	[(26450,1),(25600,2),(26344,2)]	0	0	0	[(26450,1),(25600,2),(26344,2)]
2	1	[(26450,5),(25600,10),(26344,10)]	0	0	2	[(26450,5),(25600,10),(26344,10),(28395,2)]
3	1	[(26450,5),(25600,10),(26344,10)]	0	0	0	[(26450,5),(25600,10),(26344,10)]
4	1	[(26450,10),(25600,20),(26344,20)]	0	0	4	[(26450,10),(25600,20),(26344,20),(28395,4)]
5	1	[(26450,10),(25600,20),(26344,20)]	0	0	0	[(26450,10),(25600,20),(26344,20)]
6	1	[(26450,20),(25600,40),(26344,40)]	0	0	6	[(26450,20),(25600,40),(26344,40),(28395,6)]
7	1	[(26450,30),(25600,60),(26344,60)]	0	0	0	[(26450,30),(25600,60),(26344,60)]
8	1	[(26450,30),(25600,60),(26344,60)]	0	0	8	[(26450,30),(25600,60),(26344,60),(28395,8)]
1	2	[(26450,1),(25600,2),(26344,2)]	0	0	0	[(26450,1),(25600,2),(26344,2)]
2	2	[(26450,5),(25600,10),(26344,10)]	0	0	2	[(26450,5),(25600,10),(26344,10),(28395,2)]
3	2	[(26450,5),(25600,10),(26344,10)]	0	0	0	[(26450,5),(25600,10),(26344,10)]
4	2	[(26450,10),(25600,20),(26344,20)]	0	0	4	[(26450,10),(25600,20),(26344,20),(28395,4)]
5	2	[(26450,10),(25600,20),(26344,20)]	0	0	0	[(26450,10),(25600,20),(26344,20)]
6	2	[(26450,20),(25600,40),(26344,40)]	0	0	6	[(26450,20),(25600,40),(26344,40),(28395,6)]
7	2	[(26450,30),(25600,60),(26344,60)]	0	0	0	[(26450,30),(25600,60),(26344,60)]
8	2	[(26450,30),(25600,60),(26344,60)]	0	0	8	[(26450,30),(25600,60),(26344,60),(28395,8)]
1	3	[(26450,1),(26925,1),(27471,5)]	0	0	0	[(26450,1),(26925,1),(27471,5)]
2	3	[(26450,5),(26925,5),(27471,25)]	0	0	2	[(26450,5),(26925,5),(27471,25),(28395,2)]
3	3	[(26450,5),(26925,5),(27471,25)]	0	0	0	[(26450,5),(26925,5),(27471,25)]
4	3	[(26450,10),(26925,10),(27471,50)]	0	0	4	[(26450,10),(26925,10),(27471,50),(28395,4)]
5	3	[(26450,10),(26925,10),(27471,50)]	0	0	0	[(26450,10),(26925,10),(27471,50)]
6	3	[(26450,20),(26925,20),(27471,100)]	0	0	6	[(26450,20),(26925,20),(27471,100),(28395,6)]
7	3	[(26450,30),(26925,30),(27471,150)]	0	0	0	[(26450,30),(26925,30),(27471,150)]
8	3	[(26450,30),(26925,30),(27471,150)]	0	0	8	[(26450,30),(26925,30),(27471,150),(28395,8)]
1	4	[(26450,1),(26925,1),(27471,5)]	0	0	0	[(26450,1),(26925,1),(27471,5)]
2	4	[(26450,5),(26925,5),(27471,25)]	0	0	2	[(26450,5),(26925,5),(27471,25),(28395,2)]
3	4	[(26450,5),(26925,5),(27471,25)]	0	0	0	[(26450,5),(26925,5),(27471,25)]
4	4	[(26450,10),(26925,10),(27471,50)]	0	0	4	[(26450,10),(26925,10),(27471,50),(28395,4)]
5	4	[(26450,10),(26925,10),(27471,50)]	0	0	0	[(26450,10),(26925,10),(27471,50)]
6	4	[(26450,20),(26925,20),(27471,100)]	0	0	6	[(26450,20),(26925,20),(27471,100),(28395,6)]
7	4	[(26450,30),(26925,30),(27471,150)]	0	0	0	[(26450,30),(26925,30),(27471,150)]
8	4	[(26450,30),(26925,30),(27471,150)]	0	0	8	[(26450,30),(26925,30),(27471,150),(28395,8)]
1	5	[(26450,1),(27041,1),(27587,1)]	0	0	0	[(26450,1),(27041,1),(27587,1)]
2	5	[(26450,5),(27041,5),(27587,5)]	0	0	2	[(26450,5),(27041,5),(27587,5),(28395,2)]
3	5	[(26450,5),(27041,5),(27587,5)]	0	0	0	[(26450,5),(27041,5),(27587,5)]
4	5	[(26450,10),(27041,10),(27587,10)]	0	0	4	[(26450,10),(27041,10),(27587,10),(28395,4)]
5	5	[(26450,10),(27041,10),(27587,10)]	0	0	0	[(26450,10),(27041,10),(27587,10)]
6	5	[(26450,20),(27041,20),(27587,20)]	0	0	6	[(26450,20),(27041,20),(27587,20),(28395,6)]
7	5	[(26450,30),(27041,30),(27587,30)]	0	0	0	[(26450,30),(27041,30),(27587,30)]
8	5	[(26450,30),(27041,30),(27587,30)]	0	0	8	[(26450,30),(27041,30),(27587,30),(28395,8)]
1	6	[(26450,1),(27041,1),(27587,1)]	0	0	0	[(26450,1),(27041,1),(27587,1)]
2	6	[(26450,5),(27041,5),(27587,5)]	0	0	2	[(26450,5),(27041,5),(27587,5),(28395,2)]
3	6	[(26450,5),(27041,5),(27587,5)]	0	0	0	[(26450,5),(27041,5),(27587,5)]
4	6	[(26450,10),(27041,10),(27587,10)]	0	0	4	[(26450,10),(27041,10),(27587,10),(28395,4)]
5	6	[(26450,10),(27041,10),(27587,10)]	0	0	0	[(26450,10),(27041,10),(27587,10)]
6	6	[(26450,20),(27041,20),(27587,20)]	0	0	6	[(26450,20),(27041,20),(27587,20),(28395,6)]
7	6	[(26450,30),(27041,30),(27587,30)]	0	0	0	[(26450,30),(27041,30),(27587,30)]
8	6	[(26450,30),(27041,30),(27587,30)]	0	0	8	[(26450,30),(27041,30),(27587,30),(28395,8)]
