rank	rewardItem	rewardTitleId	rewardItemPreview
个人排名	奖励物品	奖励称号ID	奖励物品预览（客户端用）
1	[(27817,360),(27855,10)]	32	[(27817,360),(27855,10),(27932,1)]
2	[(27817,240),(27855,5)]	33	[(27817,240),(27855,5),(27933,1)]
3	[(27817,180),(27855,2)]	34	[(27817,180),(27855,2),(27934,1)]
4	[(27817,120),(27855,1)]	0	[(27817,120),(27855,1)]
5	[(27817,120)]	0	[(27817,120)]
6	[(27817,120)]	0	[(27817,120)]
7	[(27817,90)]	0	[(27817,90)]
8	[(27817,90)]	0	[(27817,90)]
9	[(27817,90)]	0	[(27817,90)]
10	[(27817,90)]	0	[(27817,90)]
11	[(27817,60)]	0	[(27817,60)]
12	[(27817,60)]	0	[(27817,60)]
13	[(27817,60)]	0	[(27817,60)]
14	[(27817,60)]	0	[(27817,60)]
15	[(27817,60)]	0	[(27817,60)]
16	[(27817,60)]	0	[(27817,60)]
17	[(27817,60)]	0	[(27817,60)]
18	[(27817,60)]	0	[(27817,60)]
19	[(27817,60)]	0	[(27817,60)]
20	[(27817,60)]	0	[(27817,60)]
21	[(27817,54)]	0	[(27817,54)]
22	[(27817,54)]	0	[(27817,54)]
23	[(27817,54)]	0	[(27817,54)]
24	[(27817,54)]	0	[(27817,54)]
25	[(27817,54)]	0	[(27817,54)]
26	[(27817,54)]	0	[(27817,54)]
27	[(27817,54)]	0	[(27817,54)]
28	[(27817,54)]	0	[(27817,54)]
29	[(27817,54)]	0	[(27817,54)]
30	[(27817,54)]	0	[(27817,54)]
31	[(27817,48)]	0	[(27817,48)]
32	[(27817,48)]	0	[(27817,48)]
33	[(27817,48)]	0	[(27817,48)]
34	[(27817,48)]	0	[(27817,48)]
35	[(27817,48)]	0	[(27817,48)]
36	[(27817,48)]	0	[(27817,48)]
37	[(27817,48)]	0	[(27817,48)]
38	[(27817,48)]	0	[(27817,48)]
39	[(27817,48)]	0	[(27817,48)]
40	[(27817,48)]	0	[(27817,48)]
41	[(27817,42)]	0	[(27817,42)]
42	[(27817,42)]	0	[(27817,42)]
43	[(27817,42)]	0	[(27817,42)]
44	[(27817,42)]	0	[(27817,42)]
45	[(27817,42)]	0	[(27817,42)]
46	[(27817,42)]	0	[(27817,42)]
47	[(27817,42)]	0	[(27817,42)]
48	[(27817,42)]	0	[(27817,42)]
49	[(27817,42)]	0	[(27817,42)]
50	[(27817,42)]	0	[(27817,42)]
51	[(27817,36)]	0	[(27817,36)]
52	[(27817,36)]	0	[(27817,36)]
53	[(27817,36)]	0	[(27817,36)]
54	[(27817,36)]	0	[(27817,36)]
55	[(27817,36)]	0	[(27817,36)]
56	[(27817,36)]	0	[(27817,36)]
57	[(27817,36)]	0	[(27817,36)]
58	[(27817,36)]	0	[(27817,36)]
59	[(27817,36)]	0	[(27817,36)]
60	[(27817,36)]	0	[(27817,36)]
61	[(27817,30)]	0	[(27817,30)]
62	[(27817,30)]	0	[(27817,30)]
63	[(27817,30)]	0	[(27817,30)]
64	[(27817,30)]	0	[(27817,30)]
65	[(27817,30)]	0	[(27817,30)]
66	[(27817,30)]	0	[(27817,30)]
67	[(27817,30)]	0	[(27817,30)]
68	[(27817,30)]	0	[(27817,30)]
69	[(27817,30)]	0	[(27817,30)]
70	[(27817,30)]	0	[(27817,30)]
71	[(27817,24)]	0	[(27817,24)]
72	[(27817,24)]	0	[(27817,24)]
73	[(27817,24)]	0	[(27817,24)]
74	[(27817,24)]	0	[(27817,24)]
75	[(27817,24)]	0	[(27817,24)]
76	[(27817,24)]	0	[(27817,24)]
77	[(27817,24)]	0	[(27817,24)]
78	[(27817,24)]	0	[(27817,24)]
79	[(27817,24)]	0	[(27817,24)]
80	[(27817,24)]	0	[(27817,24)]
81	[(27817,18)]	0	[(27817,18)]
82	[(27817,18)]	0	[(27817,18)]
83	[(27817,18)]	0	[(27817,18)]
84	[(27817,18)]	0	[(27817,18)]
85	[(27817,18)]	0	[(27817,18)]
86	[(27817,18)]	0	[(27817,18)]
87	[(27817,18)]	0	[(27817,18)]
88	[(27817,18)]	0	[(27817,18)]
89	[(27817,18)]	0	[(27817,18)]
90	[(27817,18)]	0	[(27817,18)]
91	[(27817,12)]	0	[(27817,12)]
92	[(27817,12)]	0	[(27817,12)]
93	[(27817,12)]	0	[(27817,12)]
94	[(27817,12)]	0	[(27817,12)]
95	[(27817,12)]	0	[(27817,12)]
96	[(27817,12)]	0	[(27817,12)]
97	[(27817,12)]	0	[(27817,12)]
98	[(27817,12)]	0	[(27817,12)]
99	[(27817,12)]	0	[(27817,12)]
100	[(27817,12)]	0	[(27817,12)]
