rank	rewardItem	rewardItemPreview
公会排名	奖励	奖励物品预览（客户端用）
1	[(26267,1),(26044,1),(27823,1),(26144,10),(25837,10)]	[(26267,1),(26044,1),(27823,1),(26144,10),(25837,10)]
2	[(26267,1),(26044,1),(26907,1),(26144,8),(25837,8)]	[(26267,1),(26044,1),(26907,1),(26144,8),(25837,8)]
3	[(26119,1),(26033,1),(27511,1),(26144,5),(25837,5)]	[(26119,1),(26033,1),(27511,1),(26144,5),(25837,5)]
4	[(26266,1),(26032,1),(27850,1),(26144,3),(25837,3)]	[(26266,1),(26032,1),(27850,1),(26144,3),(25837,3)]
5	[(26266,1),(26032,1),(27850,1),(26144,2),(25837,2)]	[(26266,1),(26032,1),(27850,1),(26144,2),(25837,2)]
6	[(26266,1),(26032,1),(27850,1),(26144,1)]	[(26266,1),(26032,1),(27850,1),(26144,1)]
7	[(26266,1),(27850,1),(26144,1),(25837,1)]	[(26266,1),(27850,1),(26144,1),(25837,1)]
8	[(27852,1),(26144,1),(25837,1)]	[(27852,1),(26144,1),(25837,1)]
9	[(27852,1),(26144,1)]	[(27852,1),(26144,1)]
10	[(27852,1),(26144,1)]	[(27852,1),(26144,1)]
