actId	index	score	max_cnt	consume	fill	sortIndex	desc	trigger
活动id	任务索引	分数	最大完成次数	消费	充值	客户端排序(越小越在前面)	任务描述	点击进入命令字段（问相应系统负责的客户端拿）
403	1	5	2	0	0	2	组队爬塔2次	OPEN_ZDPT_DT
403	16	2	24	0	0	4	通关副本24次	SHOW_DUNGEON
403	7	5	3	0	0	3	参加3次心魔炼狱	OPEN_LIANYU
403	10	1	20	0	0	5	装备强化20次	ZBQH
403	15	2	200	0	0	11	炼金200次	OPEN_LIANJIN
403	8	5	5	0	0	7	参加天天消龙珠5次	OPEN_MARBLE_FRAME
403	5	1	30	0	0	6	巨龙宝藏挖宝30次	OPEN_JLBZ
403	13	2	30	0	0	17	星灵升级30次	OPEN_XL_PANEL
403	14	1	30	0	0	18	龙脉升级30次	open_traindragonvein
403	11	1	10	0	0	19	圣器洗练10次	OPEN_HALLOWS_XL
403	3	2	20	0	0	10	完成20次魔域探秘	OPEN_UNION_MOYU_PANEL
403	23	20	10	0	0	15	高级占卜10次	OPEN_TAROT_PANEL
403	21	10	50	0	0	13	幸运转转乐使用50次	OPEN_LUCK_WHEEL
403	22	5	100	0	0	14	许愿池许愿100次	WishPool
403	25	30	20	0	0	8	英雄祭坛召唤20次	YXJT
403	24	20	20	0	0	16	符文宝轮使用20次	OPEN_FWBL
403	26	50	1	0	100	1	充值100神石	GMSS
403	27	1000	1	5000	0	25	消费5000神石	SC
406	1	5	2	0	0	2	组队爬塔2次	OPEN_ZDPT_DT
406	16	2	24	0	0	4	通关副本24次	SHOW_DUNGEON
406	7	5	3	0	0	3	参加3次心魔炼狱	OPEN_LIANYU
406	10	1	20	0	0	5	装备强化20次	ZBQH
406	15	2	200	0	0	11	炼金200次	OPEN_LIANJIN
406	8	5	5	0	0	7	参加天天消龙珠5次	OPEN_MARBLE_FRAME
406	5	1	30	0	0	6	巨龙宝藏挖宝30次	OPEN_JLBZ
406	12	1	35	0	0	9	挑战英雄竞技35次	OPEN_ARENA
406	3	2	20	0	0	10	完成20次魔域探秘	OPEN_UNION_MOYU_PANEL
406	21	10	50	0	0	13	幸运转转乐使用50次	OPEN_LUCK_WHEEL
406	22	5	100	0	0	14	许愿池许愿100次	WishPool
406	25	30	20	0	0	8	英雄祭坛召唤20次	YXJT
406	26	50	1	0	100	1	充值100神石	GMSS
406	27	1000	1	5000	0	25	消费5000神石	SC
407	1	5	2	0	0	2	组队爬塔2次	OPEN_ZDPT_DT
407	16	2	24	0	0	4	通关副本24次	SHOW_DUNGEON
407	7	5	3	0	0	3	参加3次心魔炼狱	OPEN_LIANYU
407	10	1	20	0	0	5	装备强化20次	ZBQH
407	15	2	200	0	0	11	炼金200次	OPEN_LIANJIN
407	8	5	5	0	0	7	参加天天消龙珠5次	OPEN_MARBLE_FRAME
407	5	1	30	0	0	6	巨龙宝藏挖宝30次	OPEN_JLBZ
407	13	2	30	0	0	17	星灵升级30次	OPEN_XL_PANEL
407	12	1	35	0	0	9	挑战英雄竞技35次	OPEN_ARENA
407	3	2	20	0	0	10	完成20次魔域探秘	OPEN_UNION_MOYU_PANEL
407	23	20	10	0	0	15	高级占卜10次	OPEN_TAROT_PANEL
407	21	10	50	0	0	13	幸运转转乐使用50次	OPEN_LUCK_WHEEL
407	22	5	100	0	0	14	许愿池许愿100次	WishPool
407	25	30	20	0	0	8	英雄祭坛召唤20次	YXJT
407	24	20	20	0	0	16	符文宝轮使用20次	OPEN_FWBL
407	26	50	1	0	100	1	充值100神石	GMSS
407	27	1000	1	5000	0	25	消费5000神石	SC
