index	attack	hp	skillPoint
序号(等级)	物攻	生命	技能点
1	7	10	0
2	7	11	1
3	7	10	1
4	7	11	1
5	7	10	1
6	7	11	1
7	7	10	1
8	7	11	1
9	7	10	1
10	7	11	2
11	7	10	2
12	7	11	2
13	7	10	2
14	7	11	2
15	7	10	2
16	7	11	2
17	7	10	2
18	7	11	2
19	7	10	2
20	7	11	3
21	7	10	3
22	7	11	3
23	7	10	3
24	7	11	3
25	7	10	3
26	7	11	3
27	7	10	3
28	7	11	3
29	7	10	3
30	7	11	4
31	7	10	4
32	7	11	4
33	7	10	4
34	7	11	4
35	7	10	4
36	7	11	4
37	7	10	4
38	7	11	4
39	7	10	4
40	7	11	10
41	7	10	10
42	7	11	10
43	7	10	10
44	7	11	10
45	7	10	10
46	7	11	10
47	7	10	10
48	7	11	10
49	7	10	10
50	7	11	15
51	7	10	15
52	7	11	15
53	7	10	15
54	7	11	15
55	7	10	15
56	7	11	15
57	7	10	15
58	7	11	15
59	7	10	15
60	7	11	15
61	7	10	15
62	7	11	15
63	7	10	15
64	7	11	15
65	7	10	15
66	7	11	15
67	7	10	15
68	7	11	15
69	7	10	15
70	7	11	15
71	7	10	15
72	7	11	15
73	7	10	15
74	7	11	15
75	7	10	15
76	7	11	15
77	7	10	15
78	7	11	15
79	7	10	15
80	7	11	15
81	7	10	15
82	7	11	15
83	7	10	15
84	7	11	15
85	7	10	15
86	7	11	15
87	7	10	15
88	7	11	15
89	7	10	15
90	7	11	15
91	7	10	15
92	7	11	15
93	7	10	15
94	7	11	15
95	7	10	15
96	7	11	15
97	7	10	15
98	7	11	15
99	7	10	15
100	7	11	15
101	7	10	15
102	7	11	15
103	7	10	15
104	7	11	15
105	7	10	15
106	7	11	15
107	7	10	15
108	7	11	15
109	7	10	15
110	7	11	15
111	7	10	15
112	7	11	15
113	7	10	15
114	7	11	15
115	7	10	15
116	7	11	15
117	7	10	15
118	7	11	15
119	7	10	15
120	7	11	15
121	7	10	15
122	7	11	15
123	7	10	15
124	7	11	15
125	7	10	15
126	7	11	15
127	7	10	15
128	7	11	15
129	7	10	15
130	7	11	15
131	7	10	15
132	7	11	15
133	7	10	15
134	7	11	15
135	7	10	15
136	7	11	15
137	7	10	15
138	7	11	15
139	7	10	15
140	7	11	15
141	7	10	15
142	7	11	15
143	7	10	15
144	7	11	15
145	7	10	15
146	7	11	15
147	7	10	15
148	7	11	15
149	7	10	15
150	7	11	15
151	7	10	15
152	7	11	15
153	7	10	15
154	7	11	15
155	7	10	15
156	7	11	15
157	7	10	15
158	7	11	15
159	7	10	15
160	7	11	15
161	7	10	15
162	7	11	15
163	7	10	15
164	7	11	15
165	7	10	15
166	7	11	15
167	7	10	15
168	7	11	15
169	7	10	15
170	7	11	15
171	7	10	15
172	7	11	15
173	7	10	15
174	7	11	15
175	7	10	15
176	7	11	15
177	7	10	15
178	7	11	15
179	7	10	15
